A: 	oké 
A: 	deze hebben een een rond plateau aan de rechterkant en dan een soort uitstekend toeter links 
A: 	die op een soort ja hartjesvorm die daar zo in priken staat 
B: 	ja 
B: 	en dat ja er zitten inderdaad zo'n steek aan 
A: 	ja een soort toeter of zo ja 
B: 	ja ja dat zijn L bij mij 
B: 	ja die zijn ook een beetje vaag 
A: 	en ook een beetje raar 
B: 	oké 
A: 	even kijken hoor hij staat ongeveer op de helft van de helft aan de linkerkant 
B: 	oké 
A: 	helemaal onderaan 
B: 	oké nee bij mij staan die wel ergens ander 
A: 	oké 
B: 	oké ik hebben weer inderdaad dat plat schijf aan die kant en dan een soort van hartje wat eruit opsteken 
B: 	met die toeter 
A: 	ja ja precies nummer zeven zijn dat bij mij 
B: 	oké 
B: 	en bij mij zitten die redelijk helemaal bovenaan 
B: 	en net iets veel link van de helft 
A: 	oké dan zitten die wel denken ik net op een ander er zitten bij jou helemaal niks veel boven 
B: 	ja wel maar dan helemaal aan de ander kant van het scherm 
A: 	ja ja precies 
B: 	maar dus het zijn niet de hoog maar wel op dat bieden gebied 
A: 	nee 
A: 	er zitten er bij mij nog wel één boven 
B: 	oké 
A: 	dus ik denken dat het een ander plek zijn 
B: 	ik denken het dan 
A: 	deze zijn weer met dat plateau aan de zijkant en dan dat soort hartje waar die toeter uit komen 
B: 	ja ja dat zijn C bij mij 
A: 	en hij staan net ietsje rechts van het midden 
A: 	en iets boven de helft of ja helft van de helft bijna 
B: 	oké boven de helft 
A: 	boven 
A: 	ja boven de helft 
B: 	oké nee dan hebben ik mijne zitten eronder dus 
A: 	oké 
B: 	Alright 
A: 	niet dezelfde plek 
B: 	dat zijn hem niet 
B: 	weer dat hartje dat uitsteken en die toeter 
A: 	ja 
A: 	nummer één 
B: 	en hij staan net iets onder de helft 
A: 	ja 
B: 	en wel links eigenlijk er staan niks veel link van 
A: 	nee precies maar er zullen in theorie nog iets kunnen 
B: 	ja precies 
A: 	ja precies 
B: 	ja 
A: 	oké dat zijn wel dezelfde plek denken ik 
B: 	oké top 
A: 	dit zijn weer het plateau aan de een kant har met toeter aan die kant 
B: 	dat zijn A bij mij 
A: 	oké 
A: 	hij staat ongeveer op de helft zo 
A: 	en dan helft helft zo 
B: 	ja hebben ik ook 
B: 	link bedoelen je dan toch 
A: 	link ja link 
B: 	ja 
B: 	zelfde plek 
B: 	ja ik zien je wel die kant op gaan volgens mij ja 
A: 	ja precies maar het zijn aan die bij jou die kant 
B: 	ja precies 
B: 	top 
B: 	weer dat hartje dat uitsteken met de toeter 
A: 	nummer dertien 
B: 	even kijken ongeveer helft helft onder en helft helft links 
A: 	helft helft onder ook 
B: 	ja helft helft onder 
A: 	nee bij mij zitten die ongeveer op de helft 
