B: 	deze hebben een soort van bol erop het zijn diegene met die bol maar dan zonder die staaf erdoor 
B: 	zeggen maar ertegenaan niet erop 
A: 	wachten even hoor hij hebben een bol bovenop 
B: 	niet bovenop er 
A: 	niet bovenop 
B: 	er op de zijkant zeggen maar 
A: 	en hij hebben niet de staaf erdoor en hij hebben twee van die dinge boven 
B: 	ja en nog één 
A: 	en nog één aan de zijkant 
B: 	ja 
A: 	oké dan zijn het nummer veertien 
B: 	onderaan hebben je drie dinget 
A: 	ja 
B: 	en dan daar de middel van 
A: 	ja 
B: 	en dan niet één rechts daarboven maar de twee rechts daarboven 
A: 	ja 
A: 	hij zitten iets rechts van het midden 
B: 	ja 
A: 	en iets onder het midden 
B: 	ja 
A: 	oké dan zijn het wel dezelfde plek denken ik 
B: 	oké 
A: 	deze hebben boven twee verschillend een rechthoek en een soort bowlingkegel 
A: 	en hij hebben een groot dik bol aan de rechterkant 
B: 	dat zijn bij mij N 
A: 	en het zijn bij mij de veel links 
B: 	bij mij niet die zijn dan weer omgedraaien 
A: 	oké 
B: 	die met die bol op de zijkant 
A: 	met die bol op de zijkant en die twee dinget boven 
B: 	ja 
A: 	oké dat zijn bij mij negen 
B: 	die links die drie op een rij 
B: 	daar de middel van 
A: 	nee zijn bij mij helemaal Linksboven 
B: 	oké 
A: 	dus dan zijn het niet dezelfde 
A: 	deze zijn weer met dat die rechthoek en die soort kegel bovenop en dan die heel dik bol aan de rechterkant 
B: 	event zoeken 
B: 	G 
A: 	en je hebben op de onderste rij hebben je links die twee 
A: 	en dan hebben je er nog één 
A: 	en wat die ongeveer in het midden zitten 
A: 	link daarboven 
A: 	schuin 
B: 	ja 
B: 	dit zijn weer met die bol aan de rechterkant en die twee dinge naar boven 
A: 	ja die twee dinget zijn niet hetzelfde 
B: 	nee 
A: 	oké dan zijn het bij mij nummer vijf 
B: 	je hebben bovenaan de middel 
B: 	ongeveer 
A: 	bovenaan de middel 
B: 	ja bovenaan in het midden bedoelen ik 
A: 	nee hij zitten bij mij helemaal best wel aan de rechterkant 
B: 	nee daar rechts van bedoelen ik 
A: 	oké bij mij je hebben die een die helemaal rechts zitten 
B: 	ja 
A: 	die zitten iets onder het midden 
B: 	ja 
A: 	daar zitten er één schuin boven 
B: 	link zeggen maar je hebben er één daar en één daar 
A: 	die een die het veel rechts zijn van die twee 
B: 	ja 
A: 	zijn het die 
B: 	nee het zijn die daar links van 
A: 	oké 
A: 	dus hij zitten veel dan naar het midden 
B: 	ja 
A: 	oké dan hebben we niet dezelfde 
A: 	deze hebben die twee dinget bovenaan 
A: 	die kegel en dat die rechthoek en die groot bol aan de rechterkant 
B: 	J 
A: 	je hebben aan de rechterkant hebben je zo zo'n rij van drie dat ongeveer zo lopen 
B: 	ja 
A: 	en dan tussen de bovenste twee en dan een stuk naar links 
B: 	nee ander plek 
