A: 	oké bovenop zitten een bolle 
A: 	en er staan een er zijn een nog een heel smal maar wel lang ja 
A: 	paal een paal eigenlijk die ervoor staan en twee cilinder steken eigenlijk aan de 
B: 	ja 
B: 	zeggen maar poppetje alsof die iets gaan omhelzen 
A: 	ja nou ja inderdaad 
B: 	zoiets ja oké nee dan zijn het zijn het D 
A: 	ja 
A: 	oké en hij staan midden 
A: 	even kijken 
A: 	en dan helemaal onderin en een beetje naar links 
B: 	ja 
B: 	dan staan die op dezelfde plek dus dat zijn rood 
A: 	rood ja 
B: 	ja 
A: 	ja 
B: 	dit zijn een poppe wat een balk omhelsten met bovenin ook een cirkel op het hoofd 
B: 	of op het figuurt 
A: 	ja 
A: 	vijftien 
A: 	die hebben we al een keer hebben volgens mij toch 
B: 	ja 
B: 	en dit poppet staan of dit figuurtje staan helemaal rechtsonder 
A: 	helemaal rechtsonder 
B: 	ja 
A: 	het uiterst 
B: 	het uiterst 
A: 	dan 
A: 	nee dan niet 
A: 	geel 
A: 	dit zijn de omhelzing 
A: 	met het ei bovenop 
B: 	ja dat zijn L 
A: 	en hij staan even kijken stuk omhoog stuk naar links 
B: 	ja dat kloppen dus geel 
A: 	rood 
B: 	rood 
B: 	zullen het de concentratie zijn of 
A: 	het proberen eens als je het de heel tijd hardop zeggen dan komen het goed 
B: 	ja 
B: 	de het omhelzen poppet zijn dit 
A: 	zes 
B: 	en deze staan in het midden en dan een stuk naar rechts 
B: 	zullen nog één figuurt aan de rechterkant bij passen 
A: 	midden rechts wel 
A: 	een beetje naar beneden ook 
B: 	nee niet nee niet echt naar beneden 
A: 	oké 
A: 	nee dan geel 
A: 	de omhelzing 
B: 	de omhelzing J 
A: 	hij staan rechts 
A: 	in het midden wel 
A: 	heel erg in het midden 
A: 	en dan halverwege rechts ook 
A: 	hij staat niet omhoog of omlaag 
B: 	niet omhoog of omlaag en ongeveer op de helft van 
A: 	rechtervak zeggen maar 
B: 	ja ja 
B: 	dat zijn rood dan 
B: 	de omhelzing 
A: 	ja drie 
B: 	en deze staan in het midden en dan het veel rechts figuur 
A: 	ja 
A: 	rood 
