A: 	ja 
B: 	dit zijn weer een mok en daarbovenop liggen een balk 
B: 	er zitten een soort van hamer aan de voorkant klein staaf met daaronder weer zo'n blok 
A: 	ja 
B: 	en aan de linkerkant zitten een vleugel 
A: 	ja nummer acht 
B: 	die zitten bij mij iets link van het midden 
A: 	ja 
B: 	als je het scherm in twee in vier zullen verdelen dan zitten die even kijken link linkerbovenvlak en dan 
B: 	rechtsonder 
A: 	ja 
A: 	zelfde plek 
A: 	dit zijn de veel compact figuur er zitten er liggen een balk bovenop 
A: 	komen zo'n raar dinge nog uit 
A: 	en voor hij zijn zeggen maar echt het veel het het klein het zitten allemaal het dicht bij elkaar 
B: 	zijn het een soort hamer ondersteboven die daar aan de voorkant uit komen 
A: 	ja 
A: 	ja 
B: 	hij hebben zo'n klein staaf en dan zo'n gek driehoek 
A: 	ja en aan de linkerkant zitten nog een 
B: 	en hij hebben twee van die dinget 
B: 	twee van die dinget zeggen maar aan die kant komen er één uit en aan die kant komen er één uit 
A: 	ja 
A: 	maar aan de links kant zijn wel een ander dinge dan aan de rechterkant 
A: 	aan de linkerkant komen er zo'n 
B: 	kegel zonder stomp zeggen een stompe stompe kegel 
A: 	ja 
A: 	ja 
B: 	oké ja dan 
A: 	en er liggen echt een balk bovenop 
B: 	ja dat zijn bij mij E 
A: 	en die zitten bij mij als je de verticaal middellijn hebben aan de rechterkant ertegenaan 
A: 	en dan goken ik net iets onder het midden 
B: 	de horizontaal lijn 
A: 	ja 
B: 	nee bij mij zitten die boven lijn 
A: 	oké 
B: 	dit zijn die veel compact met die omgekeerde hamer 
B: 	en bovenop zo'n veer zo'n balk 
A: 	ja 
A: 	dat zijn nummer één 
B: 	en die zitten bij mij dan ook bovenin in het scherm lopen misschien net de verticaal lijn doorheen 
B: 	groot gedeelte van het figuur zitten wel aan de linkerkant 
A: 	ja 
A: 	zelfde plek 
A: 	dit zijn dat veel compact figuur waar die balk bovenop liggen 
B: 	ja met het omgekeerde hamer 
A: 	ja 
B: 	ja dat zijn bij mij E 
A: 	en hij zitten in het vak linksonder 
A: 	maar van het linksondervlak zitten die wel rechtsboven in de hoek 
B: 	nee bij mij zitten die ook weer veel richting het kruisje 
A: 	oké 
B: 	dit zijn die veel compact met de omgekeerde hamer en het ding 
B: 	die zitten bij mij rechtsonder 
A: 	ja 
A: 	nummer zestien 
B: 	nou die zitten dus rechtsonder rechtsonder zijn redelijk leeg 
A: 	ja 
B: 	hebben je drie figuurt die zeggen maar hebben je er één twee drie die zo'n boog maken en daarvan zijn die de onder 
A: 	ja 
A: 	ja als je zo'n schuin cirkel hebben 
B: 	ja ja exact 
A: 	ja 
B: 	ja 
A: 	zelfde plek 
A: 	ik hebben het veel compact figuur met dat balk erbovenop en hij zitten bij mij helemaal links onderin 
B: 	ons Hamer 
B: 	ja de hamer hebben ik ook dat zijn O sorry 
B: 	dat zijn O ik zijn iets te snel 
B: 	en het zijn inderdaad de veel linksonderfiguur 
A: 	ja 
