A: 	dan zitten hij op de goed plek 
A: 	oké deze zijn volgens mij hebben ik wel denken ik nou gewoon bekervorm natuurlijk en dan hebben je een staaf er dwars doorheen maar dat zijn best wel een klein staaf en dan hebben je twee driehoek 
A: 	die een soort van in liggen in het volgens mij hebben er maar één die 
A: 	en daar zijn er twee uitsteeksel die vastzitten aan driehoek 
A: 	aan de nee aan de vierhoek eigenlijk het zijn een er zijn twee kubus die liggen op hun liggen op hun punt in de beker 
A: 	en daar zijn 
B: 	en hij hebben er gaan nog drie stok in naast 
A: 	ja precies er gaan drie stok in er zijn twee uitsteeksel 
B: 	oké 
B: 	het zijn M 
A: 	ja 
A: 	en hij staan in de lichterkant linkerkant van het scherm 
A: 	maar een beetje in links van middenin link 
A: 	dus niet aan te veel aan het scherm en niet te veel in het midden 
A: 	precies in het midden van link 
A: 	en hij en 
B: 	zitten die recht onder een ander afbeelding 
A: 	hij zitten niet recht onder een ander afbeelding 
B: 	echt recht eronder zitten die bij mij 
A: 	niet echt recht eronder 
B: 	zitten die niet op dezelfde plek 
A: 	nee 
B: 	dit zijn weer die kop waar een vierkant in zitten twee vierkant en die worden aandrijven door twee ding aan de zijkant 
A: 	ja ik zien hem 
A: 	ja 
A: 	dat zijn negen 
B: 	hij zitten onder in het scherm 
A: 	ja 
B: 	helemaal onderin laag kunnen die niet 
B: 	aan de linkerkant 
A: 	ja 
B: 	maar wel veel richting het midden 
A: 	ja dat kloppen 
A: 	oké ik zijn weer ach dit zijn weer die de vierkant die op zijn zij liggen in het kop met de twee vierkant die er soort van in gaan doen 
B: 	even opnieuw 
A: 	er zitten een het zijn een vierkant die op zijn in zijn op zijn punt in het kop liggen 
B: 	ja 
A: 	met twee vierkant die steeds klein worden 
B: 	ja oké 
A: 	die hendelt 
B: 	dat zijn H 
A: 	ja 
A: 	hij liggen aan de linkerkant 
A: 	echt één één keer naar boven 
B: 	ja 
A: 	en twee keer naar links 
B: 	ja dat denken ik ook wel 
B: 	oké er zitten een vierkant in die worden weer aandreven door twee vierkant die klein worden 
A: 	ja 
B: 	die twee en waar ook zo'n slurf uit komen 
A: 	oké even kijken waar zijn die 
A: 	waar zijn die 
A: 	zijn het zijn het zijn het die met de zijn het die met de de vierkant de waar die in zitten in de hoek 
B: 	ja er zitten twee vierkant zitten erin 
A: 	ja die zijn het ja 
B: 	en er komen twee van die 
A: 	die zijn zo ingewikkeld 
A: 	elf zijn dat 
B: 	hij zitten bij mij links bovenin 
A: 	ja 
B: 	en dan ongeveer twee van de zijkant van het scherm af 
B: 	en hij kunnen een half keer naar boven 
A: 	twee en hij kunnen een half keer naar boven 
A: 	en even kijken hoor 
A: 	ja dit zijn met de driehoek en de twee de de vierhoek met de twee vierkant die eraan vastzitten als hendelt 
B: 	ja 
B: 	ja 
B: 	dat zijn D 
A: 	die zitten linksonder 
A: 	best dicht bij het bij de onderkant van het scherm 
A: 	kunnen er kunnen er niet misschien niet eens nog één keer in misschien een half keer in 
B: 	ja 
A: 	en hij liggen best wel ver af van het scherm 
A: 	van de linkerkant 
A: 	van de 
B: 	best wel ver 
A: 	best wel ver vinden ik drie keer of zo 
B: 	oké dat zijn niet goed 
A: 	twee keer 
A: 	zijn jij 
B: 	dat zijn die met de vierkant erin 
A: 	ja 
B: 	waar die twee twee uitreksel 
A: 	met die twee uitsteeksel ja 
A: 	dat zijn veertien click of the computer 
B: 	hij zitten precies op het midden van het scherm qua hoogte 
A: 	ja 
B: 	qua hoogte zitten die in het midden en hij zitten aan de linkerkant 
B: 	ja hij kunnen er misschien nog een half keer naast 
A: 	een half keer naast naar het naar links 
B: 	ja 
A: 	nee dat kloppen niet 
