B: 	oké 
B: 	dit lijken een beetje ik vinden hem altijd een beetje op een gezicht lijken er staan een heel groot cirkel voorop en er zitten drie van die 
B: 	soort van balk eromheen en met al aan al twee de kant drie van die rond 
A: 	oké 
A: 	ja 
B: 	weten je wel ? een soort van 
A: 	ja 
A: 	dan de 
B: 	ik zien het een beetje als staart of zo 
A: 	ja 
A: 	soort Pippi Langkous idee en dan ook een ondergrond 
B: 	ja achtig idee 
B: 	plateau eronder ja 
A: 	ja 
A: 	dat zijn bij mij nummer vijf 
B: 	oké 
A: 	dus vijf geel 
B: 	oké dit zijn wel iets moeilijk 
B: 	sowieso aan de linkerkant 
B: 	en dan niet de onderste rij maar één daarboven 
A: 	ja dan houden het bij mij al op want hij staan bij mij echt net iets boven de helft zelfs 
B: 	oké 
B: 	neeen hier echt niet hier staan die echt wel naar onderen 
A: 	oké 
A: 	dus dan staan die niet op dezelfde positie 
A: 	dus dat worden rood 
A: 	dit zijn weer die Pippi Langkous met die aan beide kant die drie vormp 
B: 	dit zijn J 
A: 	en de grond 
A: 	en die staan echt helemaal rechts onderin bij mij 
B: 	helemaal rechts 
A: 	ja echt ertegenaan 
B: 	tegenaan 
A: 	ja er zullen één vinger tussen kunnen 
A: 	zo en zo maar 
B: 	oké staan die niet op dezelfde plek 
B: 	dit zijn die clown 
B: 	nou die Pippi Langkous bedoelen ik 
A: 	de 
B: 	met die staart 
A: 	ja met de staart 
B: 	ja ik zien er ook een clown in vanwege dat soort van platgedrukt neus voorop 
A: 	oké 
A: 	ja ik hebben dan ik hebben juist een ander als clown noemen dus 
A: 	ik hebben de clown met de bol neus 
B: 	ja 
A: 	maar dit zijn dus met de plat neus Pippi Langkous 
B: 	ja 
A: 	dat zijn elf 
B: 	en dan zijn het of linkerkant van het scherm en dan ongeveer op de helft van het scherm net iets daaronder en dan in het midden 
A: 	net iets eronder 
B: 	net iets ik denken net iets onder het midden 
A: 	oké nee dat deze staan denken ik net iets daarboven 
B: 	en dan in het midden wel 
A: 	dus dat zijn niet dezelfde plek 
A: 	dit zijn weer de Pippi Langkous 
B: 	ja 
A: 	dus met de twee 
B: 	P 
A: 	en die staan rechts van het midden 
A: 	en er zullen er nog één boven kunnen 
A: 	hij staan net één stap rechts van het midden 
A: 	dus als je het midden hebben staan die wel tegenaan 
A: 	en bovenin zullen er nog één tussen kunnen 
B: 	nee dat zijn niet hetzelfde 
B: 	dit zijn die Pippi Langkous 
A: 	oké 
B: 	met die staart 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	in het midden helemaal bovenin 
B: 	kunnen er denken ik net wel net niet één boven 
A: 	hier kunnen er bijna twee tussen dus niet dezelfde 
A: 	dit zijn Pippi Langkous 
B: 	dit zijn L 
A: 	en daar kunnen die staan aan de linkerkant van het scherm 
B: 	link 
A: 	link ja 
B: 	nee dan staan die niet op dezelfde plek 
B: 	deze staan ja echt helemaal naar rechts 
A: 	oké 
B: 	nee 
