B: 	even kijken 
B: 	dit zijn echt zo'n heel irritant vorm met zo niks heel interessant zijn er zitten in ieder geval een 
B: 	langwerpig liggen balk op 
B: 	en dan zo'n zo'n klein cilinder aan de rechterkant 
A: 	ja 
A: 	ja en zo'n aan de linkerkant lijken een soort van lampenkap achtig erop 
B: 	ja 
B: 	ja 
A: 	ja dat zijn acht 
B: 	ja 
A: 	vinden ik ook al zo niks zeggen 
B: 	hij zitten bij mij het veel in het midden van al ander te opzicht van al ander 
A: 	ja 
B: 	het zijn een beetje linksboven ook 
A: 	ja 
A: 	maar wel echt het veel in het midden ja 
B: 	ja 
A: 	ja dat zijn bij mij ook 
A: 	dit zijn die eigenlijk die nikszeggen met die balk bovenop en die lampenkap 
B: 	oké dus dat zijn E 
A: 	en dit zijn bij mij van het vierkant in het midden zijn dat rechtsonder 
B: 	nee bij mij rechts bovenaan zijn een ander plek 
B: 	dit zijn weer die saai met de de langwerpig balk erop 
A: 	en die lampenkap 
B: 	ja 
A: 	dat zijn één 
A: 	bij mij zijn die als je helemaal bovenaan zitten en dan gewoon in het midden 
B: 	ja op dezelfde plek denken ik 
A: 	oké 
A: 	dit zijn weer die saai met die balk en die lampenkap 
B: 	ja dat zijn E 
A: 	en als je linksonder kijken dan hebben je zeggen maar zo'n vierkantje weer van en dan zijn het de rechtsboven 
B: 	ja dat zijn dezelfde plek 
B: 	dit zijn die weer die saai met de balk erop en de lampenkap aan de linkerkant 
A: 	dat zijn zestien 
B: 	bij mij zijn het die onderaan rechts maar niet echt in de hoek of zo 
A: 	ja de degeen die echt het veel aan de onderkant zitten 
B: 	wel 
A: 	ja 
A: 	dat zijn hetzelfde 
A: 	dit zijn die saai met die balk en die die lampenkap 
B: 	ja dat zijn O 
A: 	en bij mij zijn dat helemaal linksonder 
B: 	ja 
