B: 	oké nu hebben ik hem 
B: 	het zijn een soort van ja ook dat komme en ik ik zien het zeggen maar veel als een slurf 
B: 	en dan een vierkant eromheen 
B: 	dus het zijn een komme 
A: 	ja 
B: 	en daar zitten dan een soort van slurf aan en daar zitten dan zo'n vierkant zitten dan helemaal eromheen 
A: 	ja 
A: 	ja en twee torent in de lucht 
B: 	ja 
A: 	ja 
A: 	inderdaad hij doorboort eigenlijk een beetje de grond 
B: 	ja 
A: 	zo hebben ik het dat zijn bij mij zes 
A: 	dus nou zes en geel 
B: 	helemaal bovenste rij 
B: 	en dan als je het midden hebben dan aan de rechterkant boven 
B: 	dus niet helemaal rechts 
B: 	maar iets veel ja drie vier 
A: 	net iets rechts van het midden 
A: 	ja 
B: 	ja 
A: 	ja dat zijn 
A: 	even denken hij want zitten die er zitten nog wel een klein balk tussen het bovenste stuk denken 
B: 	ja ja 
A: 	heel klein stuk 
B: 	denken sowieso bij ze allemaal 
A: 	ja 
A: 	en 
B: 	dus het zijn zeggen maar wel gewoon helemaal bovenaan als je de helft hebben precies de helft zitten die precies ernaast en dan kunnen zullen er nog drie of twee naast kunnen 
A: 	oké 
A: 	ja 
A: 	dan denken ik wel dat die op dezelfde positie staan 
A: 	dus gaan ik wederom voor geel 
A: 	dit zijn met die slurf en die twee tentakel omhoog 
A: 	en ja waar die eigenlijk de grond doorboort dus je hebben zo'n zo'n plat vlak en daar zitten die half boven half onder 
B: 	ja 
B: 	dat zijn C 
A: 	en die staan rechts van het midden 
A: 	eigenlijk helemaal bovenaan 
A: 	en dan van het van de rechterhelft van het scherm staan die dus eigenlijk ook weer precies in het midden 
B: 	staan die op dezelfde plek 
B: 	dit zijn die die slurf die zeggen maar de grond doorboort 
B: 	met die twee punt bovenop aan de zijkant een armp 
A: 	ja 
A: 	dat zijn nummer dertien 
B: 	en hij staan helemaal linksboven in het scherm 
B: 	en dan zullen er zeggen maar boven nog twee vinger kunnen en rechts zullen er zeggen maar net wel net niet nog één kunnen 
A: 	bij mij staan die aan de of nee wel links 
A: 	maar niet bovenin 
B: 	oké 
A: 	dus niet dezelfde plek 
A: 	dit zijn de slurf en de basisvorm die doorboort de grond twee tentakel in de lucht en nog één 
A: 	aan de zijkant 
B: 	even ja 
B: 	dat zijn J 
A: 	deze staan eigenlijk op de middellijn 
B: 	ja 
A: 	net iets naar links geschoven 
A: 	en er zullen geen figuur onder kunnen maar wel één anderhalf vinger 
B: 	nee dan staan die niet op dezelfde plek 
B: 	dit zijn met die slurf die de grond doorboort 
A: 	ja 
A: 	dat zijn negen 
B: 	hij staan als je het het heel scherm hebben hij staan die aan de rechterkant en dan met hoogte staan die net boven het midden 
B: 	en dan kunnen er drie vinger naast 
A: 	oké nee dat zijn niet dezelfde positie 
B: 	twee drie 
A: 	dit zijn met de slurf en die ook de grond doorboort 
B: 	dat zijn N 
A: 	en die staan ja eigenlijk in de middellijn net een stuk naar rechts 
B: 	ja 
A: 	en wel eigenlijk bijna helemaal bovenaan daar kunnen er misschien nog één twee vinger tussen maar geen figuur 
B: 	dat zijn dezelfde plek 
