A: 	deze hebben een soor ja ik vinden het best lastig een beetje ISS International Space Station achtig bovenop 
A: 	met zo'n vierkan zo met de 
B: 	zo'n ruit 
A: 	ja zo'n ruit met de punt erin en dan twee 
B: 	ja 
B: 	en dinget eruit 
A: 	precies en dan aan de voorkant nog aan de zijkant en aan de onderkant 
B: 	ja 
B: 	en aan de onderkant 
B: 	ja ja dat zijn M bij mij 
A: 	ja precies 
A: 	oké 
B: 	ja 
A: 	ja bij mij staan die dan in de linkerhelft van het scherm net iets onder de helft 
A: 	en dat dat gek ding met die soort confetti van daarnet 
B: 	ja ja space station 
A: 	ja nee die die komen net door het het plaat heen 
B: 	ja 
B: 	oké nee dat hebben ik niet 
A: 	nee dan zijn die 
B: 	bij mij staan die hij staan bij jou onder de helft of 
A: 	onder de helft ja aan de 
B: 	ja bij mij staan die wel op of net erboven dus 
A: 	dan zitten ze op een ander plek 
B: 	ander plek 
A: 	nou gaan lekker 
B: 	ja toch 
B: 	weer die met die sellight achterop 
A: 	met de wat 
B: 	met met die sellight dat ruit dat ruit dat er een soort van in zitten met die met die legoblokje die er zo 
A: 	ja 
A: 	ja ja ja 
B: 	en met dat toe en dan zo zo'n arm van onder 
A: 	even kijken ja ja 
A: 	nummer negen 
B: 	ja 
B: 	oké 
A: 	ja 
B: 	hij zitten link van het midden 
A: 	ja 
B: 	maar niet helemaal op de helft zullen ik zeggen en helemaal onderop 
B: 	helemaal onderin 
A: 	ja bij mij ook inderdaad ja net niet helemaal op de ja dat zijn wel dezelfde plek 
B: 	ja 
B: 	oké top 
A: 	oké 
A: 	nou weer met het space station bovenop waar het diamantvormpje zo erin opsteken 
B: 	oké 
B: 	yes en dan dat haak zo eronder 
A: 	precies 
B: 	de H bij mij 
A: 	ja en hij staat ongeveer op de helft van de helft link net iets boven de ja ook wel helft van de helft boven 
B: 	ja ja ik denken wel zelfde plek 
A: 	ongeveer 
A: 	oké 
B: 	dan weer de space station 
A: 	ja 
B: 	met de armp 
A: 	waar zijn die ? elf 
B: 	bij mij zijn die helemaal links bovenin 
A: 	ja 
B: 	er staan niks veel naast 
A: 	nee 
B: 	maar qua plek zijn het ongeveer de helft van de helft links 
B: 	en dan ook ongeveer de helft van de helft boven 
A: 	ja bij mij ook ja 
B: 	oké 
A: 	oké nou dit zijn weer space station bovenop 
B: 	space station dat zijn de D 
A: 	en het fliebel onderaan 
B: 	worden zo snel 
A: 	makkelijk makkelijk 
A: 	en dan ongeveer op de helft helft links 
A: 	en ja ook wel ongeveer op de helft helft onder 
B: 	oké nee mijn zitten veel link 
A: 	oké 
B: 	ander plek 
B: 	weer de space station 
A: 	space station veertien 
B: 	hij staan redelijk op de helft van de helft 
B: 	en helemaal links 
A: 	helemaal links 
B: 	bij mij 
B: 	ja nou er zijn nog wel iets ruimte maar er staan niks 
A: 	nee dan staan die op een ander plek 
B: 	ja 
