A: 	oké het plaat wat ik nu gaan omschrijven zijn er één die hebben we eerder al benoemen een soort van twee arm en een paal er midden voor 
A: 	ja dat zijn hem 
B: 	dat zijn hem oké D 
B: 	ik moeten nu drukken 
A: 	ja kloppen 
B: 	ja oké 
A: 	yes en hij staan helemaal onderaan 
A: 	en dan net iets link van het midden 
B: 	ja 
A: 	en dan staan er zeggen maar ja bij mij staan er dan nog één plaat link van 
A: 	en één dan direct rechtsbof 
B: 	ja bij mij ook 
B: 	ja 
A: 	ja 
A: 	en dan zeggen maar van de onderste rij zijn het hebben ik er drie staan 
A: 	en dan zijn het dus de middel van die drie 
B: 	ja dat hebben ik ook en dan 
A: 	oké ik nemen ik neem aan dat het dan wel hetzelfde zullen zijn 
B: 	dat denken ik ook 
A: 	oké 
B: 	moeten ik 
A: 	ja 
B: 	dat denken ik ja 
A: 	tuurlijk jij zijn het ja 
B: 	ongeveer dezelfde plek zijn geel 
B: 	ja 
A: 	ja kloppen 
B: 	oké dit zijn bolle bovenop en rechthoekig ding aan de voorkant 
A: 	even zien 
B: 	rechthoekig staaf 
B: 	en dan aan de beide kant de armp 
A: 	ja dus de arm met de staaf recht ervoor en het soort ei boven op de 
B: 	ja 
A: 	ja oké 
A: 	dat zijn vijftien 
B: 	oké en hij staan bij mij rechts onderin 
B: 	dus zeggen maar het linker of het sorry het rechteronderkwadrant en dan helemaal rechts onderin en er past geen plaat veel onder of rechts naast 
A: 	ja nee bij mij staan die op een ander plek 
B: 	oké 
A: 	dit zijn het plaat met de arm en de balk midden voor en een soort van ei erbovenop 
A: 	zeggen maar twee arm aan de zijkant balk er midden voor 
B: 	ja L 
A: 	yes 
A: 	en hij staan in het Linkerbovenkwadrant 
A: 	en dan iets veel nog naar rechts hij staan een beetje richting de middellijn van het heel scherm 
B: 	ja en staan die ongeveer in het midden ook van dat kwadrant 
A: 	ja een beetje beetje nog naar rechts wel ver maar dus ja 
B: 	ja ja ja maar ik bedoelen 
A: 	ja qua qua hoogte dan 
B: 	ja 
A: 	ja dat wel 
B: 	oké en dan wel iets wat naar rechts boven kunnen er net 
A: 	dat wel 
A: 	boven kunnen er niks veel tussen 
B: 	net niet of helemaal niks 
A: 	net niet zeggen maar nou ja dat nee dat gaan die niet redden 
B: 	net niet 
B: 	nee 
A: 	en dan als je er iets rechts van zullen zetten dan zullen dat in het rechterbovenkwadrant waarschijnlijk of nou ja dan zullen het een beetje op het rand terechtkomen van Rechterbovenkwadrant Linkerbovenkwadrant 
B: 	ja ik denken wel ongeveer hetzelfde maar wat je als laat zeggen dat hebben ik niet helemaal 
A: 	of nou ja dan komen die eigenlijk nou nee dan komen die veel gewoon in het midden van het scherm van terecht 
B: 	in het midden 
A: 	ja precies 
B: 	ja dan hebben we wel hetzelfde 
B: 	oké 
B: 	dit zijn de het ei bovenop met die armp rechts links en aan de voorkant die paal 
A: 	die paal 
A: 	dat zijn zes 
B: 	en hij staan bij mij rechterscherm ongeveer in het midden 
A: 	nog in het midden 
B: 	ik denken echt op het midden van onder bovenkwadrant maar wel iets naar rechts er kunnen één plaat tussen 
A: 	en 
A: 	dus je zullen hem echt niet het rechteronderkwadrant geven 
B: 	nee 
A: 	nee oké 
A: 	dit zijn zeggen maar de arm en de paal ervoor en het ei erbovenop 
A: 	arm aan de zijkant zeggen maar 
B: 	ja J 
A: 	en die staan bij mij rechterhelft van het scherm en dan best wel in het midden 
A: 	iets naar boven iets naar rechts 
B: 	ja hebben ik ook ja 
B: 	dit zijn de met de armp ei bovenop en de paal vooraan 
A: 	ja 
A: 	dat zijn drie 
B: 	hij staan bij mij rechterscherm 
B: 	ongeveer in het midden maar dan wat naar rechts de past zeker geen plaat veel tussen aan de rechterkant en boven twee 
A: 	ja 
A: 	dat hebben ik ook en dan zeggen maar daaronder zullen ook echt nog wel anderhalf tot twee plaat kunnen 
B: 	ik zullen zeggen anderhalf 
A: 	ja 
A: 	ja dat zijn ik wel met je eens ja 
B: 	ja 
A: 	zelfde plek 
