B: 	hier zitten ook zo'n plaat door het kop 
B: 	en tenminste volgens mij zijn het een plaat en er zitten twee van die poo aan en een ja nog iets staan erop 
A: 	ja 
A: 	poot aan 
A: 	ja ja ja 
A: 	ja ja ja 
B: 	en een soort staart of zo 
A: 	zestien zijn dat bij mij 
B: 	deze staat weer op de rechterschermhelft 
B: 	in het midden van de verticaal lijn 
B: 	en echt net onder de horizontaal lijn 
A: 	nee bij mij staan die echt heel ergens ander 
B: 	oké 
A: 	dit zijn een kop met 
A: 	met een soort van een tafel erdoorheen geschoven met die twee uit uitstekend ding aan dat plateau zeggen maar 
A: 	en dan zitten er nog een soort van kuip bovenop en een slange achter 
B: 	ja dat zijn P 
A: 	en die zitten bij mij aan de rechterkant en echt precies in het midden 
B: 	ja dat zijn hetzelfde denken ik 
B: 	bij deze zitten die plaat erdoorheen met van die poo aan de onderkant en het kuip erop 
B: 	en het slange aan de achterkant eruit 
A: 	ja ja 
A: 	veertien 
B: 	en deze staan bijna helemaal in het midden als je hem weer verdeellen 
B: 	en aan de onderkant 
A: 	en dan iets veel naar links 
B: 	ja ja 
A: 	dit zijn met die plank aan de bovenkant erdoorheen smeten zeggen maar met twee van die 
A: 	poot eruit en dan weer zo'n ja waarschijnlijk hebben je hem al 
B: 	dinget 
B: 	ja dat zijn N 
A: 	en als je hij staan aan de linkerkant 
A: 	en dan verticaal wel in het midden alleen horizontaal staan die er net boven 
B: 	ja dat zijn hetzelfde 
B: 	dit zijn waar die plaat er aan de bovenkant doorheen zitten en die poot en dat cupje 
A: 	tien 
B: 	en als je het scherm verticaal doormidden verdeellen dan snijd je erdoorheen 
B: 	en net iets boven de horizontaal middellijn 
A: 	net of wel echt goed Erboven 
B: 	ja als je een lijn zullen hebben dan zullen je hem niet snijden 
A: 	ja oké 
A: 	dit zijn met die met die plank aan de bovenkant erdoorheen spiesen met zo'n 
A: 	oplopen kubusiets en twee poot 
B: 	ja dat zijn D 
A: 	en die staan aan de rechterkant van je scherm 
A: 	en duidelijk aan de rechterkant ook wel 
A: 	en net iets boven het horizontaal midden 
B: 	oké 
B: 	denken niet dat dat zijn 
