B: 	deze hebben een driehoekuitsteeksel aan de linkerkant en boven een blok en een soort pylonnetje 
B: 	en aan de voorkant nog een rond 
B: 	en ver zijn die best wel simpel 
B: 	aan de bovenkant hebben die aan de rechterkant een een balk zeggen maar en aan de linkerkant iets wat lijken op een pionne of zo een 
A: 	hebben die ook onder zo'n uitsteeksel 
B: 	nee hij hebben onder helemaal niks 
B: 	hij hebben twee zij steeksel aan de zijkant en twee aan de bovenkant 
A: 	oké 
A: 	ik hebben echt geen idee 
A: 	kunnen je waar zitten het driehoek 
B: 	er zitten nee die steken zeggen maar uit als een driehoekigvormig balk 
B: 	en die zitten aan de linkerkant 
B: 	een beetje zo in het midden 
B: 	en aan de rechterkant zitten er in het midden komen er een bol uit 
A: 	ja 
A: 	die bol ja en dan twee verschillend ding bovenop 
B: 	ja 
B: 	ja ja ja die 
A: 	oké ja dan zijn het veertien 
B: 	oké 
B: 	bij mij staan die in het midden van het scherm maar wel een beetje aan de rechterkant 
B: 	de éénnaonderste 
B: 	zeggen maar er zitten er één helemaal rechtsonder in zijn één 
A: 	ja 
B: 	daar zitten die links boven 
A: 	oké en dan hebben je daar links naast nog één die er niet heel ver onder zitten 
B: 	ja ja 
A: 	en dan daaronder zitten er nog één en dat zijn de onder 
B: 	ja het zijn zeggen maar de bovenste van die drie 
A: 	ja oké dan zitten die op dezelfde plek 
B: 	ja 
A: 	dit zijn die met die bol aan de voorkant en die twee verschillend ding erbovenop 
B: 	ja 
A: 	met die driehoekig uitsteeksel nog 
B: 	oké 
B: 	dat zijn N 
A: 	en die staan bij mij helemaal links 
B: 	oké dan staan die niet op dezelfde plek 
B: 	ik hebben diegene met twee verschillend uitsteeksel aan de bovenkant 
A: 	ja 
B: 	een driehoek eruit en een rond aan de voorkant 
A: 	ja dat zijn negen 
B: 	oké bij mij zijn dat van die achten het veel linkerrij de onder 
A: 	oké dan staan die niet op dezelfde plek 
A: 	dit zijn die met die bol aan de voorkant en twee verschillend uitsteeksel boven en zo'n driehoek aan de zijkant 
B: 	ja 
B: 	oké dit zijn G 
A: 	en in het midden hebben je dus drie die een beetje zo boven elkaar staan 
B: 	ja 
A: 	daar zijn die de middel van 
B: 	ja dan staan die op dezelfde plek 
B: 	ik hebben diegene met twee verschillend uitsteeksel en een bol en een driehoek aan de zijkant 
A: 	ja 
A: 	oké dat zijn vijf 
B: 	die staan een beetje alleen rechts in het midden bovenaan 
B: 	er zitten oké wachten even uitleggen goed 
B: 	in het midden hebben je een weer een driehoek met één daarboven 
B: 	een beetje 
A: 	ja 
A: 	ja 
B: 	en daar staan die schuin rechtsboven van 
A: 	nee dan staan die niet op dezelfde plek 
B: 	oké 
A: 	dit zijn die met die bol aan de voorkant en twee verschillend uitsteeksel bovenop en dat driehoek 
B: 	ja denken ik 
B: 	ja dat zijn J 
A: 	ja als je rechtsboven in het scherm kijken 
A: 	dan hebben je een soort driehoek 
B: 	ja 
A: 	met drie ding 
B: 	ja 
A: 	en daar zijn die linksonder van 
B: 	nee bij ja oké nee dan zijn het niet op dezelfde plek 
A: 	oké 
