B: 	het zijn die een die een soort van schoorsteen aan de zijkant hebben en hij hebben twee 
A: 	wachten welk zijkant 
B: 	link 
A: 	ja 
A: 	zijn dat zo'n schuin ? die bedoelen je of een ander 
B: 	gaan ik even over 
B: 	hij zijn bijna horizontaal en dan gaan die recht omhoog 
B: 	maar dat zijn niet het belangrijk hij hebben twee punt bovenop 
B: 	dan hebben die een soort van slurf naar beneden 
B: 	en er zitten een vlak doorheen 
A: 	wachten even 
A: 	ja ja dan weten ik welk je bedoelen 
B: 	ja wel wel 
A: 	ja dat zijn nummer zes 
B: 	hij zitten bij mij helemaal bovenaan en dan iets veel naar rechts 
A: 	ja bij mij ook 
B: 	oké 
A: 	ik denken op dezelfde plek 
A: 	ja 
A: 	een klein beetje naar rechts net over het midden 
B: 	ja 
A: 	oké 
A: 	bij mij zijn het diegene met die slurf 
A: 	en de hoe noemen je dat ook alweer ? het schoorsteen volgens mij 
A: 	die er zo uit steken 
A: 	of aan de ander kant voor jou 
A: 	met die twee dinget bovenop 
B: 	ja ik moeten even met dat vlak erin 
A: 	ja 
A: 	ja dat zijn wel een goed omschrijving 
B: 	ja C 
A: 	en hij staan bij mij zijn het de bovenste van de slinger van rechts 
B: 	ja bij mij ook 
B: 	ja het lijken weer op zo'n bikinibroekhuis met zo'n slurf aan de voorkant en het vlak erin 
B: 	ze lijken allemaal op bikinibroekhuis 
A: 	even kijken wachten even 
A: 	ja die dat vlak zo erin 
B: 	ja 
A: 	ja nummer dertien 
B: 	en hij staan bij mij veel Linksboven 
A: 	helemaal Linksboven 
B: 	ja 
A: 	nee bij mij niet bij mij zitten die linksmidad 
A: 	dit zijn degeen met de slurf en zo'n plateau erdoorheen 
B: 	ik weten welk je bedoelen maar waar zijn die 
B: 	ja ik hebben hem vinden 
B: 	het zijn J 
A: 	dit zijn degeen bij mij vrijwel in het midden onderin 
B: 	ja bij mij ook 
B: 	het zijn die met dat vlak erdoorheen 
A: 	ja 
A: 	negen 
B: 	of 
B: 	en die zitten bij mij rechts 
A: 	bij mij zijn het de allerrechts 
B: 	ja maar je hebben twee uiterst rechts en dan bij mij zijn het de boven 
A: 	ja 
A: 	nee bij mij niet 
B: 	oké 
A: 	dit zijn degeen met de slurf en de uitsteeksel met die balk en met die plaat erdoorheen 
B: 	ja N 
B: 	en die zitten midden helemaal boven 
A: 	ja precies best wel in het midden 
B: 	ja 
A: 	dat moeten jij doen 
B: 	sorry 
