B: 	oké deze hebben dat zijn die emmer met maar dan vier uitsteeksel waarvan één zo'n ei zijn of zo'n bal 
B: 	en dan aan de linkerkant zitten een driehoek dat uitsteken boven 
A: 	ja zo'n Vgootje zeggen maar 
B: 	ja ja zoiets 
B: 	aan de bovenkant zitten een kegel en één en en een rechthoek 
A: 	ja precies 
A: 	ja dat zijn veertien 
B: 	en die staan als je zo de het midden hebben 
B: 	dan staan die daar net rechts van 
A: 	ja 
B: 	aan de onderkant 
A: 	ja ja ja ja dat hebben ik ook 
B: 	maar dan echt net rechts van het midden 
A: 	ja 
B: 	ja 
A: 	ja ja ja ja en dan die horizontaal lijn dan ook net iets eronder 
B: 	dan staan die op 
B: 	perfect 
A: 	vanuit het ja precies 
B: 	ja dezelfde plek 
A: 	ja dit zijn die met met dat ei aan de voorkant en dan die V goot zeggen maar aan de linkerzijkant 
B: 	en dan daarbovenop 
B: 	ja 
A: 	en aan de achterkant weer die rechthoek met met die ander raar vorm ernaast 
B: 	ja 
B: 	dat zijn N 
A: 	en die zitten bij mij als veel links figuur 
A: 	en dan net boven het midden 
B: 	nee 
B: 	ander plek 
B: 	dit zijn die met die ei 
B: 	eigenlijk die vier uitsteeksel dat ei voorop en dan 
B: 	dat dat driehoekig ding aan de linkerkant en die kegel bovenop en dat blok 
A: 	ja 
A: 	ja ja ja precies negen 
B: 	en die staan bij mij aan de linkerkant helemaal links 
A: 	ja 
B: 	en dan op de horizontaal lijn bijna 
B: 	net iets daarboven 
A: 	nee nee nee bij mij staan die echt strak 
B: 	nee een ander plek 
A: 	ja dit zijn dat ei voor en dat de V dat V Vgootje aan de zijkant en dan 
B: 	ja 
B: 	ja ja 
B: 	G 
A: 	en die zitten dan ja op die middel lijn net als je dat kruis hebben zeggen maar 
A: 	dan net linksonder daarvan 
B: 	ja 
B: 	ja dat hebben ik ook 
A: 	ja 
B: 	dit zijn ei en dat dat dat V V'tje en die kegel en dat balk 
A: 	dat ei dat V'tje en dat 
B: 	die kegel en dat balk 
B: 	balk bovenop 
A: 	ja die V aan de zijkant zo 
B: 	ja 
B: 	ja precies 
A: 	vijf 
B: 	en die hebben ik in het rechterkwadrant staan 
B: 	en dan oeh 
B: 	ja net iets zeggen maar zo'n stuk vanaf de rand vanuit het midden van het plaat zien 
B: 	zo'n stuk vanaf de rand 
B: 	en dan zo'n en ook weer zo'n stuk vanaf deze rand 
A: 	nee ik hebben hem zo'n stuk van de rand zo 
B: 	nee dan zijn het een ander plek 
A: 	ja dit zijn die dat ei aan de voorkant die V aan de zijkant 
B: 	ja 
A: 	en dan boven die rechthoek en dat 
B: 	ja dat zijn J 
A: 	ja en die zitten dan in het kwadrant rechtsboven en dan ja ongeveer in het midden daarvan 
B: 	nee ik hebben hem echt op de horizontaal as staan en op de verticaal as bijna 
B: 	dat zijn niet helemaal waar maar ik denken dat het wel een ander plek zijn want ik hebben hem hier zo dat zijn bijna het midden 
A: 	nee nee 
A: 	ja 
B: 	je hebben hem veel ver naar buiten staan denken ik 
A: 	even kijken dit zijn bij mij het midden 
A: 	ja het zullen ja ik denken dat ik denken dat die op een ander plek staan net 
B: 	nee dit zullen wel 
B: 	ik denken het ook 
