A: 	het lijken net alsof er iets van een een heel groot 
A: 	ja het zijn niet echt een punaise maar echt zo'n een een naald of iets of zo of een splinter erin komen 
B: 	zo'n soort Eiffeltoren op zijn kop 
A: 	of een naald of zo dat lopen zo 
A: 	ja precies of een Eiffeltoren op de kop dat die erin gaan zeggen maar echt ja 
B: 	ja 
B: 	oké dat zijn L 
A: 	en hij staan helemaal onder en dan ongeveer tussen de nou tussen de twee en de drie van link 
B: 	nee daar staan die bij mij staan die helemaal links dus 
A: 	nee 
B: 	ja dit zijn ja weer het kop met dat een plat plaat en die omgekeerde Eiffeltoren 
A: 	ja waar zijn die ook alweer eens ? waar staan je ook alweer eens 
A: 	even kijken zijn dat met die een plaat zo schuin en dan twee Eiffeltoren erin en boven nog zo'n een beetje zo'n paddenstoel of zijn dat die ander 
A: 	met die Eiffeltoren erin boven één zo'n ding en dan dezelfde ernaast 
B: 	ja het zijn zeggen maar één zo dat zijn eigenlijk die naald zeggen maar die er 
A: 	die zijn het dat zijn dat noemen je Eiffeltoren ja kloppen ik weten het weer 
B: 	ja 
B: 	ja 
A: 	in die groot blok ja 
B: 	ja ja 
A: 	zeven 
B: 	ja en hij staan ja hij staan wel vrij bovenin en dan beetje link van het midden 
A: 	ongeveer twee à drie boven en ook zo'n twee à drie van links in het midden 
B: 	nee hij staan wel gewoon boven 
B: 	nou ja er staan nog één ding dat iets hoog zijn dan deze bij mij dan 
B: 	en ja links één à 
A: 	ik denken het van niet 
A: 	dit zijn die ja naald in de arm lijken het wel een beetje of die nee geen piramide wat zeggen je ook weer eens ? Eiffeltoren zeggen je volgens mij in die in de arm 
B: 	ja ja 
B: 	ja ja ja 
B: 	ja 
B: 	C 
A: 	en hij staan als je het met het midden vergelijken ongeveer in het midden maar een beetje schuin boven het midden rechts 
B: 	oké dan staan die niet hetzelfde 
B: 	dat zijn die naald in die arm 
A: 	ja 
A: 	ja 
A: 	één 
B: 	bij mij staan die ja links 
B: 	zullen in principe nog één rij link van nog kunnen en in het midden 
A: 	ja 
A: 	ja ik denken gelijk 
A: 	dit zijn de Eiffeltoren in de arm 
B: 	A 
A: 	hij staat ongeveer qua hoogte in het midden maar en als je het midden weer delen dan zijn het links ook weer het midden 
A: 	dus het midden van links en qua hoogte ook in het midden 
B: 	ja ja ja 
B: 	de naald 
B: 	in de arm 
A: 	de naald in de arm ja 
A: 	dertien 
B: 	ja eigenlijk waar die een rugtas staan dan zijn die eigenlijk gewoon één stap naar richting het midden toe diagonaal zien 
A: 	oké nee bij mij staan die echt in het midden en helemaal links ertegenaan dus dat 
B: 	ja 
