A: 	oké deze zijn een beetje lastig uit te vastleggen aan de rechterkant zijn een soort van een soort van het lijken een beetje op een dienblad een plat cirkel laten maar zeggen 
A: 	die aan de rechterkant uitsteken 
B: 	ja zo'n plateautjeachtig iets 
A: 	en aan de linkerkant opsteken er ook iets uit met daar een soort van piek bovenop 
B: 	ja 
B: 	dat zijn L 
A: 	ja 
A: 	en bij mij staan die aan de linkerkant van het scherm 
A: 	redelijk in het midden laten maar zeggen van de linkerkant en dan helemaal onderaan 
B: 	dus er zullen er nog één link van nee dan staan die sowieso op een ander plek 
B: 	ik hebben die een met dat dat plateau hoe noemen jij dat ? aan de rechterkant 
B: 	en dan een uitsteeksel links met daar weer een uitsteeksel bovenop 
A: 	ja dat zijn nummer zeven bij mij 
B: 	en die staan aan de linkerkant 
B: 	er toepassen er twee vanaf de linkerkant tussen 
B: 	en hij staat ook wel een stuk boven de middellijn 
B: 	met dan ik denken dat er één tussen past vanaf de middellijn en niet één boven 
A: 	dan zijn bij mij neegen niet de goed plek 
A: 	ik hebben diegene met dat plateau weer aan de rechterkant en dan dat uitsteeksel met die piek erop 
B: 	ja 
B: 	dat zijn C 
A: 	bij mij staan die net iets rechts van de middellijn denken ik 
B: 	ja 
A: 	en ja net een beetje als je het scherm door de helft verdeelen dat die dan net ja hoe zeggen je dat 
B: 	staan die onder of boven de middellijn 
A: 	als 
A: 	boven 
B: 	boven nee bij mij staan die onder 
A: 	oké 
B: 	ik hebben die een met het plateau en dan het ding met de toren erop of whatever 
A: 	ja nummer één 
A: 	ja wel 
B: 	en hij staan aan de linkerkant 
B: 	er past er denken ik geen veel link van en onder de middellijn 
A: 	ja ik denken dat we dezelfde plek hebben 
B: 	ja 
A: 	ik hebben die met dat plateau aan de rechterkant 
A: 	en dat uitsteeksel met die piek aan de linkerkant 
B: 	ja 
B: 	ik zijn blind 
B: 	daar zijn die dat zijn A 
A: 	en bij mij staan die als je van boven en onder kijken laten maar zeggen wel redelijk op de middellijn 
B: 	ja hebben ik ook 
A: 	en dan eigenlijk ook wel in het midden van de linkerkant van het scherm 
B: 	ja hebben ik ook 
B: 	dit zijn met het plateaut rechts en dan dat ding links met de toren erop 
A: 	dat zijn bij mij nummer ik zijn hem even kwijt hoor 
A: 	nummer dertien 
B: 	hij staan aan de linkerkant onder de middellijn 
A: 	bij mij staan die helemaal tegen de linkerkant aan 
B: 	nee 
A: 	oké 
