A: 	oké één zelfde haar maar een ander dinge 
A: 	daarnaast hebben die aan de rechtervoorkant een bolletje erop zitten waaroverheen zo'n ijstheestampertje doorheen gaan 
B: 	ja hij zijn doorboren zeggen maar 
A: 	ja ja ja 
B: 	ja ja ja ik weten welk het zijn ja 
A: 	bij mij zijn één 
B: 	bij mij zijn het F 
B: 	dus één F 
A: 	bij mij staan die in het midden van het scherm als wel op de middel hoogte 
B: 	ja 
A: 	aan de ik denken halverwege de rechterkant 
B: 	bij mij staan die helemaal helemaal rechts er staan niks veel naast 
A: 	nee nee nee nee nee 
B: 	en er kunnen er zullen nog iets naast kunnen maar dat zijn krap 
A: 	nee nee nee dan niet 
B: 	oké 
A: 	nee 
B: 	dan staan ze niet op dezelfde plek rood dus 
A: 	yes 
B: 	oké dit zijn de ijstheestaafje door de neus 
A: 	oké dat zijn welk bij jou 
B: 	d 
A: 	D van ? oké 
B: 	Dirk 
A: 	d vijf 
A: 	waar staan die 
B: 	hij staan als je iets naar links iets boven het midden 
B: 	er zullen er nog twee naast kunnen links 
B: 	en nog één boven 
A: 	oké staan die vergelijken met Pinokkio op de bijna dezelfde hoogte 
A: 	of zijn het echt gewoon een goed verschil tussen tussen Pinokkio en die 
B: 	ja nee ja 
A: 	bij mij kunnen er net één boven namelijk 
B: 	ja er kunnen er ja één boven zullen er nog kunnen 
B: 	ja nee zijn hetzelfde 
B: 	zelfde plek denken ik 
A: 	wachten 
B: 	wachten 
A: 	je hebben er link één staan naast Pinokkio 
B: 	ja 
A: 	ja 
A: 	staan die staan deze dus staan het ijstheestaafje daar schuin boven 
B: 	ja maar er afstaan er bij mij nog twee schuin boven dus dat zijn een beetje ja één staan er net boven en één iets ver 
A: 	oké 
A: 	vergelijken met het midden staan die op drie vier naar het midden toe 
A: 	dus van links naar dus van links naar het midden staan die op drie vier naar het midden toe 
B: 	nee 
B: 	nee ik zullen veel zeggen de helft 
A: 	oké dan zijn het niet hetzelfde 
A: 	ijstheestamper 
B: 	ja even kijken 
B: 	ja bij mij A bij jou 
A: 	vier 
B: 	A vier 
A: 	yes 
A: 	één stap onder het midden 
A: 	aan de rechterkant kunnen nog twee naast 
B: 	twee naast aan de zijkant 
A: 	ja 
A: 	en één eronder 
B: 	ja nee dat zijn bij mij dus wat die driehoek zijn 
A: 	ja ja 
B: 	nee nee dat zijn dus niet hetzelfde nee 
B: 	dit zijn ijstheestampertje 
A: 	ja 
B: 	I 
A: 	I vijf 
B: 	en hij staan als je vanuit het midden gaan een heel klein stuk omhoog maar bijna niet 
A: 	nee nee het zijn niet 
B: 	en dan één anderhalf stap naar rechts 
A: 	nee die bij mij kunnen er kunnen er nog één tussen dat ding en rechts 
B: 	nee nee nee nee 
A: 	ijstheestamper 
B: 	H 
B: 	en bij jou 
A: 	zes sorry 
B: 	H zes 
A: 	net wat rechts van het midden past er misschien nog net één onder 
B: 	ja 
B: 	ja 
B: 	en echt maar een heel klein stap naar rechts dan 
A: 	ja 
B: 	want er afstaan er daar weer drie op een rij 
A: 	ja en dan net schuin naar beneden toe ja en dan zijn het de linker 
B: 	zo naar beneden 
B: 	de linker ja dezelfde plek 
A: 	oké 
B: 	oké ijstheestamper 
A: 	ja 
B: 	I 
A: 	I vijftien 
B: 	en zijn die bij jou onderdeel van die driehoek 
A: 	nee 
A: 	hij staan links onder de driehoek 
B: 	ja dat zijn bij mij zijn die dus van die driehoek en dan rechts 
A: 	nee oké niet 
B: 	ja of link 
