B: 	dit zijn deze hebben een plaat eronder 
B: 	en twee van twee van die staaf met driehoek of ruit 
A: 	ah 
A: 	ja ik vinden het een beetje zo Pippi Langkousvlechtjes 
B: 	ja ik denken aan antenne of iets dergelijk ja 
A: 	ja 
A: 	oké dan zijn het nummer vijf 
B: 	hij staan links van het midden 
B: 	en dan net onder de het midden van als je het zo zien zeggen maar 
A: 	ja 
B: 	er afstaan er twee ander staan er nog iets ver naar links omhoog 
A: 	oké 
B: 	en één link iets naar onder 
A: 	oké 
B: 	daar staan die een beetje tussenin zeggen maar 
A: 	ja bij mij staan die helemaal links 
A: 	en dan staan er één zijn nog net iets ver 
B: 	nee 
A: 	dan zijn 
B: 	nee dan staan die niet op dezelfde plek 
A: 	oké 
A: 	rood 
A: 	dat zijn die een met die Pippi Langkousvlechtjes 
B: 	ja 
B: 	dat zijn J 
A: 	bij mij staan die eigenlijk helemaal rechtsonder 
B: 	er staan niks veel ver naar rechts 
A: 	nee 
B: 	oké nee dan staan die niet op dezelfde plek 
B: 	dit zijn met die Pippi Langkousstaartjes 
A: 	even kijken dat zijn nummer elf 
B: 	en hij staan tegen deze middellijn ongeveer aan 
A: 	ja 
B: 	net iets daarop 
B: 	en dan in het linker onderste blok 
A: 	onderste blok 
A: 	of bovenste 
B: 	ja dit vaststaan zo net 
A: 	zullen ik maar zeggen als ik naar mijn linkeronder blok kijken 
B: 	ja 
A: 	zitten daar in totaal vier figuurt 
B: 	oké ja hij zitten er een beetje op eigenlijk op die middellijn 
A: 	oké ja dan oké en zitten die zullen ik maar zeggen eigenlijk een best wel bij de kruising van die twee lijn 
B: 	nee 
B: 	nee hij zitten veel in aan de in het midden van het van de linkerkant van het scherm 
A: 	oké 
B: 	dus als je hem door de helft doen het scherm 
A: 	ja 
B: 	even voor jou dan zitten die zeggen maar hiertussenin 
A: 	oké 
A: 	en staan er dan ? in het linkervlak staan er niks veel rechts of wel 
B: 	nee 
A: 	oké nou zitten ik heel erg te twijfelen want het zullen best kunnen dat die op dezelfde plek zitten 
A: 	oké als je helemaal van link kijken 
B: 	ja 
A: 	hebben je die drie zullen ik maar zeggen die ja drie een beetje schef lijn 
A: 	snapan je wat ik bedoelen 
B: 	nee 
A: 	oké je hebben aan de linkerkant van het scherm 
B: 	ja 
A: 	als je dan naar beneden gaan 
B: 	ja 
A: 	en dus de veel links figuur hebben je ongeveer drie 
B: 	ja 
A: 	als je schuin oké 
B: 	ja 
A: 	en dan hebben je daarna ongeveer nog een rij 
B: 	met ook drie 
A: 	ongeveer drie en dan daarna hebben je ook een rij en in die rij zitten die 
B: 	oké nee bij mij zitten die in die twee rij 
B: 	in die twee vij rij van drie 
A: 	ah 
A: 	oké nee dan zitten die niet op dezelfde plek 
A: 	dit zijn met die Pippi Langkous 
A: 	staart 
B: 	oké 
B: 	dat zijn P 
A: 	bij mij staan die in het rechtervlak en dan bovenin 
A: 	en dan dicht bij deze middellijn 
B: 	oké 
B: 	dan staan die niet op dezelfde plek 
B: 	dit zijn met de Pippi Langkousstaartjes 
A: 	dat zijn nummer negen 
B: 	en hij staat ongeveer precies op deze middellijn 
B: 	en dan bovenin 
B: 	in het midden van het bovenste vlak weer 
A: 	oké 
A: 	en neigen die een beetje veel naar links 
B: 	ja hij neigen wel een beetje veel naar links 
A: 	oké en hij ja 
A: 	ja oké dan staan die denken ik wel op dezelfde plek 
B: 	oké 
A: 	dit zijn met de Pippi Langkous 
B: 	dat zijn L 
A: 	hij zitten in het vlak Linksboven 
A: 	en dan 
B: 	Linksboven 
A: 	Linksboven 
B: 	oké 
B: 	dan zitten die niet op de juist plek 
