B: 	even kijken deze hebben dat zo'n driehoekig ding op zijn buik met zo'n stok erop zeggen maar 
B: 	en dan twee van die en aan allebei de kant zo'n 
A: 	driehoek 
A: 	ja 
A: 	ja en alsof het een onderzeeër zijn 
B: 	ja zoiets ja 
A: 	ja 
A: 	acht 
B: 	en dan staan die in het midden een klein beetje aan de linkerkant 
A: 	van link 
B: 	ja 
A: 	ja 
B: 	in het midden 
A: 	ja echt in het 
B: 	nou ja als je de als je de middellijn hebben dan staan die nog net aan de linkerkant van die middellijn 
A: 	ja 
B: 	hebben je hem 
A: 	dit zijn die ander onderzeeër 
B: 	even kijken welk zijn het ook alweer 
A: 	ja met dat smal balk en en die waar dat staaf ook zo omhoog staan met dat vinne 
B: 	ja met die driehoekig neus met zo'n dinge erop ja 
A: 	ja 
A: 	ja 
B: 	E 
A: 	en hij staan rechts hij zijn weer diezelfde opstelling als net van die vier maar dan rechts 
B: 	ja 
B: 	en dan rechts bovenin 
B: 	rechts onderin 
A: 	onderin 
B: 	nee bij mij staan die bovenin 
B: 	dit zijn die onderzeeër met die twee dinge aan de zijkant en dat driehoekig neusje met het pinne erop 
A: 	ja 
A: 	zijn één 
B: 	en hij staan in het midden bovenin 
A: 	ja 
A: 	het klein onderzeeër 
A: 	met die met dat pinne 
B: 	waar zitten die waar zitten 
B: 	hier 
B: 	E 
A: 	ja ik moeten ieder keer schakelen en dan links in het midden onderaan 
B: 	zitten er nog één onder 
A: 	ja 
B: 	ja 
B: 	dit zijn die onderzeeër met dat klein neusje en dat pinne nog erop 
A: 	neus 
A: 	ja 
A: 	dat zijn zestien 
B: 	hij zitten rechts in het midden 
B: 	rechterscherm 
B: 	midden onderaan 
A: 	ja 
A: 	de onderzeeër met het pinne 
B: 	O 
A: 	en die zitten link helemaal in de hoek 
B: 	ja 
