A: 	ja dit zijn bij mij ja ik hebben even kijken ja ik omschrijf dat veel als een zeepaardje of zo 
B: 	ik hebben het als een kip denken ik 
A: 	ja 
A: 	ja zeggen maar die die die driehoek aan het einde en dan aan de achter achter die emmer zeggen maar daar zitten die zitten zo'n ruit of zo en dan aan beide kant zitten dezelfde zelfde 
B: 	die die bedoelen je en dan dan zitten aan de een kant zitten zo'n haak en aan de ander kant niet 
A: 	nee ja alleen de onderkant onderkant 
B: 	aan de ja aan de onderkant wel en aan de aan één zijkant en de ander zijkant niet 
A: 	ja 
A: 	nee precies 
A: 	die ja 
B: 	ja dat zijn M 
A: 	M 
A: 	en die zitten bij mij ja even kijken 
A: 	dus aan de linkerkant 
A: 	dus als je zeggen maar als je het midden hebben 
B: 	ja 
A: 	en dan hebben je de linkerkant die deel je weer doormidden 
B: 	ja 
B: 	ja precies 
A: 	ja en dan dan zitten die ja precies op die lijn en dan op de horizontaal lijn net eronder 
B: 	op de net net Erboven bij mij 
A: 	nee bij mij net eronder 
B: 	hij zitten bij mij net 
B: 	zijn ander plek 
B: 	dit zijn die dat zeepaard van jou 
A: 	het zeepaard van mij 
A: 	eens even kijken dat zijn negen 
B: 	en die zitten zeggen maar als je het midden hebben dan daar links van en dan helemaal onderin 
A: 	ja ja hebben ik ook 
A: 	ja dit zijn dat zeepaard 
B: 	ik gaan even kijken waar die zijn 
B: 	ik kunnen hem niet vinden 
B: 	ja daar 
B: 	die staan op H 
A: 	H 
A: 	ja en dit zijn dan zeggen maar als je het heel scherm in vier delen zeggen maar 
A: 	dan staan die in dat kwadrant linksboven precies in het midden 
B: 	ja 
B: 	exact 
B: 	dat hebben ik ook 
B: 	dit zijn zeepaard 
A: 	het zeepaard 
A: 	elf 
B: 	en die staan Linksboven in de hoek 
B: 	maar niet strak in de hoek 
B: 	maar er zitten nog wel wat ruimte omheen 
A: 	ja 
A: 	ja 
B: 	ik hebben hem hier staan 
B: 	op deze hoogte 
A: 	ja ik hebben hem ja dat zijn ongeveer hetzelfde 
B: 	ja dat zullen nou ja ja dan zullen het hetzelfde zijn 
A: 	jawel ik denken dat het wel hetzelfde zijn 
B: 	ik hebben dit ja zoiets 
A: 	ja 
B: 	nou 
A: 	zoiets 
A: 	jawel ik denken dat het wel 
B: 	ik denken dat het ook wel gelijk zijn 
A: 	ik denken dat het wel een heel eind 
B: 	zullen wel goed zijn 
A: 	ja toch 
A: 	dit zijn dat zeepaard 
B: 	ja D 
A: 	en die staan ja kwadrant zeggen maar 
B: 	nee ik hebben hem helemaal links onderin staan 
A: 	nee nee nee nee 
B: 	nee 
A: 	bij mij niet 
B: 	dan zijn het ander plek 
B: 	dit zijn zeepaard 
A: 	het zeepaard veertien 
B: 	die staan horizontaal as helemaal in het midden 
A: 	even kijken horizontaal as 
A: 	en dan bij jou helemaal in het midden 
B: 	of helemaal in het helemaal sorry helemaal links 
A: 	helemaal links 
B: 	ja 
A: 	bij mij zitten die zo'n stuk van de zijkant zo 
A: 	nee nee nee oké dan staan die niet op dezelfde 
