A: 	ok hij hebben een ja bolle op de bovenkant en aan de voorkant zijn een ja 
A: 	eigenlijk een rechthoek vrij langwerpig en aan de zijkant hebben hij eigenlijk twee van ja hoe omschrijf ik dit 
B: 	o wacht waar staan hij 
B: 	ja zeggen maar zitten er aan de voorkant nog een staaf 
A: 	ja die staaf zijn zeggen maar redelijk lang die opsteken ook nou ongeveer één drie denken ik onder het kop uit 
B: 	ja 
B: 	ja en twee van die armp beetje 
A: 	ja ja 
B: 	okan dan zijn het D 
A: 	hij staan helemaal aan de onderkant van het scherm en net iets link van het midden ja echt maar net iets link van het midden kunnen echt geen plaat veel 
A: 	rechts naast zeggen maar dan zullen hij over het midden heen gaan er kunnen nog ongeveer twee plaat link van het plaat 
A: 	dan zijn het einde van het scherm dus eigenlijk helemaal beneden in de beneden rij en dan net iets link van het midden 
B: 	okan maar aan de linkerkant ervan daar passen geen drie plaat 
A: 	nee 
B: 	ok dat past hier denken ik wel dus dan zijn hij niet op de goed plek 
B: 	ok dit zijn weer dat zelfde soort van man met die twee arm die zo doen met zo'n balk ervoor 
A: 	ok moeten hem even o ja en dan daar bovenop zo'n rond 
B: 	met zo'n bolle erop 
B: 	ja 
A: 	dit zijn vijftien 
B: 	zitten helemaal rechts onderin de hoek 
A: 	geen plaat veel naast 
B: 	nee 
A: 	ok dat zijn niet dezelfde 
A: 	ja dit zijn met die twee armp rondje bovenop en de ja lang vierkant of rechthoek 
B: 	ja dat zijn L 
A: 	ja kunnen geen plaat veel boven hij zitten link van het midden kunnen nog twee twee en een half plaat link naast 
B: 	ja dat zijn dezelfde 
B: 	okan ja dat zijn dat man die zo doen 
A: 	ja where are you o ja zes met de ding aan de bovenkant 
B: 	ja 
A: 	ja 
B: 	hij zitten ongeveer zeggen maar zo in het midden aan de rechterkant en past één plaat naast 
A: 	hij zitten ongeveer wel zo in het midden 
B: 	ja heel misschien iets onder het midden maar 
A: 	kunnen er nog ongeveer een plaat onder of echt wel veel veel 
B: 	wel ja twee plaat wel 
A: 	nee 
A: 	ja dit zijn weer met die armpjes zo en met de bal bal bovenop 
B: 	ja 
B: 	dat zijn J 
A: 	hij zitten horizontaal echt wel in het midden denken ik en er kunnen nog één plaat rechts van 
B: 	ja dat zijn wel dezelfde plek 
B: 	dit zijn dat man die zo doen 
A: 	ja dat zijn drie 
B: 	hij zitten helemaal aan de rechterkant net iets onder het midden 
A: 	ja 
