A: 	nu hebben ik het vierkantje 
A: 	ja ik hebben dit omschrijven als een soort neus die doorboren zijn met een paal 
B: 	ja weten ik al welk 
A: 	ja ? hebben je hem 
B: 	ja 
B: 	F 
B: 	ja 
A: 	oké en dan waar die nu staan hij staan voor mij een beetje rechtsmidden 
A: 	en dan zeggen maar ja echt een beetje rechts van het scherm maar dan in het midden qua zeggen maar hoogte 
A: 	en hij staan rechts of link naast één met propeller 
A: 	zo hebben ik die omschrijven een soort van twee uitschietsel één naar of één naar boven toe en één naar de linkerkant toe 
B: 	ja maar je zeggen waar staan de propeller 
A: 	en 
A: 	het plaat dat we ja die dat die propeller staan rechts van het plaat dat wij nu aan het zoeken zijn zeggen maar 
B: 	oké nee die hebben ik niet bij mij staan die link 
B: 	maar hij staan wel wat jij zeggen in het midden en dan aan de rechterkant 
A: 	ja 
A: 	want even kijken want die zeggen maar van het het het ja want bij mij zeggen maar dat dus de propeller die staan er rechts van 
A: 	maar bij jou staan die er dus links van 
B: 	ja 
B: 	staan er bij jou nog iets rechts van de neus met het balk erdoorheen 
A: 	ja dat zijn dus die propeller die staan er die staan rechts 
B: 	ja maar nog iets veel 
A: 	nee 
A: 	nee want dat zijn al helemaal tegen de rand aan zeggen maar 
B: 	oké 
B: 	oké 
A: 	ver naar rechts kunnen niet 
A: 	dus dan zullen het niet op dezelfde plek zijn of wel 
B: 	denken het niet ik weten niet of dat mogen maar hoeveel centimeter schat je ongeveer dat die van het scherm af zitten 
A: 	goed vraag nou ja het zijn zeggen maar dat dat plaat zelf 
A: 	ruim tien centimeter alleen dan met die propeller er nog naast dan nog zijn het ja te smal zeggen maar om er nog een plaat tussen te instoppen 
B: 	oké dan denken ik dat die van mij iets veel naar rechts staan dan die van jou 
B: 	oké dus dan denken we niet hetzelfde niet dezelfde plek 
B: 	dan moeten 
A: 	dan zijn het rood 
B: 	rood 
B: 	en dan moeten ik drukken hè ? ja 
A: 	ja kloppen 
B: 	dit zijn weer de neus met de balk erdoorheen 
A: 	ja de de doorboren neus ja 
B: 	ja 
A: 	dat zijn vijf 
B: 	waar staan die ? weer in het Linkerbovenkwadrant 
B: 	alleen dan nu iets veel naar rechtsonder zitten die 
B: 	zitten inderdaad niet helemaal rechtsonder maar hij zitten hij zijn wat neigen naar rechtsonder 
A: 	ja 
B: 	maar er zullen denken misschien nog wel een plaat tussen kunnen zowel nou onder niet maar ik denken wel rechtsonder dat er nog een plaat kunnen 
A: 	en bij mij staan die als je het linkerbovenkwadrant hebben staan die zeggen maar qua hoogte van het kwadrant staan die in het midden 
B: 	ja bij mij net iets veel naar onder denken ik 
A: 	ja dat hoe je het in het begin vertellen denken ik dat ook iets veel 
A: 	want bij mij zullen er zeggen maar daarboven net geen plaat kunnen denken ik 
B: 	oké dan zitten die niet op dezelfde plek bij mij wel 
A: 	nee 
A: 	dit zijn de doorbooren neus 
B: 	ja A 
A: 	en hij staan bij mij ja zeggen maar de rechterscherm rechteronderkwadrant 
A: 	en dan van het rechteronderkwadrant een beetje in het midden maar ook een beetje naar boven 
B: 	en nee ik zullen deze echt precies eigenlijk op het midden zetten van linker van onder en bovenkwadrant 
A: 	van het 
B: 	en jij zeggen wat veel naar onder in het rechteronderkwadrant toch 
A: 	ja 
B: 	ja dus ik denken niet dat die hetzelfde 
A: 	of tenminste het zijn het rechteronderkwadrant en daarin dan iets naar boven 
A: 	dus hij gaan wel een beetje richting de rand van het rechterbovenkwadrant maar hij zitten er echt niet in 
B: 	nee oké bij mij denken ik wel bij mij kunnen er zelfs nog twee plaat onder 
A: 	ja nee bij mij kunnen er één plaat onder 
B: 	ja ik denken dat we dat ik weten welk jij bedoelen maar die hebben ik niet oké 
A: 	ja 
B: 	dit zijn de neus met de doorboring 
A: 	ja 
A: 	even kijken waar die staan 
A: 	ja 
A: 	dat zijn vijf 
B: 	hij staan bij mij ja in het rechterbovenkwadrant 
B: 	maar een beetje op de grens met het onderkwadrant 
A: 	ja 
B: 	en dan aan de linkerkant 
A: 	aan de linkerkant 
B: 	maar niet helemaal links het zijn wat naar links neigen maar er kunnen zeker twee plaat tussen misschien wel twee en een half aan de rechterkant en aan de linkerkant kunnen eigenlijk niks veel 
A: 	oké 
A: 	dan hebben ik een ander 
A: 	bij mij kunnen er net één naast nog aan de rechterkant 
B: 	oké nee 
A: 	dit zijn de doorbooren neus 
B: 	ja dat zijn H 
A: 	en die staan bij mij ook weer in het midden maar dan zijn het het onderste plaat in het midden 
B: 	ja zullen net geen net geen plaat tussen kunnen 
A: 	ja aan de onderkant 
B: 	ja ja ja 
A: 	ja precies ja dat zijn net te krap 
B: 	oké ja 
B: 	ja zelfde plek 
B: 	dit zijn de neus met de doorboring 
A: 	dat zijn vijftien 
B: 	staan bij mij rechterbovenkwadrant 
B: 	ongeveer in het midden maar dan wat naar linksonder 
B: 	past anderhalf plaat rechts 
B: 	en één boven 
A: 	nee hebben ik een ander 
