B: 	goed de volgen hebben ik omschrijven als een ijscoupe 
B: 	die vinden ik het veel lijk op een ijscoupe of één of een cocktailglas 
B: 	met een een rie erin en ijsblok die er een beetje boven zweven 
A: 	en een 
B: 	en een gedraaide hals 
A: 	het waar die op staat zijn een soort driehoek soort taartpunt 
B: 	ja 
B: 	een driehoek ja 
A: 	met een gedraaide steel 
B: 	ja 
B: 	en daarboven het kop met toebehoar 
A: 	de ijscoupe 
A: 	met twee blok ijs 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer vier 
B: 	ja het zijn bij mij het veel rechts het het plaat een het veel rechtsboven van het heel scherm 
A: 	oké 
B: 	dus het staan in de hoek 
A: 	nee dat zijn die bij mij niet 
A: 	wel hetzelfde kwadrant maar niet helemaal rechts bovenin 
B: 	maar er passen niks veel langs 
A: 	nee nee en dan zijn het rood 
A: 	en de ijscoupe 
B: 	de ijscoupe dat zijn letter A 
A: 	pakken het kwadrant linksonder 
A: 	en daar 
B: 	linksonder 
A: 	ja 
B: 	nee bij mij staan die Linksboven 
A: 	nee dan zijn dat nee dat kunnen ik er niet van maken 
B: 	dat zijn het echt niet 
B: 	nee 
A: 	nee 
B: 	de ijscoupe 
A: 	ijscoupe waar zijn je ? ah 
A: 	ja 
A: 	nummer tien 
B: 	hij staan bij mij zoveel mogelijk onderaan het scherm het Linkerkwadrant 
A: 	check 
B: 	een beetje midden van het kwadrant qua horizontaal 
A: 	ja 
A: 	ja 
B: 	ja 
A: 	de ijscoupe 
B: 	de ijscoupe 
B: 	letter L 
A: 	ja 
A: 	en jij zitten heel erg naar rechts te kijken in je scherm 
B: 	ja 
A: 	ook rechtsboven 
B: 	ja 
B: 	staan die daar bij jou 
A: 	er past niet nog een ijscoupe naast of boven maar 
B: 	nee 
A: 	nee 
B: 	nee dat zijn hem 
B: 	de ijscoupe 
A: 	check 
A: 	nummer vier 
B: 	hij staan in het linksonderkwadrant en bijna tegen het midden van het scherm aan 
A: 	ja van beide lijn 
B: 	ja van beide lijn 
A: 	ja 
A: 	dat kunnen er maar één zijn 
A: 	de ijscoupe 
B: 	de ijscoupe 
B: 	letter F 
A: 	ik zullen zeggen kwadrant rechtsboven 
B: 	nee hij staan sowieso Linksboven 
B: 	bij mij 
A: 	nee 
A: 	nee nee 
B: 	geen twijfel 
