B: 	ja dit zijn deze hebben ook zo'n eivorm aan de voorkant 
A: 	ja 
B: 	maar dan niet met zo'n staaf erdoorheen 
A: 	ja 
A: 	met zo'n rechthoek bovenop 
B: 	ja en dan nog een penseelachtig ding 
A: 	ja zo'n ding 
A: 	bij mij zijn dat veertien 
B: 	en hij staan aan de rechterkant van het scherm 
A: 	ja 
B: 	een klein beetje rechts van de middellijn 
B: 	en dan aan de onderkant ik denken dat er ja zo ongeveer één of twee onder passen 
A: 	ja bij mij passen er nog wel echt dik twee onder 
A: 	zullen dat bij jou ook kunnen 
B: 	ja wel onder de middellijn zeggen maar 
A: 	ja 
A: 	nee ja ik ik denken dat ik snapen wat je bedoelen want als je helemaal naar de onderste kijken het figuur wat het verst naar onder staan dan zullen er wel nog maar één onder passen laten maar zo 
B: 	ja inderdaad 
A: 	oké 
B: 	ja dit zijn twee je kunnen hem inderdaad twee keer herhalen denken ik net 
A: 	ja oké 
A: 	dan denken ik op dezelfde plek 
A: 	ik hebben die een met dat ei aan de rechterkant 
B: 	ja en de twee ding bovenop 
A: 	ja 
B: 	dat zijn N 
A: 	en bij mij staan die helemaal aan de linkerkant sorry van het scherm 
A: 	en dan 
B: 	helemaal links 
A: 	helemaal links 
B: 	aan de 
B: 	oké nee bij mij zitten er nog ruimte tussen 
A: 	ja oké ja er zullen er geen figuur tussen veel of 
B: 	bij mij passen er twee tussen dus 
A: 	oké laten maar 
B: 	ik hebben die een met het ei aan de voorkant en twee ding boven 
A: 	ja dat zijn bij mij nummer negen 
B: 	en hij staan links van het midden er past er nog net één naast 
A: 	staan die helemaal bovenaan bij jou 
B: 	nee 
A: 	nee staan die bij mij wel 
A: 	ik hebben die met het ei aan de aan de rechterkant sorry en dat vierkantje en die kegel bovenop 
B: 	ja 
A: 	of penseel 
B: 	dat zijn G 
A: 	en bij mij staan die even kijken net links van de middellijn en net onder 
B: 	ja 
B: 	de middellijn 
B: 	ja 
B: 	er zullen er wel twee onder passen toch 
A: 	ja 
B: 	ja 
B: 	ik hebben die een met het ei rechts en de twee ding bovenop 
A: 	ja nummer vijf 
B: 	en hij staan net boven de middellijn en ja een stuk rechts van de middellijn er passen er echt wel één tussen 
B: 	maar hij staan ja hij staan nog wel links van het midden van de rechterhelft 
A: 	link van het midden van de rechterhelft nee staan die bij mij niet 
B: 	oké 
A: 	ik snapen wat je bedoelen 
A: 	ik hebben die een met dat ei aan de rechterkant en de kegel en het staaf bovenop 
B: 	ja dat zijn J 
A: 	bij mij staan die rechts van het scherm 
A: 	een beetje in het midden van de rechterkant 
A: 	wel één en dan laten maar zeggen precies er past er nog één boven 
B: 	nee bij mij staan die in het midden als je naar boven en onder kijken 
B: 	dus daar staan die bij jou niet 
A: 	nee 
B: 	oké 
