B: 	oké 
A: 	ja deze lijken op een eend van de zijkant hij hebben rechts twee gelijk blok aan de bovenkant een trapezium 
B: 	ja 
A: 	en dan ja link nog een uitsteeksel en onder ook nog 
B: 	en onder 
B: 	ja 
B: 	dat zijn voor mij de letter I 
A: 	hij zitten voor mij in het linkerbovenvak 
A: 	en dan een beetje in de rechterbovenhoek maar daar zijn nog wel veel ruimte 
B: 	ja voor mij voor mij exact hetzelfde 
B: 	even kijken geel 
B: 	even kijken deze hebben zo'n mooi trapezium als je net zeggen aan de bovenkant en rechts 
B: 	twee uitstekend balk van dezelfde grootte en dikte 
B: 	en aan de onderkant een haak die naar links wijzen 
A: 	ja ik weten welk je bedoelen 
A: 	yeslen ik hebben hem 
A: 	dat zijn twee voor mij 
B: 	die staan bij mij in het linkervak onder en halverwege maar wel boven in het vak 
A: 	ja 
A: 	ja bij mij ook 
A: 	dit zijn die met de trapezium aan de bovenkant en twee gelijk rechts 
B: 	even kijken ja het haak aan de onderkant dus dat zijn voor mij M 
A: 	die zitten linksonder voor mij 
B: 	ja voor mij ook er staan ver links niks veel naast 
A: 	nee 
B: 	en rechts staan die met dat driehoek en dat wokkel onder 
A: 	ja 
B: 	dit zijn de trapezium bovenop met de twee uitstekend rechthoek aan de rechterkant 
A: 	yes 
A: 	dat zijn negen voor mij 
B: 	die vinden bij mij links boven 
A: 	ja 
B: 	en rechts daarvan staan niks veel tot aan de scheidingslijn 
A: 	ja 
B: 	en links daarvan staan er nog één 
A: 	staan nog één 
A: 	die hebben ik ook 
A: 	dit zijn die naast die doorboren neus met de trapezium en de twee ding aan de zijkant 
B: 	even kijken dat zijn F voor mij 
A: 	hij staan voor jou ook rechtsonder en dan 
B: 	links en rechts staan er twee best wel dicht tegenaan ja 
A: 	link rechts die ja 
B: 	link staat die met dat appelsteeltje 
A: 	ja precies die 
B: 	dan hebben we dezelfde 
B: 	trapezium met de twee uitstekeltjes uitsteeksel rechts 
A: 	ja 
A: 	dat zijn zes voor mij 
B: 	staan voor mij in het linkervak 
B: 	en weer scheiden de lijn hem in twee 
B: 	de verticaal lijn iets link daarvan en de horizontaal lijn lopen erdoorheen 
A: 	zitten 
A: 	ja 
A: 	daar hebben ik hem ook 
B: 	oké 
