A: 	ja deze vinden ik een beetje raar 
A: 	je hebben twee zo'n soort ja armp met zo'n twee rond erop aan de zijkant 
A: 	plat rond 
A: 	en dan hebben je daarachter nog zo'n vierkan met een ook weer een balk eraan 
A: 	en één armp zijn kort zeggen maar dan die ander 
A: 	en het zijn een soort ja even kijken ja gewoon weer die basis die je overal hebben en dan 
B: 	wachten 
B: 	er zitten links een kort armp en rechts iets lang 
A: 	ja 
B: 	ja dan weten ik het 
A: 	en dan dat vierkantje daarbovenop 
B: 	dan zijn het 
B: 	ja 
B: 	K 
A: 	die plaat 
B: 	K zijn dat bij mij 
A: 	en hij staan bij mij Linksboven 
B: 	ja bij mij ook 
A: 	ja niet helemaal in die hoek maar 
B: 	niet helemaal 
B: 	ja 
B: 	wel de veel 
A: 	ja 
B: 	ja 
B: 	hoe noemen jij dat ook alweer 
B: 	er zitten iets doorheen zeggen maar aan de linkerkant een klein stuk rechts iets groot 
B: 	aan de aan de achterkant zitten nog een soort van vierkantje 
A: 	ja 
A: 	nummer negen 
B: 	en hij staan even kijken redelijk ver naar rechts maar niet helemaal en een klein beetje naar boven 
B: 	halverwege zeggen maar 
A: 	ja ja bij mij ook 
A: 	dit zijn dat ding met met die twee uitsteeksel aan de zijkant waarvan één lang zijn en de ander wat kort 
A: 	met dat vierkantje nog zo erachter 
A: 	met die twee rond zo aan het uiteinde 
A: 	dus eerst een balk en dan zo'n soort rond erop soort deurknop en dan daarachter dat vierkantje 
B: 	ik zijn hem even kwijt 
B: 	bij het waar hij er zeggen maar doorheen zitten door het 
A: 	ja ja waar die doorheen zitten ja 
B: 	ja dan zijn het F 
A: 	en hij staan links van het midden maar dan wel in het midden 
B: 	en qua hoogte 
A: 	ook in het midden 
B: 	maar heel iets naar links of best wel ver naar links 
B: 	bij mij staan die echt gelijk naast het midden links 
A: 	nee hij staat niet meteen daarnaast 
B: 	oké 
B: 	dit zijn met dat vierkantje achter en link dat stuk wat erdoorheen opsteken en rechts iets ver dat erdoorheen steken 
A: 	ja 
A: 	nummer drie 
B: 	hij staan helemaal onderaan en halverwege link 
A: 	ja bij mij ook 
A: 	dit zijn die ja dat ding dat door dat ding heen gaan met die twee rond aan de zijkant en dat vierkantje achter 
A: 	die balk die er zo doorheen gaan 
B: 	ja L 
A: 	en hij staan in het midden en dan iets naar rechts misschien iets naar onder 
B: 	bij mij staan die redelijk ver naar rechts 
B: 	dan niet 
A: 	nee dan zijn die anders ja 
B: 	dat ding wat erdoorheen zitten aan de linkerkant een klein stuk rechts iets groot en dat vierkantje aan de achterkant 
A: 	ja 
A: 	nummer vijf 
B: 	even kijken 
B: 	iets naar onderen maar ver een heel klein beetje naar links maar wel echt in het midden bijna 
A: 	maar niet bij mij zitten hij best wel naar onder 
A: 	maar hij zitten dus best wel in het midden 
B: 	bij mij een heel klein stuk naar onder 
A: 	nee dan zijn die anders 
