B: 	oké 
B: 	het zijn het bak en hij hebben weer zo'n neus aan de voorkant niet op de op zijn hoofd maar 
A: 	ook zo'n bolle 
B: 	ja 
B: 	een bolle aan de voorkant 
B: 	en het zullen ook kunnen lijken op zeggen maar een een bak waar twee tandenborstel in staan 
B: 	en de een zijn een zijn een beetje artistiek vormen en de ander zijn gewoon een gewoon een balk 
B: 	en aan de linkerkant zitten een driehoekig staaf 
A: 	uitsteeksel 
A: 	ja 
A: 	oké 
A: 	nummer veertien 
B: 	als je het midden van het scherm hebben staan die rechts van het scherm van het midden 
B: 	en dan een beetje onder het midden maar niet heel erg 
B: 	zeggen maar als het zo zullen zijn staan die net hier 
A: 	voor jou 
B: 	ja 
A: 	dus voor mij net daar ja 
B: 	en dan voor jou daar 
A: 	dat kloppen dat hebben ik ook wel 
B: 	oké 
A: 	dit lijken op dat bak met twee tandenborstel wat jij zeggen er zitten zo'n bolle voor nog 
B: 	ja 
A: 	en dat stok aan de zijkant 
B: 	letter N 
A: 	ik hebben hem helemaal links staan 
A: 	net niet tegen de rand 
B: 	nee bij mij staan er nog één naast 
A: 	nee oké 
B: 	link 
B: 	tandenborstel in het glaas met het neus aan de voorkant en het armp 
A: 	yes 
A: 	nummer negen 
B: 	hij staan sorry hij staan best wel ver naar links zitten nog wel een klein stuk tussen het het einde van het scherm 
B: 	maar er staan niks veel link van het plaat 
B: 	en hij staan een heel klein beetje boven het midden 
A: 	ik hebben hem bijna aan de rand bovenaan 
B: 	oké dat zijn niet hetzelfde 
A: 	dit zijn een bak met de twee tandenborstel 
A: 	en het neus ervoor 
B: 	ja 
B: 	letter G 
A: 	en die liggen heel ietsje link van het midden van het scherm 
B: 	ja 
A: 	en dan ja eigenlijk zeggen maar linksonder van het midden van het scherm als in als je de middenas van het scherm hebben zeggen maar dan daar 
B: 	ja 
B: 	mee eens 
A: 	of voor jou dus hier 
B: 	ja 
A: 	ja 
B: 	mee eens 
B: 	tandenborstel in het glaas met het neus en het armp 
A: 	yes 
A: 	nummer vijf 
B: 	hij staan net iets link van de vijfenzeventig procent qua links en rechts 
B: 	en hij staan klein beetje boven de middellijn 
A: 	ja ik hebben hem dus zeggen maar rechts van de vijfenzeventig procent maar wel boven de bovenlijn 
B: 	nee 
B: 	ja ik hebben hem echt link van zeventig vijfenzeventig procent honderdmiljoen procent zeker 
A: 	oké 
A: 	dan anders 
B: 	rood knop 
A: 	gewoon beide 
A: 	bak met tandenborstel 
A: 	en het neus 
B: 	even zoeken hoor 
B: 	ja 
B: 	letter J 
A: 	en die staan als je de rechterhelft hebben ongeveer het midden zeggen maar ik zullen eerder zeggen zeventig procent zeggen maar van het scherm 
A: 	en dan wel in de bovenste helft ongeveer halverwege zullen we maar zeggen van boven naar beneden 
B: 	bij mij staan die op de lijn van zeggen maar op de horizontaal lijn 
A: 	van het midden 
B: 	ja van het midden 
A: 	nee ik hebben hem er echt boven staan 
