B: 	dit zijn een mok met een soort van weegschaal slash wipwap ervoor 
B: 	er zitten zo'n ja trapezium zitten ervoor 
B: 	en het zijn echt een soort van bank met twee poot 
B: 	en er opsteken aan de achterkant nog zo'n klein dinge uit 
A: 	ja en op dat ja ik vinden het een tafel die wat zo optild 
B: 	tafel ja kunnen ook 
A: 	daar staan een soort van bakje op zeggen maar 
B: 	ja 
B: 	ja 
A: 	oké ja dat zijn nummer zestien 
B: 	een saladeschaal 
B: 	picknickbank 
A: 	ja 
A: 	ja 
B: 	ja 
B: 	en die staan bij mij in het rechtervlak en dan ongeveer een beetje in het midden 
A: 	nee niet dezelfde plek 
A: 	dit zijn dat met dat tafel waar dat saladebakje op staat 
B: 	ja 
B: 	dat zijn bij mij P 
A: 	en hij zitten bij mij rechts een ja echt ster vrij sterk aan de rechts kant en wel echt op middenhoogte 
B: 	dus je zullen als je zeggen maar het vlak in twee hebben verdelen zitten die niet in het midden van het rechtervlak die zitten echt sterk naar rechts bij jou 
A: 	ja als je hem horizontaal verdeelen door het midden zitten die echt sterk rechts 
B: 	verticaal 
A: 	of sorry verticaal zitten die echt sterk rechts ja 
B: 	ja 
B: 	oké 
A: 	en midden hoog 
B: 	ja midden zitten bij mij ook maar hij heellen bij mij een klein beetje naar de linkerkant 
B: 	zeggen maar van het rechtervlak 
B: 	hij zitten niet heel sterk naar rechts 
A: 	bij mij wel 
B: 	oké dan zijn dat niet dezelfde plek 
B: 	dit zijn die met dat tafel 
A: 	ja dat zijn met dat saladebakje 
B: 	ja ja 
A: 	even kijken waar die staan 
B: 	als het goed zijn tenminste als het dezelfde plek zijn staan die helemaal onderin 
A: 	ja 
B: 	bij de middellijn 
A: 	en een beetje in het midden ja 
A: 	dat zijn nummer veertien 
B: 	dus de verticaal middellijn daar die lopen daar dwars doorheen zeggen maar door door het bank 
A: 	ja 
B: 	en dan zitten die ook ja daar dus 
A: 	helemaal rechts in de hoek tegen de lijn aan dan 
B: 	van het linkervlak 
A: 	als je het linkerondervlak hebben rechts in de hoek 
B: 	ja van het linkervlak zitten die rechts 
A: 	ja 
B: 	ja daar lopen die doorheen 
A: 	ja 
A: 	dit zijn het tafel met het saladebakje 
B: 	dat zijn bij mij N 
A: 	en hij zitten als je de hij zitten in het vlak Linksboven 
A: 	maar hij zitten wel bijna in het midden ik zullen hem net in het vak Linksboven zetten maar je zullen hem hij zitten vrijwel ook naar naar 
B: 	ik weten niet of dit nu ook bij jou zo zijn maar ik vinden het heel gek er zijn een hap uit aan de onderkant ineens nu 
A: 	ja kloppen 
A: 	dat komen denken ik omdat dat plaat met die pylon die zitten daar bij mij linksonder van 
B: 	ja 
A: 	en die zijn daaroverheen die ja 
B: 	dat die daaroverheen zijn zetten 
B: 	ja 
A: 	dus dan hebben we dezelfde plek denken ik 
B: 	ja 
B: 	dan zitten die dezelfde plek 
A: 	ja 
B: 	heel mooi dit 
A: 	nou zijn dat weer ook trouwens 
B: 	dit zijn die ik hebben weer een heel ik hebben nu een heel ander opstelling 
B: 	ik hebben nu de de tafel met het saladebakje 
A: 	ja ik ook 
A: 	ja 
B: 	en die ja die hebben ik dus 
A: 	ja 
A: 	oké 
A: 	dat zijn nummer tien 
B: 	en die zitten bij mij die worden kruisen het het rechtergedeelte van de tafel worden kruisen door de verticaal lijn 
A: 	ja 
B: 	en hij zitten wel boven de horizontaal lijn 
A: 	ja 
A: 	best wel ver daarboven 
B: 	nee 
B: 	vallen wel mee hij zitten wel redelijk richting het kruisje 
A: 	oké 
B: 	maar hij worden dus doorboren door de verticaal 
A: 	oké 
A: 	en zien jij ook Pippi Langkous 
B: 	Pippi Langkous staan daarboven 
B: 	ja 
A: 	nee dan hebben we een ander plek 
A: 	bij mij staan Pippi Langkous daar onderin 
B: 	ah ja dan ja 
A: 	wij hebben ze omgedraaien denken ik 
B: 	waarschijnlijk zijn die dan twee omgedraaien dan ja 
A: 	dit zijn het of het tafel met saladebakje 
B: 	ja 
B: 	dat zijn bij mij d 
A: 	en hij staan bij mij in het vak rechtsboven 
A: 	zitten iets boven de horizontaal lijn 
A: 	en een heel stuk rechts van de verticaal lijn 
A: 	in het vlak rechtsboven zijn het het veel rechtsonderste figuur 
B: 	ja die drie figuur rechtsboven die maken een driehoek 
A: 	ja 
B: 	en dan zijn het bij jou de onder 
A: 	ja en ja 
B: 	nee bij mij zijn het de boven 
A: 	oké 
B: 	dus dat zijn niet dezelfde plek 
A: 	nee 
