B: 	ik hebben ja het zijn een soort van tafel of zoiets wat een beetje zo half uitsteekt met van die poo 
A: 	even kijken hoor 
B: 	een soort van plank 
B: 	met poo die zo uitsteken en dan een soort van omdraaien 
A: 	ja helemaal bovenin en dan zo'n omdraaien 
B: 	ja 
A: 	ja precies 
B: 	yes 
A: 	nummer zestien 
B: 	en hij staan helemaal zo op het midden 
B: 	en wel echt in ongeveer in het midden van het rechtervak 
A: 	oké 
A: 	dan zijn het wel een ander want bij mij zitten die echt helemaal rechtsboven in de hoek 
B: 	dus aan die kant 
B: 	oké 
A: 	ja 
B: 	ja een ander plek 
A: 	oké 
A: 	deze hebben weer inderdaad dat plateau een beetje bovenop met dat omgekeerd driehoek daarbovenop 
B: 	ja 
B: 	yes dat zijn P 
A: 	met die poo 
B: 	ja 
B: 	grappig 
A: 	en hij zitten ja ongeveer op de helft van de helft rechts 
A: 	en ja eigenlijk wel min of veel op het midden 
B: 	ja 
B: 	ja dat hebben ik ook 
B: 	zelfde plek 
A: 	oké 
B: 	oké ik hebben weer dat soort van tafel 
A: 	ja 
B: 	zo blijven ik het noemen 
B: 	met die poot en dan die omdraaien piramide 
A: 	ja 
A: 	ja even kijken waar staan die ? daar 
A: 	nummer veertien 
B: 	oké 
B: 	en hij staan net iets link van het midden 
B: 	helemaal onderin 
A: 	ja bij mij ook 
B: 	oké 
A: 	dezelfde plek 
A: 	zullen eigenlijk ook de nummert en de cijfert want die zullen in theorie misschien ook wel hetzelfde moeten zijn of niet 
B: 	weten ik niet ik weten niet of dat wisselen elk ronde 
A: 	nee want ik hebben het idee dat die bij mij wel hetzelfde blijven zeggen maar 
B: 	echt 
A: 	de cijfert 
B: 	jeetje daar hebben ik niet op letten 
A: 	dus misschien dat die dat die wel correspondeur met jou letter zeggen maar dat als je het op de duur weten 
A: 	maar ja die dan moeten je er zestien uit je hoofd weten 
B: 	daar hebben ik echt niet op letten 
A: 	ik ook niet maar dat bedenken ik me nu net 
A: 	never mind 
B: 	oké ik kunnen het nu wel onthouden 
A: 	in ieder geval dit zijn weer het plateaut met de de poot en de omgedraaide piramide 
B: 	yes waar staan die ? N bij mij 
B: 	ik weten bijna niet die zijn N 
A: 	en hij staat ongeveer half half link 
A: 	en dan net iets boven de helft 
B: 	ja ja hebben ik ook zelfde plek 
B: 	weer dat plank of dat tafel met die poo 
A: 	ja 
B: 	en die piramide 
A: 	ja 
A: 	nummer tien 
B: 	hij staan redelijk op de helft misschien net iets link ervan en qua de helft zo net iets Erboven 
A: 	ja 
A: 	staan die bij jou net links van de helft of rechts 
B: 	ja net iets link 
A: 	nee bij mij staan die net rechts van de helft eigenlijk dus dan zijn het toch een ander plek denken ik 
B: 	oké 
B: 	ja 
B: 	net anders 
A: 	ja net anders ja 
B: 	sneaky 
A: 	oké deze zijn weer met dat plateau met de omgekeerde piramide erop met de poo 
B: 	ja ja dat zijn D bij mij 
A: 	en hij staan ja helft van de helft rechts 
A: 	iets veel rechts van de helft van de helft 
B: 	ja bij mij ook 
A: 	en dan ja net iets boven het midden 
A: 	beetje tussen helft helft en midden in 
B: 	oké 
B: 	oké nee mijn staan hoog 
A: 	oké 
