A: 	oké het zijn één ja een dinge wat dan ik hebben hier de in gedachte een poppe op één been een beetje zeggen maar 
A: 	en die hebben zo'n armpjes hebben houden die zo 
A: 	en dan hebben hij echt een rond hoofd wel 
B: 	die een beetje achterop zitten zeggen maar 
A: 	ja het zitten een beetje achterop en dan daarvoor ook nog zo'n ja zo'n balk 
B: 	ja een paal waar die aan vastzit 
A: 	ja 
B: 	ja 
B: 	dan zijn het D 
A: 	oké en hij staan bij mij helemaal onderaan 
A: 	en als je het midden hebben daar links van 
B: 	iets naast ietsje link 
A: 	ja iets naast het midden 
B: 	ja dat zijn hetzelfde 
B: 	deze hebben we al hebben 
B: 	met die balk vooraan en dan daarachter een soort van lichaam met die arm zo en boven op het hoofd 
A: 	ja 
A: 	nummer vijftien 
B: 	hij staan echt helemaal rechts onderaan veel onderaan en veel rechts kunnen niet 
A: 	ja hij staan bij mij ook rechts onderaan maar er staan nog één veel rechts onderaan 
B: 	nee 
A: 	dus hij zitten een beetje in het midden 
B: 	dan zijn het niet hetzelfde 
A: 	niet hetzelfde ? oké 
A: 	dit zijn dat poppe met één zo'n balk voor die twee armp zo en dat rond hoofd 
B: 	ja 
B: 	L 
A: 	en hij staan links van het midden en dan iets omhoog en ook een stuk naar links 
A: 	niet heel veel maar wel wat 
A: 	en dan wat omhoog 
B: 	een heel klein beetje naar links en halverwege hoog zeggen maar 
A: 	ja 
B: 	ja 
B: 	dit zijn het poppe met die balk en die armpjes aan allebei de kant en dat hoofd bovenop 
A: 	even kijken waar die zijn 
B: 	weten je welk ik bedoelen 
A: 	met die 
B: 	die een beetje bol lijken beetje dikkig 
A: 	met die ik komen echt niet op het woord die balk ook nog vooraan 
B: 	ja 
A: 	ja oké nummer zes 
B: 	en qua hoogte staan die in het midden en dan bijna helemaal naar rechts 
A: 	en niet omlaag of omhoog 
B: 	nee echt precies in het midden 
A: 	oké 
A: 	dan zijn die anders 
A: 	dit zijn dat poppe met die twee armp zo en die 
B: 	die paal voorop 
A: 	ja 
B: 	J 
A: 	en hij staan rechts van het midden en dan halverwege rechts 
A: 	wel echt best wel in het midden 
B: 	heel klein beetje omhoog 
B: 	bij mij staan wel redelijk ver naar rechts dus dan niet hetzelfde denken ik 
A: 	hij staan wel redelijk ver naar rechts maar wel echt best wel in het midden 
B: 	maar een heel klein beetje omhoog maar 
A: 	ik zijn even aan het kijken 
A: 	nou hij staan wel echt in het midden bij mij 
A: 	heel klein nou heel klein beetje omhoog misschien 
B: 	ja ik denken het wel 
B: 	het poppe met die balk vooraan en die armpjes 
A: 	even kijken waar die zijn 
A: 	ja nummer drie 
B: 	die staan bij mij helemaal naar rechts en dan heel ietsjes onder het midden 
A: 	ja 
