B: 	ah het wijnglas 
A: 	ja 
B: 	ja 
A: 	even kijken die staan nummer vier 
B: 	helemaal rechtsboven 
A: 	in ja bij mij staan die wel naar rechts maar niet helemaal bovenaan en hij zitten denken ik op het midden van 
B: 	nee dat zijn hij staan echt helemaal rechtsboven bij mij 
A: 	wijnglas 
B: 	wijnglas oké 
B: 	A 
A: 	en dan staan die op deze lijn op de Xas op in het midden 
A: 	en dan staan die aan de linkerkant in het midden van het midden 
B: 	oké bij mij staan die helemaal aan de linkerkant en ongeveer in het midden 
A: 	ja als je hier het midden hebben en hier het einde staan die bij mij hier 
B: 	oké bij mij zitten die helemaal helemaal links 
B: 	dus dat zijn niet hetzelfde 
B: 	het wijnglas 
A: 	nummer tien 
B: 	en hij staan helemaal onderaan 
B: 	en in het midden van link 
A: 	ja en dan net iets veel naar het midden hebben ik dan naar links 
B: 	ja bij ja 
A: 	ja 
A: 	het wijnglas weer 
B: 	oké 
B: 	L 
A: 	en dan 
B: 	helemaal rechtsboven 
A: 	ja maar er past nog wel daar en daar nog één 
B: 	ja 
A: 	dus het zijn wel gewoon je hebben nog ruimte 
B: 	heel krap 
B: 	ja 
A: 	ja 
B: 	een wijnglas 
A: 	even zoek ja nummer vier 
B: 	heel dicht bij het midden 
A: 	ja 
B: 	iets veel naar links iets veel naar beneden 
A: 	ja precies ja hebben ik ook 
A: 	het wijnglas 
B: 	F 
A: 	en dan echt de onderkant raken het midden zullen ik maar zeggen 
A: 	met het voe van het wijnglas zijn bij 
B: 	oké nee dat bij mij zijn die best wel ver naar boven 
