A: 	ok dit zijn eigenlijk dan ook weer zo'n kegel met een wat zijn het weer een prisma bovenop 
A: 	en ja aan de zijkant hebben hij twee uitstekel naar rechts toe en als je dan naar voorkant gaan kijken hebben hij ook een uitstekel naar richting de zijkant 
A: 	en onderin hebben hij dan 
B: 	en liggen liggen liggen er nog een soort los blok 
A: 	ja onderop zeggen maar liggen nog 
B: 	ja onderop dan een soort los blok en dan aan de rechterkant twee twee twee 
A: 	hebben hij twee staf naar 
B: 	plat plat dinget en dan bovenop een kegel die die afgezaagd zijn of zo lijken het wel ok dan zijn het I 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	da als je de echt de midden van het midden hebben die die liggen dan eigenlijk er ja vlak boven of ja iets schuin naar links boven 
B: 	ja 
B: 	ja als je die linksboven van degeen die het dicht bij het midden van het midden zitten 
A: 	ja 
B: 	ja ok dan staan het op dezelfde plaats 
B: 	ja dit zijn ook dat ding met een soort kegel bovenop maar die zijn dan op een geven moment afgezagen dat het plat zijn 
A: 	ja 
B: 	aan de zijkant hebben je nog die twee balk en dan hebben je onderin nog een dinge en nog een soort ding dat uitsteken 
A: 	twee pinn 
A: 	ja 
A: 	ja 
A: 	dat zijn dan nummero twee 
B: 	ja en bij mij zitten hij zijn het de niet de veel links want die staan zeggen maar een beetje los maar die daar dan het veel 
B: 	links daarna dus die staan zeggen maar van de als je het midden van het midden weer pakken zeggen maar zo'n in zo'n lijn net links zeggen maar 
A: 	ja dus dus hebben je eigenlijk zo zo'n drielijn kunnen je maken zeggen maar als je echt alleen de hoogte van 
B: 	ja als je als je dat vierkant hebben en dan de linksonder en je zullen zeggen maar die lijn doortrekken dus dan krijgen je niet de alleronder maar die daar net boven aan de linkerkant 
A: 	ja 
A: 	ja 
A: 	ok dus even iets ander als je dan die drie onder hebben zeggen maar 
B: 	ja 
A: 	en dan die staan er dan echt iets hoog en dan naar links 
B: 	ja dus als je de drie die die drie zeggen maar de onderste rij dat zijn er drie 
B: 	en dan gaan je eigenlijk naar de veel links van die onderste rij en daar staan hij dan Linksboven 
A: 	ja 
A: 	ah ja ja dat zijn dan op dezelfde plek 
B: 	ja 
A: 	ja dit zijn weer die ja die half afgezaagd kegel bovenop dat het veel een beetje naar een prisma achtig gebeuren zijn en dan twee vlak 
A: 	zijde aan de rechterkant en dan hebben je er onderin nog zo'n soort 
B: 	ik 
B: 	ik weten welk je bedoelen maar ik zijn hem even aan het zoeken ja die twee dinge nog aan de zijkant en dan een dinge onderop 
A: 	zijkant ja en dan er dan onderin nog één en één dan nog één aan de zijkant dan ja ja 
B: 	ja dat zijn M 
B: 	van mark 
A: 	ja die liggen helemaal links onderin bij mij 
B: 	ja bij mij ook 
B: 	dit zijn weer ja die piramide die afgezaagd zijn of zo en dan die twee plaat die er uitsteken en nog zo'n dinge onderop en dan nog iets aan de zijkant 
A: 	aan de zijkant helemaal ja 
A: 	ja 
A: 	dat zijn dan nummer negen 
B: 	en bij mij zitten hij in dat driehoek dat je links bovenin hebben zitten hij rechts bovenin 
A: 	ja bij mij ook 
A: 	ja dit zijn dan die afgezaagd kegel van bovenop met aan de zijkant twee plateaut en onderin hebben je nog een staart achtig iets en dan in midden ja 
B: 	ja 
B: 	dat zijn F 
A: 	als je lijn naar beneden pakken hebben je bij elkaar drie onderin staan en daarin in de midden 
B: 	ja 
B: 	ja dat zijn dezelfde plek 
B: 	ja dit zijn weer die afgezaagen 
B: 	piramide of kegel of weten ik veel wat de naam ervoor zijn en dan weer die twee plaat die hetzelfde zijn onder elkaar ja 
A: 	aan de zijkant en dan onderin ja 
A: 	ok dat zijn dan nummer zes 
B: 	die zitten eigenlijk zeggen maar je hebben er één een beetje link van het midden zitten er eigenlijk één een beetje los 
B: 	er zitten eigenlijk niet echt dicht tegenaan zitten ding maar die zitten op dezelfde lijn als de middel aan de linkerkant 
A: 	ok dus 
B: 	dus als je die middel van de linkerkant de lijn gewoon doortrekken de één die je dan tegenkomen 
A: 	door doortreken 
A: 	één figuur die je tegenkomen en dan daarboven hebben je dan nog één zitten en dan hebben je 
B: 	ja daar boven zitten er nog één rechtsboven zo één onder 
A: 	en er onder hebben je eigenlijk kunnen kunnen je zo'n dak zeggen maar maken zeggen maar 
B: 	ja nou ja ja eigenlijk zijn het gewoon degeen die naast de middel aan de linker rij 
A: 	ja en dan de punt van 
A: 	in de midden gewoon 
A: 	ja dan dan zijn het die ja 
B: 	dus dat zitten die zitten al best wel best wel ver weg zeg maar 
A: 	ja ja ja ja zelfde plek dan 
B: 	ja 
