A: 	oké 
A: 	deze hebben zo een beetje zo'n afgeplatte piramide zo'n conusje 
B: 	ja 
A: 	met twee van die uitstekend ding een beetje alsof er een vis op zijn zijkant liggen met twee van die uitstekend vinne zo 
B: 	zijn dat die dat istek waar ik het net over hebben denken ik 
A: 	ja dat ja ja ja inderdaad 
B: 	oké ja dat zijn I bij mij 
A: 	oké 
A: 	top 
A: 	en bij mij staan die net iets link uit het midden en ook wel een stuk boven de helft 
B: 	ja dat hebben ik denken ik ook wel 
A: 	oké en dan staan er nog een 
B: 	als je laten maar zeggen door het midden zullen doen en dan nog een keer door het midden daar staan die ongeveer op 
A: 	ja 
A: 	ja precies ja ja dat komen kloppen wel ongeveer 
B: 	ja 
B: 	oké zelfde plek 
A: 	top 
B: 	precies het zijn oké het zijn die met dat soort van isteken aan de zijkant 
A: 	ja en dat conusje bovenop 
B: 	yes 
A: 	ja nummer twee 
B: 	ja 
B: 	oké en hij staat ongeveer de helft van de helft links en de helft van de helft in het midden 
A: 	ja 
A: 	ja kloppen wel ongeveer 
B: 	aan de onderkant 
A: 	ja bij mij ook 
B: 	oké 
A: 	ja hetzelfde 
B: 	top 
A: 	top 
A: 	oké ik hebben weer die dat istekentje aan de zijkant met dat afgeplaten conusje erbovenop 
B: 	ja dat zijn M bij mij 
A: 	en hij staan bij mij helemaal links onderin 
A: 	er zullen nog iets naast kunnen maar er staan niks naast 
B: 	nee hebben ik ook niet inderdaad er zijn nog ruimte maar hij zijn wel helemaal links onderin 
A: 	oké 
A: 	maar 
A: 	precies oké 
B: 	yes zelfde plek 
A: 	top 
B: 	weer met dat istekentje aan de zijkant 
A: 	oké ja nummer negen 
B: 	Alright 
B: 	en hij staat ongeveer helft helft boven 
A: 	ja 
B: 	en wel links van de helft 
A: 	ja 
B: 	maar niet dat het dan op de helft 
A: 	maar nog niet op de 
B: 	ja precies 
A: 	ja precies oké got it 
A: 	zelfde plek 
B: 	ja 
B: 	nice 
A: 	het istekentje met dat conusje bovenop 
B: 	oké even zoeken 
B: 	ja F bij mij 
A: 	rechts uit het midden 
A: 	en dan ongeveer half half beneden 
B: 	net iets onder de half half 
A: 	net iets onder de ja ja 
B: 	even kijken 
B: 	ja 
A: 	ja ja 
B: 	ja ik denken zelfde plek 
B: 	weer met dat istek 
A: 	isteken nummer zes 
B: 	redelijk helft van de helft zo 
A: 	ja 
B: 	en iets veel link dan de helft 
B: 	of iets veel wel een stuk veel 
A: 	ja 
A: 	ja ja bij mij ook zelfde plek denken ik 
B: 	ja 
