A: 	even kijken dit plaat hebben aan de rechterkant een rond uitsteeksel alsof het een soort loep zijn 
A: 	en aan de linkerkant komen er een soort Pacmanvormig figuurt uit en daar komen dan nog één ja wat zijn het een soort 
B: 	bleekselderij ja wat het zijn het ja 
A: 	ja ja die komen er dan nog vanuit dat uitsteeksel komen die dan nog omhoog zeggen maar 
B: 	ja 
B: 	dat zijn L 
A: 	en hij staan even kijken ongeveer op een kwart vanaf links 
A: 	hij staan helemaal onderaan er zijn echt geen ruimte veel voor een plaat nog daaronder 
B: 	die staan echt op een heel ander plek bij mij 
A: 	oké 
B: 	direct al 
B: 	ja dit zijn weer die waar die rabarberstengel of die bleekselderij uit uit komen en dan aan de rechterkant zo'n plateau 
B: 	een rond plateau 
A: 	ja 
A: 	nummer zeven 
B: 	en hij staan één plaat links vanaf het midden 
B: 	en dan één plaat vanaf boven 
B: 	dus er past nog één plaat tussen dat ding en de bovenkant 
A: 	en hoeveel ruimte zijn er aan de linkerkant nog van het plaat 
B: 	zo'n vier 
B: 	vier plaat passen erin denken ik 
A: 	dus hij staan links van het midden maar er toepassen nog vier plaat naast 
B: 	ja 
A: 	oké 
A: 	dan staan die niet op dezelfde plek want bij mij passen er net twee denken ik naast 
A: 	dit zijn je bleekselderij 
A: 	met aan de 
B: 	ah C 
A: 	ja 
A: 	en hij staan in het midden als je ja ongeveer in het midden net iets rechts daarvan en dan past er nog één plaat boven 
A: 	één anderhalf plaat past er nog boven zeggen maar 
B: 	staan die echt op een heel ander plek 
A: 	hij staan echt net iets rechts van het midden 
B: 	de bleekselderij en het plateau aan de rechterkant 
A: 	ja 
A: 	nummer één 
B: 	en hij staat ongeveer op het midden qua hoogte en past nog één plaat link 
A: 	ja dan staan die op dezelfde plek 
A: 	en dit zijn de bleekselderij met het plateau aan de rechterkant 
B: 	dat zijn A 
A: 	en hij staat ongeveer in het midden 
A: 	en dan net ongeveer op een kwart vanaf links 
A: 	misschien net iets onder het midden maar 
B: 	net iets onder het midden 
A: 	ja net iets denken ik ja 
B: 	ja 
B: 	bij mij ook 
B: 	met de rabarberstengel aan de linkerkant 
A: 	dertien 
B: 	en een kwart vanaf links 
B: 	en ook een kwart vanaf onder 
A: 	oké 
A: 	nee dat zijn niet dezelfde plek 
