A: 	er komen een uit een mok komen aan de bovenkant een ruitvormig figuur wat worden doorboren door een aantal vlak achter elkaar 
A: 	en aan de onderkant opsteken er een staaf uit wat deze vorm hebben zo 
B: 	ja hij hebben ook een neus en een dinge aan de zijkant 
A: 	en hij hebben ja er zitten nog twee ding aan aan en aan de bovenkant zijn het echt een ruit met vier ja met zo'n blok erdoorheen 
B: 	met dat gek blok zeggen maar de soort van bliksemschichtdinge 
A: 	ja ja 
B: 	oké 
B: 	dat zijn bij mij M 
A: 	hij zitten bij mij aan de linkerkant 
B: 	ja 
A: 	iets onder midden hoog 
A: 	maar en ook niet echt hij zitten wel aan de links kant dus als je het linkerondervlak hebben van het scherm 
B: 	ja 
A: 	dan zitten die een beetje rechtsboven 
B: 	oké dus je zullen hem weer in vier verdelen 
A: 	dus je dus je verdeelen het scherm weer in in vier 
B: 	en dan zitten die bij jou linksonder 
A: 	en dan hebben je linksonder het pak je het linksondervak van het 
A: 	en dan een beetje rechtsboven 
B: 	oké nee ik denken dat die bij mij rechts in het linkerbovenvak zitten en dan midden onder 
A: 	oké 
B: 	dus dan zijn dat niet dezelfde plek 
A: 	nee 
B: 	dit zijn die heel dynamisch ook hebben een balk die er aan de voorkant uit opsteken hebben een ding wat er zo aan de onderkant uit komen een ding wat er zo uit komen 
B: 	zitten een zitten twee of tenminste nee zitten een een een een een een een vierkant wat op zijn kop een ruit 
B: 	die erin verdwijnen en dan twee van die klein wordende zeggen maar balk die er zo in gaan 
A: 	ja 
A: 	ja dus een ruit wat erin vallen 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	die zitten bij mij links en dan links onderin iets van de verticaal middellijn af 
A: 	hij zitten bij mij wel in het linksondervlak 
A: 	maar dan wel echt helemaal aan de rechts kant van het linksondervlak 
A: 	tegen de horizontaal tegen de verticaal middellijn aan 
B: 	ja 
B: 	ja ik hebben nog zo'n stuk over zeggen maar tot die lijn 
A: 	ja 
B: 	ja 
B: 	dus dan zijn dat dezelfde plek denken ik 
A: 	hoe noemen we deze ook alweer ? deze zijn met dat ruit die erin vallen waar al die blok doorheen gaan die blok gaan door dat ruit heen 
A: 	en dan komen er aan de onderkant zo'n staaf uit zo'n buigen staaf en aan de rechterkant zitten nog een armp of iets wat het ook mogen zijn 
B: 	ruit die die ruit die Erbovenin zitten daar daar gaan dat klein worden ding doorheen 
B: 	dat zijn bij mij H 
A: 	maar goed hij zitten aan de links in het linksbovenvlak 
A: 	en dan een beetje 
B: 	in het midden 
A: 	ja 
A: 	ja 
A: 	wel zeggen maar als je de horizontaal lijn hebben 
B: 	wel iets naar het 
A: 	net daarboven 
A: 	hij zitten wel hij zitten wel hij zijn wel echt Linksboven 
A: 	maar niet niet het veel linksboven of zo 
B: 	nee in van het links vlak een beetje in het midden 
A: 	dus 
B: 	net iets erond misschien 
B: 	als je het linkervak ook weer het midden 
A: 	ja en net en net ook iets naar rechts 
A: 	dus als je links bovenvak hebben ook inderdaad iets naar rechts ja 
B: 	ja ja ja ja 
B: 	dit zijn die heel complex figuur met die ruit die erin zitten klein wordend vierkant bij mij zitten die links bovenin 
A: 	ja 
B: 	zitten zo'n dinge wat uitsteken zo'n L en dan weer zo'n ding 
A: 	ja er komen echt zo'n dinge onderuit 
B: 	ja ja 
A: 	ja 
A: 	dat zijn nummer elf 
B: 	en die zitten dus bij mij ook in het linkerbovenvlak linkerbovenvlak zijn ook vrij leeg 
B: 	zitten denken ik misschien drie figuurt in 
A: 	ja 
B: 	en hij zijn de veel er zitten echt zo'n stuk aan die aan de linkerkant vrij nog 
A: 	ja ja 
B: 	en hij zijn daarvan de veel linksbovenfiguur 
A: 	ja 
B: 	van die drie 
A: 	daaronder staan dat tafel met dat saladebakje 
B: 	ja 
A: 	ja 
B: 	waar weer een hap uit zijn 
A: 	ja kloppen 
B: 	nog steeds 
A: 	dit zijn met die ruit die erin vallen met die blok erdoorheen 
B: 	ja 
A: 	onderaan dat ding en dan nog twee uitsteeksel 
B: 	dat zijn bij mij d 
A: 	en hij zitten bij mij vanaf de verticaal lijn links dus het vak linksonder 
B: 	ja 
A: 	in het linksondervak zijn het ook het veel veel rechts figuur 
B: 	links figuurt 
B: 	ja 
B: 	en dan zitten er dan hebben je die hier en dan zitten er daar nog één en zitten er daar nog één zeggen maar 
A: 	ja dienblad zitten boven 
B: 	ja 
B: 	ja kloppen 
A: 	en links daarvan zitten de spaarpot 
B: 	ja ja zelfde plek 
A: 	oké 
B: 	en dit zijn die veel complex figuur met dat vierkantje wat erin vallen dat klein worden balk wat erin gaan 
A: 	ja 
B: 	die L aan de onderkant aan de zijkant en dan nog zo'n Pinokkioneus 
A: 	ja 
A: 	ja die ruit die erin vallen 
B: 	ja zo'n ruit ja 
A: 	ja 
A: 	veertien 
B: 	die worden bij mij raken door de horizontaal lijn 
A: 	nee 
B: 	en die staan echt in zijn één helemaal links 
A: 	nee 
