A: 	om ja dit zijn er één dat zijn een kop met komen een soort van bolletje boven 
A: 	maar ook aan de zijkant twee dezelfde een soort van rond bollet en er zitten ook nog aan de 
A: 	rechterkant zitten er zo'n vierkant wat telkens een klein vierkant worden 
B: 	ja 
B: 	en één of ander buis aan de achterkant 
A: 	ja 
B: 	oké 
B: 	E 
A: 	hij zitten bij mij ongeveer in het midden van de rechterkant niet helemaal 
B: 	en dan bovenaan of echt het midden 
A: 	maar 
A: 	ja echt het midden misschien iets naar boven iets veel naar rechts misschien maar dat ongeveer 
B: 	oké dat zijn een ander plek 
A: 	ja 
B: 	oké dit zijn weer die blok die steeds groot worden zitten aan de rechterkant 
B: 	en twee vergelijk ding boven en link 
B: 	en een soort van buis naar achteren 
A: 	even kijken hij hebben één van die vierkant aan de rechterkant zijn het 
B: 	ja 
A: 	die vierkant die klein worden dan weer één achter één aan de zijkant en zo'n floebel 
B: 	ja 
A: 	ja 
A: 	elf 
B: 	en die zitten bij mij net iets link van het midden en dan net iets boven het midden ook 
A: 	ja dat hebben ik ook 
A: 	dit zijn diegene met 
A: 	aan de rechterkant een vierkant die telkens klein worden aan de achterkant hebben die nog iets en hij hebben zowel aan de linkerkant als de bovenkant hebben die hetzelfde zo'n zo'n bolle zo'n 
B: 	ja precies 
B: 	J 
A: 	ja 
A: 	die zitten bij mij eigenlijk in het midden van de rechterkant gewoon helemaal 
B: 	oké 
B: 	nee dan zijn die bij mij ander zitten bij mij helemaal in het midden 
B: 	dit zijn weer ja die de een met het groot vierkant worden of klein worden 
A: 	ja 
B: 	aan de rechterkant en dan die ding boven en links en zo'n pijp aan de achterkant 
A: 	ja precies 
A: 	ja ja dat zijn negen 
A: 	en die zitten bij mij ja als je naar de hij zitten in ieder geval aan de aan de rechterkant 
A: 	en hij zitten bijna in het midden maar hij zitten nog iets naar links toe en iets naar boven 
B: 	oké dan zijn het een ander 
A: 	dit zijn degeen met aan de rechterkant hebben je die vierkant die klein worden 
A: 	sprie boven sprie aan de zijkant en nog een stengel naar achter 
B: 	ja 
B: 	waarom zien ik die niet 
B: 	hier 
B: 	B 
A: 	en hij zitten bij mij aan de rechterkant iets naar onder maar voor de rest qua breedte wel redelijk in het midden 
B: 	nee bij mij zitten die echt helemaal rechts dus dat zullen hem niet zijn 
A: 	oké 
A: 	nee 
B: 	de blok die steeds klein worden aan de rechterkant en dan die ding boven uitsteekt en links en aan de achterkant opsteken er nog iets uit 
A: 	even kijken welk ? nog een keer 
B: 	de zeggen maar die klein worden blok zitten aan de rechterkant 
A: 	ja en en met dat 
B: 	met die twee antenneding ja 
A: 	ja 
A: 	vier 
A: 	mij zitten die links in de hoek 
B: 	ja boven 
A: 	boven 
B: 	dat moeten jij doen 
A: 	ja 
