B: 	deze hebben een een soort van 
B: 	ja plaat er weer doorheen lopen met tafelpo eraan daar vergelijk ik het een beetje mee 
A: 	ja waar dat bak ook op staat 
B: 	ja waar ook een bak op staan ja 
A: 	ja 
A: 	dat zijn zestien voor mij 
B: 	en die vinden we aan de rechterkant 
B: 	en hij vallen precies door de lijn heen als het warene 
B: 	en als je 
A: 	nee die van mij zitten helemaal rechtsboven dus dat kunnen niet missen 
B: 	dan hebben we het zeker niet over dezelfde 
A: 	dit zijn degeen met het ja met het tafel eromheen met dat bak 
B: 	ja 
B: 	dat zijn voor mij de letter P 
A: 	hij zitten voor mij rechts en dan net boven de middellijn misschien er net doorheen 
B: 	ja ja ja 
B: 	ja dan hebben we het zeker weten over dezelfde ik zitten ook te twijfelen 
B: 	net erdoorheen of net niet 
B: 	dat zijn geel 
B: 	dit zijn de met de plaat erdoor doorheen met de tafelpoot en het bak erop 
A: 	ja dat zijn veertien voor mij 
B: 	even kijken hij staan linksonder 
B: 	en dan helemaal rechtsonder in het vak tegen de lijn aan 
A: 	ja 
A: 	dit zijn die met de tafel met het bak erop 
B: 	dat zijn voor mij N 
A: 	die staan voor mij in het linkerbovenvak en dan onder een beetje in het midden 
B: 	ja 
B: 	ja zeker weten 
A: 	zitten er nog twee boven 
B: 	ja twee boven links rechts bekendstaan eigenlijk niet zoveel veel 
A: 	ja 
B: 	dit zijn weer de tafel die het doorboort met het bak erop 
A: 	moeten hem even zoeken ja dat zijn tien voor mij 
B: 	en hij staan ja veel link boven ik denken dat de scheidingslijn de de 
A: 	staan er bij jou nog iets boven 
B: 	ja die met die Pippi Langkousvlechtjes 
A: 	nee die staan bij mij andersom 
B: 	oké 
A: 	mijn tafel staan echt helemaal aan de bovenkant 
B: 	nee dan hebben we niet hetzelfde 
B: 	oké 
A: 	dit zijn die met de tafel eromheen en dat bak erop 
B: 	d 
A: 	staan voor mij in het rechterbovenvak 
A: 	en dan helemaal rechts 
B: 	ja 
A: 	zitten nog wel wat boven maar helemaal rechts en dan dat rechterbovenvak ja 
B: 	ja 
B: 	ja kunnen niet missen 
