B: 	oké 
B: 	dit zijn met het tafel aan de voorkant 
B: 	het plat lijken op een plat vlak met twee poot 
A: 	ja en met zo'n bak erop 
B: 	met zo'n bak erop 
A: 	ja dat zijn nummer zestien 
B: 	die staan middel horizontaal vlak 
B: 	en dan halverwege rechts 
A: 	nee 
A: 	deze staat echt helemaal rechtsboven in de hoek 
B: 	nee dan zijn die dat niet 
A: 	dus dan zijn die niet gelijk 
A: 	dat tafel 
A: 	met het bak erop 
B: 	met die krulle aan de zijkant 
B: 	of niet 
A: 	nee nee nee die een met het tafel met die poot en dan dat bak erop 
B: 	dat tafel ja 
B: 	oké dat zijn bij mij P 
A: 	en hij staan vanaf die sliert aan de rechterkant de drie 
A: 	dus helemaal in het midden 
B: 	de middel 
B: 	ja dat zijn bij mij ook 
B: 	dit zijn het tafel met het piramidestukje erop of zo 
B: 	en aan de achterkant nog een een kronkel 
B: 	dus dat tafel met die twee 
A: 	met de poo 
B: 	met die twee poot ja 
A: 	ja 
A: 	dat zijn nummer veertien 
B: 	staan in het midden onder 
B: 	helemaal onder in het midden 
A: 	ja zijn die een die je net hebben en dan nog één daaronder 
B: 	ja precies 
A: 	ja 
A: 	dit zijn met dat tafel 
A: 	met die twee poot en het bak erop 
B: 	ja dat zijn N 
A: 	en als je die een die je net hebben en dan één naar rechtsboven 
B: 	ja staan die bij mij ook 
A: 	nieuw 
B: 	het tafel met de twee poot 
A: 	ja dat zijn nummer tien 
B: 	staan niet echt perfect in het midden iets daarboven 
A: 	staan er daar nog één boven 
B: 	en er staan er nog één daarboven ja 
A: 	nee dan zijn het hem niet 
A: 	want die van mij staan helemaal bovenaan 
B: 	oké 
A: 	tafel met de twee poot en het bak 
B: 	dat zijn D 
A: 	en die staan vanaf de middel 
A: 	één naar rechtsonder 
A: 	één naar rechtsboven 
B: 	ja 
A: 	en dan één naar rechtsonder 
B: 	nee bij mij zijn het de veel rechtsboven 
B: 	rood 
