A: 	dit zijn dat cilinder hebben bovenop een een ei zeggen maar een rond ei en rechts een een vierkant 
A: 	paal zeggen maar 
A: 	bovenop een rond 
B: 	ja en dan ook twee van die uitstulpsels 
A: 	ja ja 
B: 	ja dat zijn bij mij nummer D 
A: 	en hij staan net niet in het midden maar link van het midden 
A: 	centrum links onderin 
B: 	wel onderin 
A: 	ja 
B: 	en dan net iets link ja bij mij ook 
A: 	oké 
B: 	ja 
B: 	oké ik hebben ja een kop en daar zitten zo'n bolle bovenop en dan zo'n paal ervoor 
A: 	ja 
A: 	ja die hebben we net ook al 
B: 	en nog twee van die dinget 
A: 	die hebben we al hebben toch 
A: 	een keer 
A: 	ja ja 
B: 	ja 
A: 	nummer vijftien 
B: 	en hij staan bij mij echt helemaal rechtsonder in de hoek 
A: 	oké niet op de helft maar echt helemaal 
B: 	echt helemaal in de hoek 
A: 	oké 
A: 	die met dat rond bovenop en die balk aan de zijkant 
A: 	en dan die twee uitsteeksel 
B: 	ja dat zijn L 
A: 	en die staan vanaf midden ja vanaf centrum centrum iets naar links en iets omhoog 
B: 	iets dat die ongeveer twintig procent omhoog 
A: 	zoiets ongeveer ja 
A: 	ja 
B: 	ja met dat bolle bovenop en die staaf vooraan 
A: 	ja dat zijn nummer zes 
B: 	oké 
B: 	en dan midden midden en dan vijfenzeventig procent rechts 
A: 	ja en dan iets van nog echt helemaal op de middellijn of ook nog iets naar onder 
B: 	ja wel echt op de middellijn 
A: 	oké dan 
A: 	die met dat rond en dat balk aan de voorkant 
A: 	rond bovenop 
A: 	balle 
B: 	J 
A: 	en dan zullen ik zeggen midden midden en dan ongeveer vijfentwintig procent naar rechts 
A: 	zijn dus 
B: 	ja 
B: 	ik hebben met dat balle en dat dat die paal voor 
A: 	een blok 
A: 	ja 
A: 	dat zijn nummer drie 
B: 	en dan staan die eigenlijk bijna helemaal rechts 
A: 	nee hij staan bij mij links 
A: 	nee hij staan wel rechts sorry 
A: 	ja hij staan wel rechts 
B: 	rechts en dan ongeveer vijfenvijftig procent van onder 
A: 	ja 
B: 	van boven 
A: 	ja echt net iets van het midden af 
B: 	dus 
B: 	ja 
