B: 	oké dit zijn weer een gezicht 
B: 	met zo'n een eineus 
A: 	ja 
B: 	en maar nu hebben die twee spriet en de een zijn een rechthoek en de ander één of ander gek ding 
A: 	ja dat hebben ik als een vulpen omschrijven ja 
B: 	een vulpen 
B: 	ja 
A: 	ik hebben het 
B: 	oké en hij hebben een ooriet 
A: 	ja ja ik zien hem 
A: 	ja dat zijn veertien 
B: 	hij zitten iets veel naar rechts dan het midden en ook iets veel naar onder dan het midden 
A: 	ja hebben ik ook 
A: 	bij mij zitten er één nog onder 
B: 	ja één en een half ongeveer 
A: 	ja inderdaad het zijn niet helemaal 
A: 	en aan de rechterkant ook twee en een half zoiets 
B: 	ja 
A: 	hebben ik ja 
A: 	oké 
A: 	dus zelfde plek denken ik dan 
B: 	ja 
A: 	ja 
A: 	vulp 
A: 	ik hebben nu weer die vulp 
A: 	en dat ei neus ding 
B: 	ja die 
A: 	ja 
B: 	ja 
B: 	oké dat zijn N 
A: 	bij mij staan die helemaal links 
B: 	helemaal 
A: 	ja helemaal links 
B: 	nee bij mij niet 
A: 	oké 
A: 	zijn het sowieso niet de goed 
B: 	oké ik hebben die met het Eineus 
A: 	ja 
B: 	en de balk op zijn hoofd en de vulp 
A: 	ja wachten even zoeken hoor waar die zijn 
A: 	ja wachten hij zitten bij mij linksboven ja 
A: 	ja dat zijn negen 
B: 	Linksboven 
A: 	ja 
A: 	met die vulp en dat Eineus 
B: 	bij mij zitten die hij zitten wel links alleen dan ja hij zitten wel boven de middellijn maar echt op de middellijn zeggen maar 
A: 	nee bij mij zitten die echt helemaal links bovenin 
B: 	oké nee dan zijn het niet dezelfde plek 
A: 	nee 
A: 	ik hebben die vulp en dat Eineus 
B: 	ja 
B: 	ja dat zijn G 
A: 	en bij mij zitten die in het linksondervlak 
A: 	echt tegen de lijn ook weer aan 
A: 	van boven naar beneden 
A: 	en daaronder past ja één eigenlijk één heel misschien iets veel dan één eronder 
B: 	bij mij zitten die echt tegen de middellijn aan 
A: 	ja dat hebben ik ook wel 
B: 	dus zo hier zitten die tegenaan 
B: 	en hier zitten die ook tegenaan 
B: 	hij zitten echt 
A: 	oeh ik denken dat bij mij net iets maar het zijn een beetje een twijfelgeval hoor 
B: 	net iets eronder denken je 
A: 	ja 
B: 	ja oké misschien zijn dat bij mij ook wel zo hoor 
A: 	hoeveel zullen er bij jou onder passen 
A: 	denken je 
B: 	nou bij mij zitten het gaspedaal zitten eronder 
A: 	ja die hebben ik ook daaronder nog en 
B: 	ik denken dat want bij mij zijn het gaspedaal de onder 
B: 	maar bij jou zijn dat volgens mij niet 
A: 	nee 
B: 	maar er zitten echt een heel groot wit ruimte daaronder en daar daar past er denken ik nog wel een klein half denken ik 
A: 	bij mij ook 
A: 	ja 
B: 	en dan in totaal zijn het er denken ik twee die ongeveer passen 
A: 	ja 
A: 	ja 
A: 	ja precies ik denken dat we wel dezelfde 
B: 	ja 
A: 	denken het wel 
B: 	oké 
B: 	oké ik hebben de vulp 
A: 	ja 
A: 	oké dat zijn nummer vijf 
B: 	en hij staan in het rechterbovenvlak 
B: 	en hij zitten ongeveer een half boven de middellijn 
A: 	ja 
B: 	en er toepassen er twee naast 
A: 	twee 
B: 	aan de rechterkant 
A: 	nee dat hebben ik echt niet 
B: 	misschien iets weinig 
A: 	bij mij max één maar dat worden al krap denken ik 
B: 	één worden al krap 
A: 	ja 
B: 	oké nee dat dan dan zijn ze niet 
A: 	nee 
A: 	hoe ver staan deze af van die bank 
B: 	er past er denken ik nog iets veel dan een half oppasen er nog tussen 
A: 	een half 
A: 	bij mij wel veel 
B: 	veel dan een half 
A: 	dus ik denken dat we die bank fout hebben 
B: 	ja 
A: 	ja 
A: 	deze zijn sowieso ook niet hetzelfde 
A: 	ik hebben die met die vulp 
A: 	en de Eineus 
B: 	ja 
B: 	ja 
B: 	dat zijn J 
A: 	hij zitten bij mij in het rechterbovenvak 
A: 	ja Erboven past er één 
B: 	één 
A: 	één ja 
B: 	oké niet dezelfde plek 
A: 	oké 
