B: 	oké 
A: 	ja ik in deze zien ik een soort van poppe met heel smal arm 
A: 	en er je hebben zeggen maar een bal boven op het soort van kop liggen 
B: 	er liggen een bal bovenop 
A: 	ja 
B: 	een ei 
A: 	ja een ei een bal 
A: 	en er zitten zo'n ja een balk die liggen zeggen maar of die 
B: 	en zo'n een verticaal balk 
A: 	ja 
A: 	die zitten voor voor het ja het 
B: 	rechts ervoor 
A: 	ja 
B: 	zo'n verticaal balk maar die staan toch zo'n beetje zoals een wolkenkrabber 
B: 	de vorm 
A: 	ja 
A: 	ja ja ja 
B: 	ja en dan twee een soort van armp 
A: 	ja 
A: 	het lijken een beetje alsof die die wolkenkrabber gaan knuffelen 
A: 	ja ja 
B: 	ja dat zijn wel een goed 
B: 	oké dat zijn D 
A: 	bij mij staan die linksonder 
A: 	zeggen maar gewoon helemaal onderaan het scherm 
A: 	en dan als je de onderste rij of regel hebben waar dan dan uitstaan er eigenlijk drie helemaal onder alleen dan zijn het de middel daarvan 
A: 	het zijn eigenlijk echt in het midden alleen dan net links van het midden en dan de onder 
B: 	ja 
B: 	ja 
B: 	dat zijn dezelfde plek denken ik 
A: 	oké 
B: 	even kijken het zijn nog één met een ei 
B: 	deze hebben we toch al hebben 
A: 	ja maar ze kwamen zes keer langs toch 
B: 	ja 
A: 	zijn het die doorbooren ei of niet 
B: 	nee het zijn het ei dat erop liggen 
A: 	met die die zo'n knuffel geven 
B: 	de de ja de de de knuffel aan de wolkenkrabber 
A: 	ja oké 
A: 	dat zijn vijftien 
B: 	en het zitten helemaal rechts onderaan in de hoek bij mij 
A: 	de helemaal 
A: 	oké want bij mij zitten daar namelijk een ander 
A: 	dus dan zijn het niet hetzelfde 
A: 	dit zijn weer die knuffel aan de wolkenkrabber 
B: 	waar zijn die 
B: 	dat zijn L 
B: 	ja 
A: 	en deze zitten deze zitten op een moeilijk plek 
B: 	ja in die groep 
A: 	ja 
B: 	bij mij maar dan iets naar links en dan 
A: 	als je de bovenste vier hebben van die groep dan zijn het de drie 
A: 	als je vanaf link tellen 
B: 	ik vinden het moelijk om te zeggen wat de 
B: 	ja ja nee dat zijn hetzelfde denken ik 
B: 	dit zijn weer de met een ei erop die een wolkenkrabber een knuffel geven 
A: 	ja dat zijn zes 
B: 	die zitten bij mij in het midden rechts 
A: 	zijn het degeen die zeggen maar een beetje lonely staan 
B: 	nee 
A: 	en dan rechtsonder het veel 
B: 	nee want je hebben er één die in de rechterbovenhoek zitten en daar zitten die dan onder 
A: 	nee dan zijn het niet dezelfde 
A: 	dit zijn die die wolkenkrabber gaan knuffelen 
B: 	dus dat zijn J 
A: 	als je rechts kijken van het beeldscherm hebben je daar weer een soort van een groep van vier 
A: 	en dan zijn het de Linksboven 
B: 	ja ik denken dat dat hetzelfde zijn 
B: 	dit zijn de eihoofd die de wolkenkrabber een knuffel geven 
A: 	ja 
A: 	dat zijn drie 
A: 	dat zijn bij mij gewoon degeen die het veel naar rechts zitten 
B: 	ja 
