A: 	oké ik hebben één ja wat zijn het 
A: 	ja hoe ik dit hebben omschrijven zijn heel erg 
A: 	zo ja ik denken iets van een poppe en die hebben dan zo'n hand aan de zijkant en daar zitten zo'n steel doorheen met een rond 
A: 	alsof die zoiets vast hebben 
A: 	en op zijn hoofd zeggen maar zitten nog één zo'n sprie 
B: 	ja ja 
B: 	even kijken 
B: 	het lijken een beetje op een stamper die je zo in de ijsthee 
A: 	ja op zo'n soort ontstopper of zo weten je wel 
B: 	ja 
B: 	ja 
A: 	ja een stamper ja 
B: 	ja zijn het F 
A: 	oké hij staan bij mij als je via mijn scherm rechts zeggen maar 
A: 	en dan in het midden 
A: 	dus als je horizontaal in het midden een lijn trekken 
B: 	ja bij mij ook 
A: 	en dan rechts 
A: 	dat wat wel veel 
B: 	ja 
A: 	oké 
B: 	dit vinden ik een beetje op een appel lijken 
B: 	het steelt van de appel staan helemaal staan iets naar Linksboven en dan staan die iets ook naar links toe 
B: 	aan de voorkant zitten die ja die stamper zitten door die neus heen zeggen maar 
A: 	ja ja 
A: 	even kijken waar zijn die 
A: 	ik weten welk je bedoelen maar ik zien hem even niet 
A: 	ja 
A: 	nummer vijf 
B: 	en hij staan halverwege links en halverwege naar boven 
A: 	maar dus wel best wel een stuk naar links bij jou 
B: 	ja tussen links en midden in zeggen maar 
A: 	oké 
A: 	ja bij mij staan die wel iets veel naar het midden toe 
A: 	en ook best wel ver naar boven 
A: 	dus zijn wel anders 
B: 	oké 
A: 	dit zijn die appel 
A: 	met dat dinge vast zeggen maar die jij op een appel vinden lijken 
B: 	de door zijn neus heen zeggen maar 
A: 	ja 
B: 	ja dat zijn A 
A: 	en hij staan rechts van het midden en dan stuk naar onder en ook stuk naar rechts best wel 
B: 	bij mij staan die precies in het midden 
B: 	dit zijn die appel met dat ding door zijn neus 
A: 	ja 
A: 	nummer vijf 
B: 	dan staan die iets naar rechts en heel iets naar boven 
A: 	nou bij mij staan die in het midden 
A: 	dat zijn dat appel en dat ding wat door zijn neus gaan 
B: 	ja H 
A: 	en hij staan rechts van het midden en dan naar onder en dan iets rechts 
B: 	heel klein beetje naar rechts 
A: 	ja 
B: 	ja 
B: 	het appel met dat ding door zijn neus 
A: 	ja 
A: 	nummer vijftien 
B: 	beetje op dezelfde plek als net ja beetje naar rechts en redelijk ver naar boven 
A: 	nee bij mij niet 
