A: 	bij mij zitten er een driehoek bovenop en dit zijn wel een scherp driehoek 
A: 	zijn geen stompe maar echt met een punt 
A: 	en dan zitten er nog een soort van balk die steeds bred worden zo tegen het figuur aan dan zitten er aan de linkerkant nog één ja een punt 
B: 	en er steken een klein muntstuk aan de onderkant uit 
A: 	een scherp dinge 
A: 	ja 
B: 	ja 
B: 	dat zijn bij mij J 
A: 	oké 
A: 	hij zitten bij mij rechtsonder 
A: 	echt heel heel sterk onder en vrij sterk aan de rechterkant 
B: 	bij mij zitten die ongeveer als je het in vier zullen verdelen ook in ook rechtsonder 
A: 	er zitten 
A: 	ja 
B: 	maar dan een beetje in het midden rechtsonder 
A: 	ja van het rechterondervlak zitten die in het midden van dat vlak ja 
B: 	oké dan zelfde plek 
B: 	dit zijn die met die heel sterk driehoek de piramide op bovenop 
B: 	en dan met het vierkant dat naarmate die dichterbij komen bred worden 
A: 	ja 
B: 	klein veer wat uitsteken en een muntstuk wat eruit vallen 
A: 	ja 
A: 	dat zijn nummer zes 
B: 	en die zitten bij mij rechts 
B: 	beetje in verticaal midden 
B: 	maar dan wel onder zeggen maar 
B: 	dus als je het in vier zullen verdelen 
A: 	ja 
B: 	dan zitten die in het zitten die rechtsonder in het vak 
B: 	maar dan wel weer iets naar boven 
A: 	ja 
A: 	zitten die wel sterk rechtsonder in het vlak of veel tegen de tegen de horizontaal middellijn aan 
B: 	veel 
B: 	veel tegen de horizontaal middellijn aan 
A: 	ja 
A: 	zelfde plek 
A: 	dit zijn met dat puntig driehoek erbovenop 
A: 	en dan zo'n blok een muntje aan de links kant en 
B: 	wat eruit vallen 
A: 	ja en aan de links kant zo'n klein kogel 
B: 	en een soort kogel die erin komen 
A: 	ja 
B: 	ja zeiden zijn ook al twee kogel ja het zijn een kogel 
A: 	ja 
A: 	ja 
B: 	ja dat zijn bij mij E 
A: 	en hij zitten bij mij aan de rechterkant van de verticaal lijn 
A: 	en onder de horizontaal lijn dus als je het kruisje in het midden hebben zitten die linksonder of ja link ertegenaan zo 
B: 	maar wel rechtsonder in het vlak 
A: 	in het rechtsonder in het vlak 
A: 	in het rechtsondervlak zeggen maar en dan Linksboven in de hoek van dat vlak 
B: 	ja 
B: 	ja bij mij zitten die echt link in beetje als je de de horizontaal middellijn hebben dan zitten die een beetje in het midden 
B: 	bij mij zitten die niet linksboven in het rechterondervak zeggen maar 
A: 	bij mij wel echt 
B: 	ja ? nee dan zijn het niet dezelfde plek 
A: 	ja 
A: 	misschien vallen het viel het net gewoon op omdat ze die omcirkeld zijn bij mij maar 
B: 	ja 
B: 	ja nee nu inderdaad weer 
A: 	ja 
B: 	heel gek 
B: 	nou daaronder zitten dus die met dat tafel 
A: 	ja de 
B: 	hebben je die dan ook 
B: 	met dat met dat dienblad 
B: 	en daaronder zitten die met die heel scherp punt 
A: 	ja 
B: 	scherp punt en dan dat veer en dat muntstuk dat eruit vallen 
A: 	piramide zeggen maar 
A: 	ja 
A: 	zijn nummer tien 
B: 	ja 
B: 	en die zitten dus bij mij links onderin en dan een beetje ook in het in het midden 
A: 	ja en links daarvan zijn die een met die twee paal eruit en die rond eraan aan die paal 
B: 	die staan bij mij rechts daarvan 
A: 	oké bij mij staan die link ervan dus dan kunnen het zijn dat de 
B: 	die zullen denken ik net passen 
A: 	vallen die bij jou zeggen maar met ? je hebben dat figuurt met dat dienblad 
B: 	ja 
A: 	zijn die daaronder of zijn die daarvan echt rechtsonder 
B: 	heellen een klein beetje naar rechts 
A: 	heel klein beetje 
B: 	heel klein beetje 
A: 	nee dan hebben we net die ander denken ik 
A: 	dit zijn het veel linksbovenste figuur bij mij dat zijn een heel scherp heel scherp punt de driehoekpunt erbovenop 
B: 	muntstuk dat eruit vallen 
A: 	met dat mun die eronderuit vallen 
B: 	ja dat zijn bij mij G 
A: 	en hij staan echt in zijn één helemaal Linksboven 
B: 	ja bij mij ook 
B: 	dit zijn die met die heel stompe driehoek en die kogel 
A: 	even zoeken ja dat zijn nummer zes 
B: 	en die staan rechtsonder 
B: 	en die die horizontaal lijn die gaan precies net boven die die driehoek langs 
A: 	dat wel maar hij zitten bij mij wel links en niet rechts 
A: 	link van de link van de verticaal lijn 
B: 	nee bij mij zitten die echt helemaal rechts 
A: 	nee 
A: 	nee 
A: 	echt een heel ander plek denken ik 
B: 	waar staan die bij jou dan 
A: 	ik hebben de verticaal lijn 
B: 	ja 
A: 	dan staan die daar links van 
A: 	en de horizontaal lijn kruisen denken ik dat dat stuk wat je eraf hebben gezagen van de driehoek zeggen maar 
B: 	maar dan zitten die wel richting het kruis 
B: 	of staan die echt veel naar de linkerkant 
A: 	wel richting het kruis maar hij zitten wel links van het kruisje 
B: 	ja nee precies daar staan bij mij de stekker 
B: 	ja 
B: 	nee dan hebben we echt een ander ander positie 
A: 	ja 
B: 	dan zijn die bij jou dus anders 
A: 	ja daar staan de stekker 
A: 	die hebben we ook toch 
B: 	nee nee nee nee nee 
B: 	het zijn die die heel scherp nee dit zijn heel belangrijk nu 
B: 	nee het zijn die heel scherp driehoek met die kogel 
A: 	ja ja 
A: 	en die staan dan rechts 
B: 	die staan helemaal rechts zeggen maar 
A: 	ja ja ja 
A: 	ja 
A: 	ja 
A: 	zelfde plek 
