A: 	dit vinden ik een Angry Bird lijken 
A: 	die een soort beetje ja hanenkam 
A: 	en dan aan de zijkant twee een soort bek vormen het twee balk die een bek vormen 
A: 	en dan naar achteren toe eigenlijk een een staaf 
A: 	die een vleugel zullen kunnen voorstellen en dan onderaan nog een staart 
B: 	voorop hebben die twee van die balk of één groot 
A: 	hij hebben twee balk 
B: 	ja maar allemaal aan de zijkant maar ik denken dat dat zijn voorkant zijn 
A: 	ja inderdaad 
A: 	oké 
A: 	ja 
B: 	twee toch 
A: 	ja 
B: 	oké 
B: 	dat zijn even kijken dat zijn I 
A: 	deze staat vanuit het midden net een stuk link daarvan 
A: 	en dan of ja ja gewoon als je het midden hebben dan echt daarlangs 
A: 	en dan in de lengte staan die op driekwart dus er zullen er nog één boven kunnen 
B: 	ja dan staan die op dezelfde plek 
B: 	dit zijn dat dat angry die Angry Bird zeggen maar 
A: 	Angy Bird 
B: 	met die twee ding aan aan de zijkant wat denken ik de voorkant van hem zijn 
A: 	ja 
B: 	en dan met het slurf erachter 
A: 	ja 
A: 	dat zijn nummer twee bij mij 
B: 	dan staan die nu aan de linkerkant waar we het net over hebben dat er zeggen maar een blok kunnen in de hoek en hier een blok en hier en dan staan die hier 
B: 	en dan aan de linkerkant 
A: 	ja 
A: 	ja 
A: 	dat zijn bij mij ook zo 
A: 	dit zijn de Angry Bird 
B: 	kijken 
B: 	oké dat zijn M 
A: 	er zullen er hij staan links van het scherm 
A: 	daaronder zullen twee vinger kunnen maar geen heel poppe 
A: 	en rechts zullen er ja precies nog net één tussen kunnen 
A: 	of link daarvan sorry 
B: 	ja dan staan die op dezelfde plek 
B: 	dit zijn die Angry Bird 
A: 	oké 
A: 	dat zijn nummer negen 
B: 	als je de linkerkant van het scherm hebben dan staan die als je het midden hebben boven en dan wel niet tegen het midden aan maar wel richting het midden 
B: 	en dan boven zullen er nog net wel net niet nog één boven kunnen 
A: 	ja 
A: 	dat zijn dezelfde positie 
A: 	dit zijn de Angry Bird 
B: 	even kijken waar dat zijn F 
A: 	en die staan aan de rechterkant van het scherm 
A: 	als je het midden hebben staan die er één rechts van 
A: 	en aan de onderkant zullen er dus net wel net niet één onder kunnen 
B: 	staan die dan helemaal onderaan 
B: 	dat er net maar net wel net niet één onder zullen kunnen 
A: 	ja 
B: 	oké 
B: 	ja dan staan die wel op dezelfde plek 
B: 	dat zijn niet dezelfde plek 
B: 	dit zijn die Angry Bird 
A: 	ja dat zijn nummer zes 
B: 	als je het midden hebben staan die aan de linkerkant dan precies op het midden en dan zullen er net wel net niet nog een paar vinger tussen kunnen tot de middellijn 
A: 	ja ja 
A: 	dat zijn dezelfde positie 
