A: 	ja ik hebben geen idee hoe ik deze moeten omschrijven qua woord maar je hebben aan de rechterkant twee van die vierkant blok zitten aan de linkerkant zitten een 
B: 	ja 
A: 	op dezelfde hoogte van die twee vierkant blok zitten een soort hendel 
B: 	ja 
A: 	daaronder daar zitten een soort uitlaatpijp en bovenop zitten nog een gek ja 
B: 	ja 
B: 	ja 
B: 	ja die iets spitser toekenen alleen geen punt hebben 
A: 	ja en daarna weer plat ja precies 
B: 	ja 
B: 	I 
A: 	bij mij staan die even kijken een beetje veel naar links en omhoog eigenlijk maar even kijken als je 
A: 	het de linkerhelft weer in twee zullen delen dan zitten die veel naar de rechterkant toe 
B: 	ja 
B: 	ja 
A: 	en qua hoogte zitten die ongeveer op de helft van de bovenste helft zeggen maar 
B: 	ja dan zijn het op dezelfde plek 
B: 	met de deurklink en met twee van die dinge die eruit steken aan de rechterkant met dat spits toelopen punt bovenop 
B: 	dat geen punt hebben 
B: 	een soort omgekeerde badkuip 
A: 	ja ja ja ja 
A: 	ja 
A: 	met die twee vierkant blok aan de rechterkant 
B: 	beetje weten je met die 
A: 	of 
B: 	ja rechthoeken ik vinden het wel rechthoek 
A: 	ja ja rechthoek ja ja ja 
B: 	oké 
B: 	zullen we die de deurklink noemen 
A: 	ja deurklink prima 
B: 	oké top 
A: 	dat zijn twee 
B: 	bij mij staan die als je het linksonderkwadrant pakken 
B: 	iets veel van het midden van dat kwadrant naar links 
B: 	en dan ook iets veel naar het boven van het midden van dat kwadrant in de hoogte 
A: 	oké hoeveel naar boven ? want bij mij staan die wel inderdaad iets link 
B: 	echt amper 
A: 	ja oké dan zitten die wel op dezelfde plek 
B: 	misschien zelfs wel in het midden 
A: 	ja precies dan zitten die goed 
B: 	oké 
A: 	de deurhendel volgens mij 
B: 	ja 
A: 	bij mij staan die helemaal linksonder zowat 
B: 	ja bij mij ook 
B: 	M 
A: 	oké 
A: 	nou dan kunnen we die ook gelijk 
B: 	yes 
B: 	de deurklink 
A: 	de deurklink 
A: 	dat zijn waar staan die 
A: 	ah daar 
A: 	dat zijn negen 
B: 	staan die in het Linksbovenkwadrant 
B: 	en dan vanuit het midden van dat linksbovenkwadrant naar rechts 
A: 	bij mij 
B: 	en wel een een klein stuk 
A: 	ja bij mij staan die eigenlijk echt precies rechts naast de boiler 
B: 	ja 
A: 	die we net hebben 
B: 	ja bij mij ook 
A: 	ja oké 
A: 	de deurklink 
B: 	ja 
A: 	bij mij staan die in het rechtsonderkwadrant beetje aan de linkerkant van het kwadrant 
B: 	ja 
B: 	F 
B: 	maar dan wat het daarnaast staan links daarnaast staan de neuspiercing of niet 
A: 	iets even kijken dus 
A: 	ja 
B: 	ja 
A: 	die staan er echt tegenaan 
B: 	ja hebben we hem op dezelfde plek 
A: 	ja 
B: 	de deurklink 
A: 	deurklink waar zijn de deurklink verstpen 
A: 	daar 
A: 	zes 
B: 	oké en dan staan die qua hoogte wel in het midden 
B: 	misschien een tikkel naar onder 
A: 	ja 
B: 	en dan als je het midden van het heel scherm pakken een klein stuk naar links 
A: 	ja 
