B: 	het zijn een bak en hij bevinden zich in een vierkant in een plat vierkant een beetje alsof die een glitch hebben 
A: 	oké ja 
B: 	ja dat zijn geloven ik de enig maar hij hebben ook nog een soort van slurf 
B: 	en een hoek hier en twee van die antennet 
A: 	ja ja ja oké 
B: 	ja 
A: 	ja 
A: 	nummer zes 
B: 	bij mij staan die net iets een beetje rechts van het midden en dan helemaal bovenaan 
A: 	hebben ik ook 
B: 	oké 
A: 	tegen de rand of iets daaronder 
B: 	ja iets onder de rand maar er staan geen ander figuur boven 
A: 	nee oké 
A: 	dan hebben we dezelfde plek 
A: 	geel 
A: 	dit zijn die een zeggen maar die een beetje door de grond glitchten zijn 
A: 	en dan zitten er zeggen maar dat slurf aan de voorkant 
B: 	ja 
B: 	ja 
A: 	met stok aan de zijkant 
A: 	en die punt ja 
B: 	ja 
B: 	letter C 
A: 	hij staan rechts van het midden 
A: 	in het midden bovenaan 
B: 	ja 
B: 	best wel dicht tegen de rand 
A: 	best wel ja best wel vlak bij de rand 
B: 	ja 
B: 	hij hebben twee horent hij zitten hij glitcht in dat vierkantje 
A: 	ja 
A: 	ik zijn half blind met dat slurf 
B: 	ja hij hebben een slurfje 
A: 	ja 
A: 	nummer dertien 
B: 	hij staan links aan de rand en boven aan de rand 
B: 	hij staan iets veel naar boven dan dat die naar links staan 
A: 	ja maar jij bedoelen de bovenrand 
B: 	ja 
A: 	nee bij mij staan die zeggen maar nog ongeveer halverwege 
B: 	oké 
A: 	dit zijn die een zeggen maar die door die grond heen geglitcht zijn met dat slurf aan de voorkant 
B: 	ja 
A: 	en die twee punt erop 
A: 	en dat armp 
B: 	moeten ze nog even zoeken 
B: 	ja 
B: 	letter J 
A: 	en die staan als je het midden van het scherm hebben echt net heel iets naar rechts 
A: 	maar wel dus onderaan 
A: 	niet tegen de rand maar wel als enig voor mij daar 
B: 	ja en een heel klein beetje rechts van de rand dus 
A: 	ja 
B: 	ja 
B: 	de glitch met het slurf 
A: 	ja 
A: 	nummer negen 
B: 	hij staan boven het midden 
A: 	ik hebben onder het midden 
B: 	oké 
A: 	wel rechts 
B: 	ja wel rechts 
A: 	even kijken dit zijn die een die door de plank zijn glitchten met het slurf 
B: 	yes 
A: 	en de twee stokkie 
B: 	letter N 
A: 	en hij staat wel bovenaan zeggen maar zo'n stuk vanaf de bovenrand 
A: 	maar dan ook ja vijfenvijftig procent ongeveer vanaf het zeggen maar 
B: 	ja precies hetzelfde 
A: 	oké 
B: 	dus heel erg dicht bij de middellijn en heel erg dicht bij de bovenkant 
A: 	ja 
A: 	maar wel echt rechts van de middellijn 
B: 	ja 
A: 	ja 
