A: 	ik hebben er één en die lijken een beetje alsof die een neuspiercing hebben 
B: 	ja dan weten ik al welk het zijn ja 
A: 	en het zijn een soort 
B: 	en hebben die ook zo zo'n haar op de achterkant en 
A: 	ja en het zijn een basketbal standaard zeggen maar 
B: 	ja 
A: 	zo'n soort korfbalstandaard 
B: 	ja ja ja ja ja 
A: 	oké 
B: 	dan zijn dat bij mij F 
A: 	en hij staan op de middellijn 
A: 	dus horizontaal op het midden 
A: 	en dan denken ik twee naar rechts 
B: 	bij mij staan die bijna helemaal rechts 
B: 	er zullen er nog net misschien één rechts langs kunnen 
A: 	nee er er staan er er staan er nog één naast bij mij 
B: 	aan de rechts kant nog ernaast 
A: 	ja 
B: 	nou dat zullen hier denken ik net niet kunnen 
A: 	nee maar er staan er één aan de rechterkant nog ernaast 
B: 	ja maar dat maken volgens mij niet uit het gaan om de positie en niet om de de rest 
A: 	oké 
B: 	maar ik denken niet dat er bij mij nog één naast kunnen 
B: 	staan die staan ze heel dicht op elkaar aan de rechts kant dan 
B: 	aan de rand 
A: 	ja maar dat zullen er misschien nog wel één naast kunnen 
B: 	nee 
A: 	hij staan precies in het midden en als je dan één neerzet en dan nog één neerzet daar staan die 
B: 	oké nee dan zullen dat niet dezelfde plek zijn denken ik 
A: 	oké 
B: 	de neus neuspiercing 
A: 	ja dat zijn nummer vijf 
B: 	die staan wel in de slinger aan de rechts kant de twee van boven 
A: 	nee dat zullen wel niet want jij hebben daar net een ander staan 
B: 	ja daar hebben ik net een ander 
A: 	dit zijn de neuspiercing 
B: 	even kijken dat zijn A 
A: 	en die staan eigenlijk zo ver mogelijk mogelijk rechtsonder als je kunnen hebben 
B: 	nee 
B: 	dit zijn de neuspiercing 
A: 	zijn nummer vijf 
B: 	staan in het midden maar dan één positie naar rechts 
A: 	staan er nog één aan de rechterkant 
B: 	er staan er nog één rechts naast ja 
A: 	nou dan zijn het hem niet 
A: 	de neuspiercing 
B: 	de neuspiercing waar zijn je 
B: 	H 
A: 	vanaf het midden eigenlijk helemaal naar beneden 
B: 	ja 
B: 	staan er nog twee rechts onder zo in een lijn 
A: 	dan uitstaan er nog 
A: 	ja 
B: 	oké dat zijn dezelfde 
B: 	de neuspiercing 
A: 	dat zijn vijftien 
A: 	nee die staan sowieso niet gelijk want die hebben jij net 
B: 	vanuit die 
B: 	nee die hebben we al hebben ja 
A: 	er staan er bij mij vanaf het midden één naar rechtsonder 
B: 	ja bij mij daar rechts boven 
