A: 	ja er steken weer een leeg balonnetje uiit 
A: 	en je hebben een lang vierkant staaf zeggen maar 
A: 	en door de vierkant staaf zitten een bolle en aan het eind van de vierkant staaf zitten een rond 
B: 	ja aan de voorzijde allebei dat bolle en die staaf 
A: 	ja ja ja 
B: 	okan dan zijn het F 
A: 	en bij mij zitten hij rechts van het scherm 
B: 	ja 
A: 	en dan de twee rij 
B: 	bij mij helemaal de verst rij rechts 
B: 	dus dan zijn het al sowieso niet dezelfde er staan er één boven nog en dan een rij er naast zijn drie ongeveer 
A: 	nee nee 
A: 	nee nee dat zijn rood dan 
B: 	dat zijn dus niet dezelfde 
B: 	ja 
B: 	deze hebben zegmaar zo'n ballonne uitstekend aan de bovenkant aan de voorkant zitten een bol die doorboren zijn met een staaf 
A: 	ja met dat rond en dat cirkel 
B: 	met zo'n rond aan de rechterkant ja 
A: 	ja vijf 
A: 	bij mij zitten hij links boven dat vierkan dus dan 
B: 	in het midden ja bij mij zijn het zegmaar die linksboven alleen dan daar link weer onder 
A: 	nee dat hebben ik dus net ja ok 
B: 	die het net bij jou zijn ja dus dan zijn het niet hetzelfde 
A: 	die dat met ballonne er in één en dan aan de voorkant die staaf met zo'n bolle er doorheen en aan de uiterst een rond 
B: 	ja A 
A: 	vijf rij onderin 
B: 	vijf rij bovenin dat zijn niet hetzelfde 
A: 	jij zijn ja 
B: 	ballonne eruit en dan zo'n bol vooraan met zo'n staaf er doorheen met dat rond 
A: 	met die cirkel aan de ja 
B: 	ja met die cirkel aan de rechter uiteinde 
A: 	ja vijf 
A: 	twee rij helemaal rechts 
B: 	nee bij mij de drie van links dus niet 
A: 	nee 
A: 	die een met dat ballonne er in en dan dat staaf aan de voorkant met een bolle en dat cirkel 
B: 	ja die doorboren zegmaar ja H 
A: 	vier rij helemaal onderin 
B: 	de onderste ja 
A: 	ja 
B: 	met dat ballonne er in en dat bolle aan de voorkant wat doorboren zijn en dan zitten er rechts nog zo'n rond 
A: 	vijftien 
A: 	één twee drie vier vijf rij de twee 
B: 	de één bij mij 
