B: 	oké ik noemen het zelf het kop met een schap en het bak 
B: 	er zijn één er zijn één kop waar een soort tafel aan vasthangen 
A: 	ja ik hebben hem 
A: 	ja 
B: 	en er staan een kop op 
A: 	ja ja dat zijn zestien 
B: 	hij staan aan de rechterkant van het scherm 
B: 	in het midden qua hoogte 
A: 	ja 
B: 	eigenlijk precies in het midden van de rechterkant 
A: 	oké helemaal helemaal rechts rechts 
A: 	rechtsmidid 
B: 	als je de rechterkant van het beeld hebben 
A: 	ja 
B: 	daar het midden van 
A: 	nee dat kloppen helemaal niet nee 
A: 	nee 
A: 	oké 
A: 	ja het zijn een mok met een tafel met een beker erop 
A: 	dus het tafel erop 
B: 	ja dat bak 
A: 	ja 
B: 	ja 
B: 	oké dat zijn P 
A: 	ja 
A: 	en hij zitten aan de rechterkant 
A: 	en hij zitten niet hij zitten aan de hij zitten rechts aan de rechterkant 
A: 	niet niet tegen het scherm aan 
A: 	hij zullen er nog op zijn weinig anderhalf keer tussen passen en daarboven op zijn weinig nog twee keer naar boven 
B: 	oké 
B: 	zitten die bij mij zitten die echt geen precies in het midden van het rechterscherm 
A: 	precies in het midden van het rechterscherm 
A: 	ja ik denken dat we misschien hetzelfde zien maar 
A: 	want ik hebben ook het gevoel dat hij in het midden van rechts want als ik als ik hem naar als ik hem naar nog één keer naar rechts dan zullen die ongeveer zullen die dan het scherm raken bij jou als je hem nog één keer naar naar rechts doen 
B: 	nee daar past die nog wel een keer tussen 
A: 	nog één keer 
A: 	nog één heel keer 
B: 	ja en dan zullen die hij kunnen daar ja één keer 
A: 	ik denken dat die 
A: 	ja want hij zitten één keer en dan omhoog één twee keer denken ik 
B: 	ja ja 
A: 	ja dan zijn die wel in het midden 
A: 	in het midden van rechts ja 
B: 	oké dan moeten ik drukken 
B: 	prima 
B: 	het zijn dat tafel waar het bak op staan 
A: 	ja 
A: 	ja die zijn dat zijn elf 
B: 	hij zitten helemaal onderin 
B: 	het zullen nog iets laag kunnen maar het zitten wel 
A: 	helemaal onderin welk kant van het scherm 
B: 	aan de linkerkant maar echt tegen het midden aan 
A: 	helemaal onderin 
A: 	nee bij mij zijn die niet onderin 
A: 	hij staan in het midden 
B: 	ja 
A: 	oké tafel met mokje of kop bakje erop 
B: 	ja dat zijn N 
A: 	en hij zitten aan de linkerkant 
A: 	in in het midden eigenlijk 
A: 	hij zitten aan de linkerkant Linksboven in het midden dus 
B: 	aan de linkerkant 
A: 	eigenlijk in het midden want als je dit het scherm zo verdeelen en zo dan zitten hij in het midden van deze 
A: 	link in het midden 
B: 	ja 
A: 	zo 
A: 	zo 
B: 	maar hij zitten zitten hij echt op de middellijn van het scherm 
A: 	ja 
A: 	ja ik bedoelen mijn midden van weten je wel het hangertje dat zijn het midden 
B: 	ja 
A: 	en daar zitten die op 
B: 	ja 
B: 	oké dan zijn die wel goed 
B: 	dit zijn het tafel met het bak 
A: 	ja 
A: 	tafel met bakje waar zijn die nou 
A: 	ja 
A: 	dat zijn tien 
B: 	en hij zitten onder het kop met die bolle uit de zijkant 
A: 	onder 
B: 	daaronder 
A: 	nee dat kloppen niet 
B: 	dat kloppen niet maar even kijken en qua plaats hij zitten tegen het midden aan aan de linkerkant 
A: 	ja 
A: 	oké 
B: 	en dan net iets hoog dan de middellijn 
B: 	vanaf het midden zien 
A: 	en daarboven zitten een kop met de bollet 
B: 	ja maar dat maken denken ik niet heel veel uit ja 
A: 	nee dat kloppen bij mij kloppen het niet 
B: 	oké 
A: 	oké 
A: 	tafel met het bak kop mokje erop 
B: 	ja dat zijn D 
A: 	en hij zitten aan de rechterkant 
A: 	boven 
A: 	en hij gaan richting het scherm 
A: 	maar hij zitten niet in de hoek van het scherm maar net eronder 
A: 	en hij kunnen niet er zitten bijna geen ruimte tussen eigenlijk hij kunnen misschien net half keer ernaast 
B: 	half keer richting het scherm 
A: 	ja 
B: 	en hij kunnen niet veel naar boven 
A: 	hij kunnen wel naar boven nog twee nog twee keer 
