B: 	ja deze hebben de verrekijker 
B: 	hebben twee van die 
A: 	spijker op het hoofd 
B: 	ja spijker op het hoofd 
A: 	ja welk 
B: 	plat plat ding 
A: 	ja 
B: 	B 
A: 	B twee 
B: 	ja 
B: 	ja hij staan linksonder 
B: 	er kunnen niks veel onder maar er zullen links nog wel iets naast kunnen 
A: 	nee kloppen die niet 
A: 	spijker op het hoofd verrekijker 
B: 	ja G 
A: 	dertien 
B: 	G dertien 
A: 	als je weer een kruis van het midden maakt staan die in het net net wat link onderin 
B: 	ja zelfde plek 
B: 	dit zijn de verrekijker met zo'n antenne of zo'n hoed 
A: 	ja ja ja ja 
B: 	ja 
B: 	B 
A: 	B negen 
B: 	en die staan zo in het midden ongeveer iets een tikkel naar links als je zo kijken 
A: 	ja 
B: 	en dan zullen er nog één onder kunnen 
A: 	en één boven als je naar midden gaan 
B: 	ja en één boven als je naar het midden zullen gaan 
A: 	dezelfde plek 
B: 	ja 
A: 	verrekijker 
A: 	spijker op het hoofd 
B: 	ja D 
A: 	zeven 
B: 	d zeven 
A: 	bijna midden 
B: 	ja 
A: 	en net wat omhoog net wat naar links 
B: 	ja ja zelfde plek 
B: 	deze noemen ik verrekijker met die antenne zo 
A: 	ik weten welk je bedoelen 
B: 	P 
A: 	welk 
B: 	P 
A: 	P één 
B: 	ja en die ja 
A: 	driehoek die rechts zat staan die links daarvan 
B: 	even kijken wat bedoelen je met driehoek 
A: 	we hebben we hebben rechts een driehoek 
A: 	rechts bovenin achter 
B: 	ja ja helemaal huh ? sorry wat bedoelen je 
A: 	nou laten maar laten maar gaan maar gaan maar 
B: 	met het driehoek 
B: 	nee hij staan in het midden 
A: 	ja 
B: 	hij staan eigenlijk midden midden en dan iets veel naar rechts 
A: 	nee niet hetzelfde 
A: 	jou verrekijker 
B: 	even kijken B 
A: 	negen 
B: 	B negen 
A: 	we hebben in het midden onderaan staan er twee 
B: 	ja 
A: 	daarvan zijn die rechtsonder 
B: 	ja 
A: 	oké zelfde 
