A: 	oké 
A: 	deze zijn een beetje lastig uit te aanleggen het lijken een beetje alsof er een schuin boek op de bovenkant staan 
A: 	met een soort van horizontaal figuur erdoorheen 
A: 	helemaal boven op dat blauw ding laten maar zeggen het lijken op een soort van boek 
B: 	dat 
A: 	ja met een soort van 
B: 	met twee van die ding aan de zijkant aan de rechterkant 
A: 	ja en dan nog zo'n L onderaan 
B: 	ik vinden dat deze echt op een kip lijken 
B: 	er zitten er zitten een snavel 
A: 	ik snapen wat je ik snapen wat je bedoelen 
B: 	oké dan zijn dat I 
A: 	en bij mij staan die aan de linkerkant van het scherm 
A: 	en dan één ik denken net onder de middellijn en wel redelijk 
B: 	bij mij staan die boven de middellijn 
A: 	ja oké dan staan die niet op dezelfde plek 
B: 	dus dan zijn die ergens ander 
B: 	dit zijn die een die ik een kip noemen maar die niet de kip zijn met het boek en dan de twee stapel aan de zijkant van het boek 
A: 	ja kloppen dat zijn bij mij negen 
B: 	en hij staan aan de linkerkant helemaal onderaan 
B: 	en dan ja iets rechts van het midden 
A: 	er zullen nog drie aan de linkerkant passen ongeveer 
B: 	ja denken het wel 
A: 	ja staan die bij mij op dezelfde plek denken ik 
A: 	ik hebben die met dat boek weer met die twee trap erdoorheen 
B: 	ja die 
B: 	dat zijn H 
A: 	die staan een beetje op een lastig plek 
A: 	of hij staan aan de een beetje in het midden van de linkerkant 
B: 	ja 
A: 	en dan past er sowieso nog één boven en sowieso ruim nog één aan de linkerkant 
A: 	anderhalf laat maar zeggen past nog aan de linker 
B: 	bij mij passen er echt wel twee aan de linkerkant 
A: 	ik denken ja ik denken bij mij ook wel 
A: 	even kijken als je goed passen 
B: 	bij mij zijn wel echt ja echt midden midden van de linkerkant 
A: 	ja 
B: 	en dan één daarboven eigenlijk net boven de middellijn zeggen maar 
A: 	ja 
B: 	oké 
B: 	dan staan die op dezelfde plek denken ik 
B: 	ik hebben die een met het boek en de twee stapel ernaast 
A: 	ja nummer elf 
B: 	en hij staan in het midden van de linkerhelft en dan boven de middellijn 
A: 	zullen er nog één boven toepassen 
B: 	nee 
A: 	nee bij mij ook niet veel 
A: 	ik hebben die met dat boek bovenop 
A: 	en die twee stapel erdoorheen 
B: 	dat zijn D 
A: 	bij mij staan die aan de linkerkant van het scherm 
A: 	beetje laten maar zeggen 
B: 	helemaal onder 
A: 	ja er zullen er net wel net niet één onder passen 
A: 	dus het figuur zelf zullen er niet veel onder passen laten ik het zo zeggen 
B: 	nee dat hebben ik ook 
B: 	dus echt gewoon die normaal rand alleen maar over eigenlijk 
A: 	ja en als je even kijken het staan een beetje in het midden van de linkerkant 
B: 	past er nog één link naast 
A: 	ja ruim er toepassen er wel twee naast 
B: 	nee 
B: 	nee bij mij echt niet 
A: 	oké 
B: 	net zeggen maar 
B: 	dit zijn die een met het boek en de twee stapel aan de zijkant 
A: 	veertien 
B: 	hij staan aan de linkerkant passen er geen veel link naast en 
A: 	hebben ik niet 
B: 	oké 
A: 	past nog ruim wel 
