B: 	dit zijn een soort heel blij poppet met één been 
B: 	nee het zijn dat kop en dan hebben die precies in het midden een vierkantje 
A: 	ja hebben die een soort van Standaard 
A: 	lijken het op een beetje op een prijs een travee trofee 
B: 	ja maar wel een beetje scheef 
B: 	ja 
B: 	zo zullen je het maar dan wel een beetje schef Standaard 
A: 	ja 
A: 	ja dan zitten er twee blok op plus één soort van staafje 
B: 	ja die 
A: 	ja dat zijn bij mij vier 
B: 	hij staan echt bijna rechts in de hoek 
A: 	nee bij mij niet bij mij staan die echt een beetje in het midden van rechtsbovenkwadrant zeggen maar 
B: 	nee hij hebben hij kunnen nog er kunnen nog één tussen van 
A: 	nee bij mij kunnen er echt nog drie naast of zo 
B: 	nee dan zijn dat zeker niet dan moeten jij drukken toch ? ja 
A: 	nee nee 
A: 	rood zijn dat geloven ik hè ? ja 
B: 	ja 
A: 	bij mij zijn het de trofee die een beetje op die schuin standaard staan zeggen maar met die twee blok en dat ander dinge erbovenop 
B: 	ja 
A: 	weten je welk ik bedoelen 
B: 	die Schuine 
A: 	ja die zo'n beetje draaien poot zo omhoogging zo 
B: 	ja 
B: 	ja 
A: 	ja de trofee 
B: 	met een klein blok groot blok en een schuin ding 
A: 	ja 
B: 	ja oké dat zijn A 
A: 	die staan bij mij in het linksonderkwadrant maar hij staan 
B: 	nee staan bij mij wel boven 
A: 	ja 
B: 	moeten ik nu 
A: 	ja sorry ik willen eigenlijk proberen om dat te doen ja 
B: 	dit zijn die trofee 
B: 	dus met dat raar scheefstaan stuk 
A: 	ja ik zien hem tien 
A: 	tien 
B: 	staan bij mij in het linksonderkwadrant helemaal naar beneden ja ongeveer in het midden 
B: 	iets naar rechts 
A: 	ja 
A: 	zelfde 
A: 	de trofee 
B: 	die scheef staan zo 
A: 	ja 
B: 	ja 
B: 	oké dat zijn L 
A: 	rechtsbovenkwadrant kunnen er denken ik ongeveer nog een half naast en een een kwart of zo boven 
B: 	maar hij zitten bij mij wel er kunnen wel iets veel dan een kwart boven 
A: 	zoiets 
A: 	half misschien 
B: 	die een met met zijn zuignap die zullen er nog passen zeggen maar 
A: 	even kijken hoor waar staan de zuignap ? ja dat zullen bij mij wel echt heel krap worden hoor 
B: 	bijna 
B: 	zullen 
B: 	ja maar dan wel 
A: 	het zullen net kunnen misschien 
B: 	oké ja dan hebben we dezelfde 
A: 	ja 
B: 	dit zijn de trofee 
A: 	nummer vier 
B: 	staan bij mij eigenlijk in de hoek van het linksonderkwadrant zeggen maar naar boven 
A: 	en dan en tegen het midden in zeggen maar ja 
B: 	ja 
A: 	ja bij mij ook 
A: 	de trofee 
B: 	ja F 
A: 	hij zitten bijna tegen de middellijn zo aan 
A: 	alleen net iets rechts daarvan in het rechtsbovenkwadrant 
B: 	nee hij zitten bij mij al links 
