B: 	ik vinden dit een beetje op zo'n tap lijken als je zo'n groot glas komen hebben waar je limonade uit kunnen tappen 
B: 	dan komen er zo'n balk uit waar ook weer een balk op zitten 
A: 	wachten even een balk uit en ook weer een balk 
B: 	en aan de zijkant zitten twee van die schuin ding die zo lopen aan de een kant zien je hem goed dan aan de ander kant 
B: 	en bovenop zitten nog een balk 
A: 	een ja ja 
A: 	ik denken aan een kip maar ik snapen wat je bedoelen 
B: 	oké 
A: 	acht 
B: 	deze staat net links op de linkerschermhelft 
A: 	in het midden 
A: 	ja ja ja 
B: 	en dan vrij in het midden als je op de horizontaal lijn kijken 
A: 	dat zijn dezelfde 
B: 	oké 
A: 	waarvan jij zeggen dat het een saptap zijn en ik zeggen dat het een kip zijn 
B: 	even kijken waar die zijn hoor 
B: 	ja ja dat zijn E 
A: 	en hij staan als je het scherm weer in het midden verdeellen staan die net naar rechts 
A: 	en dan ook net onder de horizontaal lijn 
B: 	onder 
A: 	ja 
B: 	oké bij mij staan die er net boven 
B: 	dit zijn de kip en het watertapdingetje 
A: 	waar staan die 
A: 	één 
B: 	en verticaal zien staat die in het midden en horizontaal zien bovenin 
A: 	en als je hem doormidden doen dan iets veel naar links 
B: 	ja net een slag naar links ja 
A: 	ja ja 
A: 	dit zijn de kip en de watertap 
B: 	dat zijn E 
A: 	en die zitten bij mij aan de linkerkant van mijn scherm en als je dat door de midden doet zitten die weer aan de rechterkant 
A: 	en iets onder de horizontaal lijn 
B: 	en hoe erg naar rechts zit die op die linkerschermhelfen 
A: 	ja niet heel erg 
A: 	echt maar net 
B: 	het hebben ook het midden kunnen zijn 
A: 	nee 
A: 	nee 
A: 	zeggen maar waar die grenzen aan de linkerkant daar daar lopen meteen al de lijn als je hem doormidden zullen doen 
A: 	denken ik 
B: 	ja ik denken wel dat het hetzelfde zijn 
B: 	dit zijn weer de kip 
B: 	of de watertap 
A: 	zestien 
B: 	en deze zitten op de rechterschermhelft verticaal bijna in het midden 
B: 	en horizontaal onderin 
A: 	dit zijn de tap en de kip 
B: 	ja dat zijn O 
A: 	en die zitten linksonder in de hoek 
B: 	ja 
