A: 	oké nou ik zien dit een beetje als een soort van neus en dan zitten zo'n ja rechthoekig staaf doorheen 
B: 	die 
A: 	dus aan de voorkant 
B: 	ja 
A: 	en dan aan het einde van die staaf zitten een een rond 
B: 	ja 
B: 	en hij hebben ook nog een een soort lepeltje in het ja oké 
A: 	ja ja precies die 
B: 	dan zijn het F 
A: 	oké bij mij staan die zullen ik maar zeggen veel rechts en dan als je rechtsboven beginnen 
B: 	ja 
A: 	hebben je één twee 
A: 	en dan net links onder die rechts 
A: 	snapan je wat ik bedoelen 
B: 	ja ik hebben hem zeggen maar ook rechts in mijn beeld 
B: 	alleen staan die wel ja precies onder die daarboven staan 
B: 	en er staan er nog één schuin links onder 
A: 	ja 
A: 	volgens mij staan die dan net anders want zitten die bij jou veel in het midden zullen ik maar zeggen of echt boven de lijn 
B: 	hij zitten wel 
B: 	ja nee hij zitten wel in het midden 
A: 	oké 
A: 	ik weten niet of ik helemaal begrijpen waar die bij jou staan 
B: 	ja hij zitten dus helemaal rechts 
A: 	ja 
B: 	er staan geen ander dinge nog ver naar rechts 
A: 	oké 
B: 	en dan zitten die precies in het midden van zo op het scherm 
A: 	oké 
A: 	dus er staan helemaal niks veel rechts van dat figuurt 
A: 	oké dan staan die niet op dezelfde plek 
B: 	niet op dezelfde plek 
A: 	nee 
B: 	oké 
B: 	dit zijn er één met een neus en dan zo'n spijker erdoorheen en een tuu 
A: 	ja 
A: 	ik weten wat je bedoelen even kijken 
A: 	ja dat zijn nummer vijf 
B: 	en hij staan in het midden van het linkerbovenste vlak 
A: 	nee 
A: 	nee bij mij zijn het echt als je vanaf boven heel het scherm bekijken zijn het echt de twee rij 
A: 	dus tweenahoogste 
B: 	zo of zo 
A: 	zo 
A: 	dus je hebben als je van heel het als je het niet in vlak verdeellen 
B: 	ja hij staan bij mij een beetje tussen twee en drie in 
B: 	zeggen maar als je hem zo opdeelen 
A: 	nee bij mij 
B: 	en hij staan iets veel naar de middellijn toe 
B: 	dan naar de linkerkant voor jou 
A: 	oké ja 
A: 	ja bij mij staan die wel dicht bij de middellijn maar volgens mij want je hebben hier zijn het de hoog en dan het zijn de tweenahoogste eigenlijk 
A: 	van heel heel 
B: 	oké 
A: 	dan zijn het denken ik niet dezelfde 
B: 	nee 
A: 	dat zijn die een neus met die staaf erdoorheen en zo'n raar rond erdoor ja 
B: 	ja 
B: 	dinge op de 
B: 	dat zijn A 
A: 	bij mij staan die aan de rechterkant 
A: 	in het vlak rechtsonder en dan past er nog wel één figuurt zullen ik maar zeggen naast 
B: 	aan de rechterkant 
A: 	aan de rechterkant 
A: 	en dan wel onder hij zitten dicht bij de middellijn ongeveer 
B: 	die van mij zitten op de middellijn 
B: 	en er toepassen denken ik nog zeker twee figuurt naast 
A: 	oké nee 
B: 	oké dan staan die niet op dezelfde plek 
B: 	dit zijn weer die een met die spijker door de neus 
A: 	ah dat zijn nummer vijf 
B: 	en hij staan ja ongeveer net iets boven deze middellijn 
B: 	en dan in het rechtervlak bovenaan 
A: 	oké ja en er toepassen nog wel figuurt boven 
B: 	ja 
A: 	oké dan staan die denken ik op dezelfde plek 
A: 	dat zijn die neus met dat ding erdoorheen 
B: 	ja 
B: 	moeten ik het even goed zeggen dat zijn H 
A: 	ja ik hij staan een beetje op deze middellijn 
A: 	eigenlijk en ik ja ik zullen zeggen dat die veel aan de ja bij het vak vlak rechtsonder horen 
A: 	en er stilstaan eigenlijk stilstaan er twee nog daarnaast 
B: 	ja 
B: 	ja die een klein beetje schuin aflopen nog 
A: 	het zullen één met zo'n 
A: 	ja 
A: 	ja 
B: 	ja 
B: 	oké dan staan die op dezelfde plek 
B: 	dit zijn met dat spijker door de neus 
A: 	dat zijn nummer vijftien 
B: 	en hij zitten in het vlak rechtsboven 
A: 	ja 
B: 	ongeveer in het midden van dat vlak 
A: 	oké nee dan zitten die niet op dezelfde plek 
