B: 	oké 
B: 	dit zijn een bak en hij staan op een vierkant en hij hebben twee van die Pippi Langkousstaartjes 
A: 	ja oké 
B: 	ja 
A: 	nummer vijf 
B: 	hij staan bij mij als je het midden hebben link van het midden en een beetje onder het midden zeggen maar ja 
B: 	en er staan nog wel iets naast 
A: 	bij mij staan die wel aan de linkerkant maar dan zeggen maar boven het midden 
A: 	en er zitten ook nog wat veel boven en onder 
B: 	ja bij mij staan die dus een beetje onder het midden dus dan 
A: 	ja 
A: 	zijn niet hetzelfde dus rood 
B: 	nee 
B: 	jij moeten het zeggen 
A: 	ja 
A: 	dit zijn zeggen maar dat bakkie wat dan op dat vierkant plaat staan met die met die paardenstaar zo 
B: 	ja 
B: 	letter J 
A: 	ik hebben hem helemaal rechtsonder in de hoek 
B: 	nee bij mij staan er nog één rechts naast 
B: 	ja 
B: 	Pippi Langkous 
A: 	ja 
A: 	nummer elf 
B: 	hij staan qua hoog en laag denken ik in het midden van het midden 
B: 	en hij staan links van het midden 
A: 	echt echt net 
B: 	nee redelijk een stuk links van het midden 
B: 	denken ik hij staan zeggen maar in het midden van de linkerkant 
A: 	nee nee 
A: 	ik hebben zeggen maar hij staan wel links van mij maar dan zeggen maar echt net links van het midden 
B: 	nee een klein beetje 
A: 	want er afstaan er nog twee voor 
B: 	nee 
B: 	nee nee nee 
A: 	oké dan zijn het ander plek 
A: 	de Pippi Langkous ding 
A: 	op het plaat 
B: 	letter P 
A: 	als je het midden van het scherm hebben dan op zich best wel duidelijk rechts ervan 
A: 	maar niet echt ver of zo 
A: 	en dan 
B: 	bij mij staan die in het midden van de rechterkant 
A: 	ja maar ik hebben hem zeggen maar dan nog wel vlak langs de middellijn 
A: 	en dan bovenaan een beetje 
B: 	hoe welk vlak langs de midden midden middellijn 
A: 	ja zeggen maar echt het midden van het scherm 
B: 	ja en dan 
A: 	en dan heel iets rechts maar dan zeggen maar als je de rechterbovenhelft hebben daar helft van 
B: 	nee 
B: 	bij mij staan die echt rechts van de recht of midden van de rechterkant 
A: 	nee dan staan die op een ander plek 
B: 	Pippi Langkous 
A: 	yes 
A: 	nummer negen 
B: 	hij de middenrand komen een beetje eromheen 
B: 	maar hij staan net rechts van de middenrand en hij 
A: 	link van de middenrand 
A: 	de Pippi Langkous 
B: 	letter L 
A: 	op het plaat 
A: 	en die staan als het midden vijftig zijn 
B: 	welk midden ? links 
A: 	het het midden van het scherm 
B: 	ja 
A: 	als dat vijftig zijn dan op ongeveer veertig 
B: 	dus hij staan rechts link van het midden bij jou 
A: 	naar links zeggen maar 
A: 	ja vanaf de linkerkant doen maar gewoon links zijn nul rechts zijn honderd 
B: 	ja 
A: 	en dan van links naar rechts zeggen maar op ongeveer veertig 
B: 	ja hij staan bij mij rechts van het midden dus dan zijn die niet goed 
A: 	oké 
A: 	ja dat zijn al heel ander 
