A: 	oké ja hoe hebben ik hem beschrijven ? nou het zijn gewoon die rond kop weer en aan de zowel aan de linker als rechterkant hebben je een rond ovaal staaf wat er eigenlijk doorheen gaan 
A: 	je zien aan de linkerkant zien je een klein stuk ervan aan de rechterkant steken die lang uit 
B: 	ja en dan 
A: 	en aan de achterkant hebben je zo'n soort schuin plank zeggen maar 
B: 	ja en twee bollet op de 
A: 	ja 
B: 	oké ja 
B: 	K 
A: 	bij mij staan die ja eigenlijk helemaal links bovenin er staan geen plaat veel ver daar in die hoek maar hij zitten zeggen maar niet in het uiterst hoek 
B: 	ja 
A: 	er zijn nog wel ruimte 
B: 	ja 
A: 	oké 
B: 	dan zijn het op dezelfde plek 
A: 	oké 
B: 	dit zijn met die staaf die door het mokje heen gaan maar aan de linkerkant iets weinig dan aan de rechterkant 
A: 	ah ja ja ja even kijken waar staan die bij mij 
A: 	daar 
A: 	negen 
B: 	bij mij staan die aan de rechterkant van het beeld maar niet helemaal rechts 
B: 	en als je boven en onder deelt door de helft in het midden van het bovenste deel 
A: 	ja daar staan die bij mij ook 
A: 	met die even kijken dat plaat met die rol door het midden zeggen maar met link iets kort rechts iets lang 
B: 	ja 
B: 	ja 
B: 	F 
A: 	en bij mij staan die qua hoogte een beetje in het midden en dan links zeggen maar als je de linkerhelft pakken en dan 
A: 	in het midden van de linkerhelft zeggen maar 
B: 	ja 
A: 	ja 
B: 	ja 
B: 	dit zijn weer met die staaf erdoorheen en dan aan de linkerkant een klein stuk dan aan de rechterkant 
A: 	oké ja 
A: 	drie 
B: 	dan staan die bij mij helemaal onderaan en dan in het midden van het linkerveld 
A: 	in het midden van het linkerveld 
B: 	ja dus als je links en rechts hebben dan staan die in het midden 
A: 	ja 
B: 	nou ja oké misschien iets naar rechts van het midden 
A: 	nee dan zitten die fout bij mij 
A: 	bij mij zitten die echt helemaal linksonder zowat 
B: 	nee 
A: 	dat kop met die staaf erdoorheen met linkerkant 
B: 	link iets weinig en rechts iets veel 
A: 	ja precies 
B: 	L 
A: 	en die staan bij mij in het rechtsonderkwadrant tegen ja weer redelijk bij de center in de buurt zeggen maar 
B: 	nee 
A: 	nee 
B: 	nee 
A: 	oké 
B: 	sorry ja dat zijn ik 
B: 	dit zijn weer die staaf die links iets weinig erdoorheen opsteken en rechts iets veel 
A: 	ja 
A: 	even kijken 
A: 	waar zijn die verstoppen ? ah vijf 
B: 	staan die bij mij net iets naar links van het midden 
B: 	en dan ook wel onderaan 
B: 	alleen dan denken in het 
A: 	in het midden een beetje van de onderste helft zeggen maar 
B: 	ja ja 
A: 	ja 
