B: 	nou ja het zijn een kop en hij staan op een vierkantje 
B: 	er zitten allemaal rui aan de zijkant 
A: 	ja 
B: 	hebben je hem 
A: 	ja ja ik hebben hem wel ja die zijn heel duidelijk 
B: 	ja 
A: 	dat zijn nummer vijf voor mij 
B: 	ja 
A: 	nummer vijf 
B: 	oké 
A: 	yes 
B: 	en hij staan bij mij aan de linkerkant 
B: 	niet helemaal links 
B: 	als je een beetje het midden hebben staan die een beetje in het midden van de linkerkant 
B: 	bij jou ook 
A: 	ja ongeveer ja 
B: 	en een beetje en net boven de onder 
A: 	net boven de onderste bij mij staan die echt in het midden van het scherm qua hoogte 
B: 	ja 
B: 	staan er nog één onder of zijn het er veel die eronder staan 
A: 	er afstaan er bij mij veel onder 
B: 	oké nee dan dan kloppen die niet 
A: 	oké 
A: 	dus dan zijn het een ander locatie 
B: 	nee 
A: 	oké deze hebben de de ruit aan de zijkant zitten drie ruit link drie ruit rechts 
B: 	ja het het kop dat zijn J 
A: 	en en het rond aan de voorkant 
B: 	ja 
B: 	ja 
B: 	J 
A: 	en dan op een dienblad 
A: 	en hij staan helemaal rechtsonder in de hoek 
B: 	ja bij mij net niet 
A: 	niet oké 
B: 	er zitten er nog net één voor dus 
B: 	nou ja we hebben weer het het kop op het vierkantje 
A: 	ja 
B: 	met de diamant eraan 
A: 	yes oké dat zijn elf 
B: 	en bij mij staan die op het midden 
B: 	maar wel links als je dan links hebben in het midden van link 
A: 	echt in het midden van de linkerkant ? bij mij staan die wel veel net zeggen maar links van het midden 
B: 	ja 
B: 	ja nee bij mij dan net iets rechtsig dus waarschijnlijk zijn het niet zo 
B: 	ja komen de plaat niet overeen 
A: 	oké 
A: 	oké dit zijn weer met die diaman aan de aan de zijkant en 
B: 	P 
A: 	yes 
A: 	en die staan net iets rechts van het midden 
A: 	en ongeveer in het midden van de bovenkant van het scherm 
B: 	midden van de bovenkant 
A: 	ongeveer 
B: 	nee bij mij net niet 
A: 	ja 
B: 	het zijn het kop met de diaman aan de zijkant 
A: 	yes oké dat zijn negen 
B: 	en hij staan in het midden en dan best wel bovenaan 
A: 	nee bij mij staan die echt net iets boven het midden dus dat kloppen niet 
A: 	dit zijn weer de diamant aan de zijkant 
B: 	diamant dat zijn L 
A: 	en dan best wel ver bovenaan 
B: 	nee bij mij niet 
