A: 	ok deze hebben 
A: 	twee staf aan de zijkant waar een bolle op zitten en aan de achterkant zitten een schuin vierkantje wat een beetje verstpen zitten 
A: 	en daar komen ook een ja iets uit 
B: 	o ja een soort van schermpje aan de achterkant waar ja dat zijn K 
A: 	ja 
A: 	bij mij zitten hij helemaal linksboven 
B: 	ja op de twee rij al zullen je in rij 
A: 	er staan niks boven 
B: 	jaja maar zo één de twee 
A: 	nee ook niet 
B: 	nee 
A: 	gewoon helemaal links ik hebben er één figuur onder 
B: 	ja 
A: 	niks er boven 
B: 	ja 
A: 	en daarnaast zijn een beetje een leeg ruimte en dan komen er weer een ander figuur 
B: 	okan maar er zitten er zeggen maar onder link nog wel één 
A: 	linksonder bedoelen je 
B: 	ja als je ze gewoon naar onder zullen meegaan en dan zitten er link van het figuur dat het zijn nog iets 
A: 	ja 
A: 	ja maar die overlpen wel voor de helft met dat figuur ok 
B: 	ja ok ja dan zijn het dan zijn het wel 
B: 	deze hebben zegmaar weer dat liggen schermpje er achter en twee uitstekend ja wat zullen je het kunnen noemen spijker iets in die richting 
A: 	ja negen 
A: 	bij mij zitten hij rechts er zitten er één boven ? en drie onder 
B: 	drie eigenlijk schuin zo naar onder toe 
A: 	ja 
A: 	ja 
B: 	ja dat zijn zelfde 
A: 	deze hebben weer die spijker aan de zijkant dus twee en dan dat schermpje erachter 
B: 	even kijken waar die staan F 
A: 	in het links en dan in de twee rij het twee figuurtje 
B: 	ja bedoelen je zo twee rij 
A: 	nee ik bedoelen verticaal 
B: 	ja ja dus zo 
A: 	zo ja 
B: 	nee bij mij zitten hij eigenlijk ja niet in eigenlijk in de drie rij 
B: 	nee ok kijken in de één rij hebben je er drie dan in de twee weer drie in de drie vier en dan worden het een beetje 
A: 	nee 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	en waar zitten hij bij jou dan 
B: 	in de drie rij als twee 
A: 	nee bij mij zijn in de twee rij 
B: 	ok als we de die allemaal zo aanduiden worden het makkelijk denken ik zijn niet dezelfde 
A: 	ja 
A: 	o nee 
B: 	o Jee 
B: 	deze hebben zegmaar dat liggen schermpje en twee van die spijker aan beide kant 
A: 	ja 
A: 	drie 
B: 	denken dat we deze het goed zo in kunnen delen op horizontaal zegmaar 
A: 	ja één twee drie 
A: 	en maar die een dan van rechtsonder waar doen je die voor rij drie of voor rij vier 
B: 	rij drie dus bovenste rij hebben er vijf dan vier dan vier en dan drie ja 
A: 	ja 
A: 	vier vier drie 
A: 	ja dus bij mij zijn hij linksonder 
B: 	helemaal linksonder nee bij mij zijn het de onderste rij en dan de middel dus niet hetzelfde 
A: 	nee 
A: 	die met die twee spijker aan de zijkant en het schermpje er achter en dat gleufje dinge 
B: 	even kijken L 
A: 	zijn één twee drie in de vier rij en dan de één 
A: 	dus beetje in het midden van het scherm 
B: 	nee bij mij zijn het de zes en dan de twee dus niet hetzelfde 
A: 	nee dan niet 
B: 	twee spijker aan de zijkant liggen schermpje achter 
A: 	vijf 
A: 	o zijn het nou weer anders ? ja 
B: 	hij zijn veranderen ja 
A: 	okan je hebben een rij onder met vier figuurt 
B: 	ja 
A: 	en dan vanuit links één twee drie 
B: 	ja 
