B: 	ja deze vinden ik echt de veel vag van allemaal 
B: 	het zijn één ja een kop met een lang staaf op op ja bovenop 
B: 	soort goudstaaf en dan een raar half half half gietertjeachtig dinge en van de voorkant nog zo'n ding met zo'n 
A: 	ja met die ja ik weten welk je bedoelen waar staan die nou joh 
A: 	hier 
A: 	ja en hij hebben een soort 
A: 	ja als je een beetje zo'n Paaseilandgezicht bekijken zeggen maar zullen die neus aan de linkerkant zitten 
B: 	ja 
B: 	ja 
B: 	inderdaad 
A: 	en dan hebben die een soort van niet een Mohawk zo maar zo 
B: 	ja 
B: 	ja 
A: 	ja ja ja ja ik weten welk je bedoelen 
B: 	ja precies 
A: 	dat zijn acht 
A: 	en een soort van raar oorbel of zo ja 
B: 	ja 
B: 	hij hij staan eigenlijk net iets link van het midden 
A: 	ja net iets ja ja 
B: 	en eigenlijk ook precies in het 
A: 	net iets boven 
B: 	ja ongeveer net iets Erboven of precies erin eigenlijk 
A: 	ja 
A: 	tegen de lijn eigenlijk aan maar hij zitten echt heel klein beetje link van de middellijn zeggen maar 
B: 	ja 
B: 	ja 
A: 	ja nee dan denken ik dat die op dezelfde plek staan 
A: 	geel 
A: 	dit zijn die Paaseilanden met die raar oorbel met die neus aan de linkerkant 
B: 	ja ja dat ik hebben hem 
A: 	met die ja met die raar zijwaarts ding 
B: 	ja 
B: 	dat zijn E 
A: 	die staan bij mij in het rechtsonderkwadrant 
B: 	nee bij mij al niet 
A: 	ja 
B: 	lekker makkelijk 
B: 	dit zijn die wat hebben we hier ook weer voor bedenken 
B: 	met die met dat dat dat Paaseilandbeeld 
B: 	die 
A: 	ja met die raar neus en die oorbel 
B: 	ja 
A: 	waar staan die ? waar staan die ? waar staan die 
B: 	bij mij staan die boven ik weten niet of dat helpen 
A: 	ja 
A: 	ja bij mij ook 
A: 	nummer één 
B: 	hij staan dus boven tegen de middellijn aan eigenlijk en helemaal boven 
A: 	ja 
A: 	ja ja hebben ik ook 
A: 	dit zijn het Paaseilandbeeld met die raar coupe 
B: 	ja 
B: 	ja dat zijn E 
A: 	ja die staan bij mij linksonderkwadrant een klein beetje veel naar boven 
B: 	ja 
A: 	en ongeveer in het midden van het kwadrant iets veel naar rechts 
B: 	ja 
B: 	ja 
B: 	dit zijn het Paaseiland 
A: 	waar staan die 
A: 	nummer zestien 
B: 	bij mij staan die in het rechtsonderkwadrant en dan bijna aan de onderkant er kunnen nog een heel klein stuk tussen en dan 
A: 	en ongeveer in het midden van het kwadrant iets veel naar links 
B: 	ja iets naar links ja 
A: 	ja ja hebben ik ook 
A: 	Paas ik bedoelen 
B: 	ja die staan bij mij ook links onderin 
A: 	link onderin Paaseiland 
B: 	O 
B: 	O 
A: 	link onderin dus kunnen er net één misschien links naast krap maar onder niet veel 
B: 	ja 
B: 	ja 
