B: 	oké ik noemen dit poppe het met een badpak zeggen maar er lijken dus een soort van zwemband eromheen te zitten een soort vierkant om het poppe heen 
A: 	oké 
B: 	hij hebben twee staaf op zijn hoofd hij hebben op zijn neus hebben die een lang staaf 
A: 	ja ja ja ja ja ja ja ik zien hem al 
B: 	en hij hebben één armp zo omhoog 
A: 	ja en dan ik noemen dat zelf de glijbaan volgens mij met die neus die zo naar beneden 
B: 	precies ja 
B: 	en hij hebben een vierkant eromheen zitten alsof het een soort van zwemband zijn 
A: 	ja 
A: 	ja ja ja ja 
A: 	het zijn Numero zes 
B: 	bij mij staan die helemaal bovenaan 
A: 	ja bij mij ook helemaal bovenaan 
A: 	en dan aan de rechterkant van het midden ongeveer 
B: 	ja 
A: 	en daar en daarnaast daar beneden naast want het zitten helemaal bovenaan staat bij mij dat kasteel 
B: 	ja 
A: 	met die ja met dat spiraal eronder 
B: 	ja 
B: 	ja en bij mij zitten er tussen het afbeelding ho tussen afbeelding waar we het nu over hebben en tussen dat kasteel staan bij mij nog een soort 
B: 	staan er nog één een soort van half ertussen zeggen maar 
B: 	ik weten niet of dat bij jou ook zo zijn 
A: 	nee 
A: 	dat staan er bij mij niet 
B: 	het niet letterlijk ertussen maar zeggen maar zijn staaf zeggen maar zitten het bovenste stuk van een ander afbeelding zitten daar een soort nog van tussen 
A: 	nee dat zijn bij mij dat kasteel die er gelijk tussen zitten 
B: 	oké 
B: 	zullen er dan naast jou kasteel nog iets kunnen passen 
A: 	naast het kasteelt zitten er nog één en dat zijn een soort van ja bij mij ja een gieter of een kunnen of zo zo zien ik het 
B: 	ja 
B: 	oké dan weten we dat voor de volgen dat die dus niet op de juist plek staan want bij mij staan die helemaal links en bij jou staan die dus dan denken ik helemaal rechts 
B: 	die gieter 
A: 	ja 
A: 	ja 
B: 	laten we dat onthouden 
B: 	nou het zullen wel kunnen dat die op dezelfde plek staan want ik hebben er dan wel een ander afbeelding tussen zitten zeggen maar maar als ik dan het kasteel iets verschuifen naar links zullen er bij mij nog heel veel aan de rechterkant 
B: 	bij kunnen 
A: 	ja 
A: 	ja ik vinden het moeilijk hij staan bij mij bovenaan midden rechterkant 
B: 	je hebben je hebben de het logo van deze computer van dit beeldscherm 
A: 	ja 
B: 	dan hebben je de Q 
A: 	ja 
B: 	als je die helemaal omhoogtrekt 
A: 	ja dan zullen je net bij mij bij een een dinge uitkomen bij denken denken ik het uiteinde van een 
B: 	bij mij ook 
A: 	oké 
B: 	dus dan denken ik dat die op dezelfde plek staan 
A: 	ja 
A: 	oké 
A: 	hij staan op dezelfde plek dus dan zijn dat geel 
A: 	dit zijn de wat ik noemen de glijbaan 
A: 	dus die die een die die die slurf die zo naar beneden gaan 
B: 	ja 
B: 	ja met het met het band eromheen toch ? met dat 
A: 	de ja 
A: 	ja met dat band eromheen 
B: 	dan gaan het om C 
B: 	bij ja sorry 
A: 	nee maken mij niet uit 
A: 	bij mij als je het scherm in door door de helft zullen doen en dan nog een keer door de helft aan de rechterkant in het midden helemaal bovenaan 
B: 	ja 
A: 	kunnen niks veel boven 
B: 	bij mij ook niks veel 
A: 	er zitten wel vier kunnen er nog wel onder dus en 
B: 	ja en er kunnen er ongeveer twee aan de rechterkant en nog één als je de helft hebben zeggen maar 
A: 	ja 
A: 	ja 
A: 	dan liggen die op dezelfde plek 
B: 	ja 
B: 	dat zijn geel zelfde plek 
B: 	dit gaan over de glijbaan met de band eromheen 
A: 	ja ik zoeken hem even op 
A: 	dat zijn Numero dertien 
B: 	bij mij staan die links bovenin 
A: 	bij mij staan die niet links bovenin 
A: 	dit zijn de glijbaan 
B: 	ja 
B: 	zoeken hem even op met de ding eromheen 
A: 	ja 
B: 	gaan om J 
A: 	hij staan bij mij eigenlijk vrijwel in het midden 
B: 	ja 
A: 	onderaan 
B: 	ja 
A: 	net misschien net iets net iets naar rechts maar 
B: 	twee 
B: 	ja twee vingerlengte eronder ja staan die denken ik op dezelfde plek 
A: 	ja 
B: 	bij mij gaan het hier om de glijbaan met het band 
A: 	glijbaan met band dat zijn Numero negen 
B: 	bij mij staan die rechts 
B: 	als je het het beeldscherm in vier vlak delen dan zullen die zeggen maar in het rechts in het rechtervak boven zitten 
B: 	en van het rechter 
A: 	boven 
B: 	ja 
A: 	bij mij zitten die echt nog wel onder 
B: 	als je zeggen maar de rood pin nemen vallen die op de rood pin 
A: 	nee 
B: 	oké dan staan die niet op dezelfde plek 
A: 	niet op dezelfde plek 
A: 	de glijbaan 
B: 	ja worden nummer N tweepoot N 
A: 	hij staan bij mij als je een lijn trekken door het midden 
A: 	vallen die net aan de rechterkant 
B: 	bij mij zullen je de lijn nog vanaf Q kunnen trekken dan raken die net Q dan schampen die zeggen maar Q 
A: 	nee nee bij mij staan die wel veel naar het midden toe 
B: 	oké dus hij raken bij jou Q echt totaal niet 
A: 	ja bij mij Q totaal wel juist 
B: 	ja bij mij ook hij staan Q raken bij mij raken die hem zeggen maar 
A: 	ja maar maar N bij mij ook en E ook 
B: 	bij mij als je de lijn tussen N en Q zullen trekken dan zullen je hem raken 
A: 	tussen N en Q maar hij bij mij worden die echt wel vol raken dan hoor 
A: 	ik denken dat zelfs ja de E E nog het armp raken 
B: 	ja dan zullen dat misschien bij mij ook wel zo zijn 
B: 	ja ik denken dat die misschien wel hetzelfde zijn ik denken dat dat dan interpretatie zijn ik denken ja als je hem vanaf Q zeggen maar trekken naar boven 
A: 	ja 
B: 	dan nemen die net het blok van de arm mee 
A: 	nee nee bij mij hebben die hem dan echt wel helemaal 
B: 	het heel armp vallen er dan ook in 
A: 	nou gewoon heel kop 
B: 	het heel kop nee dan staan die waarschijnlijk niet op dezelfde plek 
