B: 	even kijken deze die hebben twee van die vierkant piramidet aan de voorkant met zo'n vierkant vlak aan de voorkant 
A: 	twee van die piramide 
B: 	of ja een twee van die van die uitsteeksel van die van dezelfde uitsteeksel aan of ja linkerkant zijn het eigenlijk en dan hebben die zo'n antenne op zijn hoofd 
B: 	en dan zo'n vierkant vlak op de voorgrond 
A: 	een robot 
B: 	ja robot ja oké 
A: 	ja ja 
A: 	dan zijn het twee 
A: 	ja ik vinden het echt een robot zo 
A: 	ik hebben net het hebben net WALLE kunnen zijn 
B: 	en hij staan links onderin 
A: 	nee 
B: 	een beetje in het midden van het vlak 
A: 	nee 
A: 	zijn het robo weer 
B: 	G 
A: 	en hij staan in het midden ja de hij worden echt wel omcirkeld door al ander maar wel veel naar de onderkant van link 
B: 	zeggen maar als je die vier in het midden hebben dan zijn het die linksonder 
A: 	ja 
B: 	ja oké 
B: 	bij mij ook 
A: 	lekker duidelijk 
B: 	deze zijn die machine met dat vierkant aan de voorkant 
B: 	dat vierkant aan de voor met die twee poot aan de aan linkerkant 
A: 	die machine en die 
B: 	hoe noemen we die ook weer 
A: 	robot 
B: 	die 
B: 	ja die robot 
B: 	ja 
A: 	ja met dat pinne 
B: 	ja 
A: 	ja 
A: 	dat zijn negen 
B: 	hij staan van de middellijn aan de linkerkant beetje onderin er staan er nog één onder 
A: 	ja 
A: 	robot 
B: 	d 
A: 	precies in het midden 
B: 	ja 
B: 	mij ook 
B: 	dit zijn die dat robo 
B: 	met die twee pinnet aan de voorkant 
A: 	ja 
A: 	even kijken waar jij zijn 
A: 	waar zijn jij nou 
A: 	ja één 
B: 	en hij staan in het midden aan de rechterkant 
B: 	ze zeggen maar de middellijn en dan nog net een beetje rechts 
A: 	en zitten daar rechts van hem nog iets 
B: 	hij zijn die het midden van het cirkel waar je net over hebben 
A: 	nou dat zijn het nou niet 
B: 	oké 
A: 	de robot 
B: 	B 
A: 	en die zitten rechts 
A: 	rechts van hem zitten helemaal niks veel en link van hem zitten nog een heel klein stuk 
A: 	naast hem zitten nog iets 
A: 	maar rechts van hem zitten een 
B: 	een beetje in het midden 
A: 	ja in het midden 
B: 	ja 
