B: 	ik vinden dit op een dienblad lijken zeggen maar twee van die paal zo 
A: 	ja en zo'n bak soep erop zeggen maar 
B: 	ja ja 
A: 	ja 
A: 	zestien 
B: 	en hij zitten middellijn en dan ver rechts op maar niet de allerver rechts op drie vier 
A: 	nee bij mij zitten die helemaal rechts bovenin dus dan zitten die niet op dezelfde plek 
A: 	dit zijn de soep komen soep op de plateau 
B: 	B 
A: 	bij mij staan die op vijf zes rechts in het midden 
B: 	ja je hebben dan die sliert van vijf en dan zijn het de drie 
A: 	ja ja 
B: 	ja 
B: 	dit zijn dat dienblad met dat bak soep 
A: 	ja 
A: 	even zoeken hoor 
A: 	waar zijn die 
A: 	ah ik kunnen hem niet vinden 
A: 	ja oké ja ja veertien 
B: 	en het zijn de onderste rij en dan de veel rechts 
A: 	ik vinden het een beetje moeilijk wat je met de onderste rij je bedoelen zeggen maar je hebben er drie en dan nog een stapel met drie 
B: 	ja 
A: 	ja dan zijn het de onderste rij en de rechts inderdaad oké ik snapen wat je bedoelen 
A: 	diegene met het plateau en de kom soep 
B: 	ja vinden N 
A: 	en dan zijn het bij de twee rij de veel links 
B: 	ja bij mij ook 
A: 	oké 
B: 	het zijn het dienblad met zijn soep 
A: 	ja tien 
B: 	ze zijn weer veranderen 
A: 	ja ik zitten ook even te kijken hoe we het nu makkelijk kunnen doen 
B: 	dat hebben ik even niet door 
B: 	ze halen ons mooi rijensysteem gewoon compleet onderuit 
A: 	ja 
A: 	bij mij zijn deze helemaal bovenin en dan in het midden 
B: 	maar we 
B: 	ja maar bij mij zitten er nog wel één boven 
A: 	nee bij mij niet het zijn echt helemaal bovenin dus dan niet 
B: 	d 
A: 	en er zijn er nog één rechts van 
A: 	die zijn een beetje er rechts van zeggen maar 
B: 	bij mij zijn het de veel bovenste aan de rechterkant 
A: 	nee dat zijn hem niet 
