B: 	oké dit hier hebben je zeggen maar het trapezium alleen dan omgekeerd een soort van piramide die zijn omgekeerd 
A: 	ja 
B: 	en hij liggen op een balk 
B: 	op een op een plank en die zitten aan dat basisvormpje vast 
A: 	ja 
A: 	ja en die hebben ook nog zo'n zo'n klein 
B: 	zo'n fliebel aan de zijkant 
A: 	ja ja precies ja 
A: 	oké dat zijn zestien 
B: 	oké en hij zitten in het midden en dan naar rechts en dan twee van rechts 
A: 	nee 
A: 	hij zitten bij mij helemaal rechtsboven 
B: 	oké nee dat zijn nee 
A: 	nee nee sowieso niet 
A: 	ja ik hebben weer die ja ik ik zien dat dus als een soort bank 
A: 	die jij uitlegen met die trapezium die ondersteboven staan 
B: 	ja 
B: 	ja 
A: 	ja 
B: 	oké dat zijn P 
A: 	bij mij staan die twee van rechts en eigenlijk best wel op de middellijn van hoog en laag 
A: 	van boven naar beneden bedoelen ik 
B: 	de twee zullen het ook de drie kunnen zijn 
B: 	misschien of de één en een halfde 
A: 	ja heel klein anderhalf dan 
A: 	wel echt 
B: 	ja oké als je helemaal ja zeggen maar dat dat ja oké dat bank opsteken best ver uit 
B: 	maar er zitten daaronder zitten er bij mij 
A: 	ja er zitten er wel twee ja er zitten er bij mij één boven en één onder en die steken allebei iets veel uit 
A: 	naar rechts 
A: 	en daarnaast zitten nog een ander ja 
B: 	ja 
B: 	ja 
B: 	ja oké dan denken ik wel dezelfde plek 
A: 	oké ja 
B: 	en helemaal aan de de zeggen maar rechts en dan in het midden 
B: 	toch 
A: 	ja van van boven naar beneden bedoelen ik 
B: 	ja van boven naar beneden 
A: 	ja ja nee die zitten dan zitten die in het midden 
B: 	oké ja dan zijn het denken ik wel dezelfde plek 
A: 	ja 
B: 	oké ik hebben die met het bank 
A: 	ja 
A: 	oké dat zijn ja en die trapezium weer hè ? ja 
B: 	ja 
A: 	dat zijn veertien 
B: 	en hij zitten precies in het midden en hij staan rechts van de schroef of de helixding 
A: 	ja bij mij staan die ook rechts zit die helemaal onderin ook 
B: 	ja helemaal onderin 
A: 	ja 
A: 	ik twijfel of die ja je hebben hem helemaal in het midden zeg je 
B: 	misschien iets veel naar links 
A: 	ja ik denken dat die bij mij iets naar links zitten 
B: 	ja bij mij staan er aan die rechterkant staan helemaal niks 
A: 	rechterkant hebben ik ook niet zoveel 
A: 	nee 
B: 	dus ik kunnen niet echt inschatten of het maar misschien zijn het wel iets maar naar links 
A: 	ja ik denken ja 
B: 	maar in ieder geval wel helemaal onderin 
A: 	ja ja 
A: 	ja die helix komen net zo dat driehoek komen er net nog onderuit bij mij maar 
B: 	ja 
B: 	bij mij ook 
A: 	oké ik denken dat die wel hetzelfde zijn 
A: 	ik hebben diegene met dat bank 
B: 	ja 
B: 	waar zijn die ? daar 
B: 	dat zijn N 
A: 	ja hij zitten weer op de hij zitten boven de middellijn van boven naar beneden 
A: 	en ja Erboven passen Sowieso één één heel misschien iets veel maar 
A: 	zullen erom spannen en links daarvan zullen ik zeggen dat er nog één of anderhalf naast passen 
B: 	nee dat zijn niet dezelfde plek 
A: 	nee 
A: 	oké 
B: 	nee 
B: 	yes we hebben weer een ander of niet 
B: 	oké ik hebben het bank 
A: 	ja 
A: 	dat zijn tien 
B: 	en hij staan precies in het midden en dan iets veel naar boven 
A: 	iets veel of best wel veel 
A: 	want bij mij staan die echt bijna bovenaan 
B: 	bij mij passen er sowieso nog één boven 
B: 	en nog een klein half denken ik 
A: 	nee zoveel past er bij mij niet boven 
A: 	nee 
B: 	nou oké dan zijn het niet dezelfde plek 
A: 	nee 
A: 	ik hebben de bank 
B: 	ja 
B: 	dat zijn D 
A: 	zitten bij mij rechts 
A: 	ja hij zitten dus boven de middellijn van boven naar beneden 
A: 	en niet helemaal rechts want er past nog een half naast 
B: 	maar hij zitten echt boven de middellijn 
A: 	ja 
B: 	bij mij zitten die helemaal bovenin 
A: 	nee dat dat zitten die bij mij sowieso niet 
B: 	oké 
