B: 	hier zitten een vierkant plaat tegen het kop aan drukken 
B: 	en er steken twee van die kubus die groot worden aan de linkerkant uit en aan de bovenkant zitten ook nog een plaat met een cirkel erop 
A: 	ja ja ja ja ja 
A: 	twee zijn dat 
B: 	deze zitten op de linkerschermhelft in het midden van die verticaal lijn en horizontaal helemaal onderin 
A: 	helemaal onderin 
B: 	ja 
A: 	dan denken ik niet dat het zelfde zijn 
A: 	dit zijn met zo'n vierkant er zeggen maar er voor op plakken en dan weer twee van die kubus die groot worden en zo'n paddenstoel aan de bovenkant eruit 
B: 	ja dat zijn G 
A: 	en als je dan het scherm in twee verdeellen staan die net links 
A: 	en veel aan de onderkant dan aan de bovenkant 
B: 	ja dat zijn denken ik hetzelfde 
B: 	deze hebben die vierkant plaat er zo op plakken en de groot worden kubus aan de linkerkant 
B: 	en aan de bovenkant 
A: 	negen zijn dat 
B: 	deze staat echt net aan de linkerkant van het scherm 
A: 	ja 
B: 	en dan van de onderste schermhelft ongeveer in het midden 
A: 	ja 
A: 	ja 
A: 	dit zijn met dat vierkant erop plakken 
A: 	en twee groot wordende de kubus aan de zijkant en een paddenstoel eruit 
B: 	ja dat zijn D 
A: 	en als je je scherm dan in twee verdeellen dan staan die net aan de linkerkant 
A: 	en horizontaal zien zijn die ook een stuk naar boven 
B: 	ja maar echt een klein stuk toch 
A: 	ja ja 
B: 	ja 
B: 	oké 
B: 	bij deze zitten weer dat vierkant ertegenaan plakken 
B: 	en twee van die kubus aan de groot worden kubus aan de linkerkant 
B: 	en nog zo'n kegel eruit steken 
A: 	ja ik zien hem 
A: 	dat zijn één 
B: 	deze zitten bijna in het midden van de verticaal lijn maar wel duidelijk net iets naar rechts 
B: 	en horizontaal zien ook in het midden 
A: 	dan zitten die ergens ander denken ik 
A: 	dit zijn met dat vierkant vlak erop plakken en die twee kubus die er steeds groot worden 
B: 	dat zijn B 
A: 	en die zitten net aan de rechterkant van je scherm 
A: 	en vrijwel onderin 
B: 	ja 
